,Open,High,Low,Close,Volume,Close time
0,0.6199,0.74,0.614,0.6633,10483958.0,2021-06-27 23:59:59.999
1,0.6639,0.9022,0.6471,0.8463,39019470.0,2021-07-04 23:59:59.999
2,0.8444,0.8547,0.7281,0.7809,23179274.0,2021-07-11 23:59:59.999
3,0.7814,0.975,0.7304,0.75,41221424.0,2021-07-18 23:59:59.999
4,0.7481,0.7556,0.6139,0.6695,20616862.0,2021-07-25 23:59:59.999
5,0.6695,0.826,0.6657,0.7697,22256070.0,2021-08-01 23:59:59.999
6,0.7701,0.8259,0.7396,0.7749,18188200.0,2021-08-08 23:59:59.999
7,0.775,0.9286,0.7669,0.8771,25265900.0,2021-08-15 23:59:59.999
8,0.8784,0.8845,0.7511,0.8307,25308445.0,2021-08-22 23:59:59.999
9,0.8307,0.8765,0.783,0.7904,24819792.0,2021-08-29 23:59:59.999
10,0.7904,0.8799,0.7688,0.8228,42091534.0,2021-09-05 23:59:59.999
11,0.8224,1.0686,0.81,0.8635,121073166.0,2021-09-12 23:59:59.999
12,0.8641,1.2452,0.8015,0.9002,123895229.0,2021-09-19 23:59:59.999
13,0.9002,0.901,0.6011,0.6558,57119546.0,2021-09-26 23:59:59.999
14,0.6553,0.7523,0.608,0.7365,38245118.0,2021-10-03 23:59:59.999
15,0.7362,1.091,0.6779,0.8,89979486.0,2021-10-10 23:59:59.999
16,0.8002,0.971,0.7355,0.7876,70269612.0,2021-10-17 23:59:59.999
17,0.7876,0.8125,0.7223,0.7483,28956279.0,2021-10-24 23:59:59.999
18,0.7477,0.846,0.6796,0.7601,63264742.0,2021-10-31 23:59:59.999
19,0.7615,0.963,0.7163,0.7729,70212402.0,2021-11-07 23:59:59.999
20,0.7734,0.8228,0.7015,0.7287,30855617.0,2021-11-14 23:59:59.999
21,0.7287,0.7465,0.6182,0.6872,25939189.0,2021-11-21 23:59:59.999
22,0.6873,0.737,0.611,0.672,40320569.0,2021-11-28 23:59:59.999
23,0.6719,0.6752,0.4515,0.4729,53983789.0,2021-12-05 23:59:59.999
24,0.4727,0.5881,0.3934,0.4252,123955879.0,2021-12-12 23:59:59.999
25,0.4252,0.4306,0.3354,0.3604,40014383.0,2021-12-19 23:59:59.999
26,0.3601,0.66,0.33,0.493,330409822.0,2021-12-26 23:59:59.999
27,0.493,0.518,0.3956,0.4173,64374082.0,2022-01-02 23:59:59.999
28,0.4173,0.5449,0.3419,0.3608,89524204.0,2022-01-09 23:59:59.999
29,0.3602,0.4179,0.335,0.3668,56502390.0,2022-01-16 23:59:59.999
30,0.366,0.4347,0.2274,0.2694,87135863.0,2022-01-23 23:59:59.999
31,0.2691,0.2875,0.2305,0.2508,53945759.0,2022-01-30 23:59:59.999
32,0.2509,0.285,0.23,0.271,51302057.0,2022-02-06 23:59:59.999
33,0.271,0.4036,0.2662,0.291,277226024.0,2022-02-13 23:59:59.999
34,0.291,0.3038,0.2383,0.2394,41231253.0,2022-02-20 23:59:59.999
35,0.2392,0.2713,0.2045,0.2177,53222911.0,2022-02-27 23:59:59.999
36,0.2173,0.3281,0.2152,0.2426,142709634.0,2022-03-06 23:59:59.999
37,0.2427,0.2502,0.2207,0.2209,35385152.0,2022-03-13 23:59:59.999
38,0.2209,0.2571,0.2177,0.2451,41281847.0,2022-03-20 23:59:59.999
39,0.2452,0.2848,0.2383,0.2718,66345766.0,2022-03-27 23:59:59.999
40,0.2718,0.335,0.2657,0.3128,71204892.0,2022-04-03 23:59:59.999
41,0.3135,0.35,0.2784,0.3053,123550839.0,2022-04-10 23:59:59.999
42,0.3051,0.312,0.2654,0.2665,21653101.0,2022-04-17 23:59:59.999
43,0.2665,0.3333,0.2534,0.277,76779056.0,2022-04-24 23:59:59.999
44,0.277,0.2783,0.2209,0.2328,19095894.0,2022-05-01 23:59:59.999
45,0.2328,0.2393,0.2092,0.2105,18314557.0,2022-05-08 23:59:59.999
46,0.2103,0.2121,0.0953,0.1274,43069558.0,2022-05-15 23:59:59.999
47,0.1273,0.1531,0.1143,0.1317,110817793.0,2022-05-22 23:59:59.999
48,0.1319,0.1485,0.1216,0.1305,31096424.0,2022-05-29 23:59:59.999
49,0.1305,0.16,0.1222,0.1271,38875563.0,2022-06-05 23:59:59.999
