,Open,High,Low,Close,Volume,Close time
0,2.44,3.404,2.089,2.521,43397702.88,2021-11-28 23:59:59.999
1,2.527,2.596,1.33,1.63,22949488.29,2021-12-05 23:59:59.999
2,1.629,1.72,1.357,1.495,11941892.19,2021-12-12 23:59:59.999
3,1.492,1.523,1.172,1.386,9761206.41,2021-12-19 23:59:59.999
4,1.386,1.942,1.268,1.741,11921873.57,2021-12-26 23:59:59.999
5,1.741,1.765,1.363,1.542,5908692.57,2022-01-02 23:59:59.999
6,1.538,1.64,1.114,1.171,13142537.0,2022-01-09 23:59:59.999
7,1.172,1.213,1.006,1.129,7126496.91,2022-01-16 23:59:59.999
8,1.131,1.132,0.624,0.753,14190591.67,2022-01-23 23:59:59.999
9,0.752,0.96,0.664,0.909,13178791.82,2022-01-30 23:59:59.999
10,0.908,1.208,0.858,1.182,10639995.02,2022-02-06 23:59:59.999
11,1.185,1.3,1.011,1.036,7998310.44,2022-02-13 23:59:59.999
12,1.036,1.135,0.864,0.877,6557579.31,2022-02-20 23:59:59.999
13,0.876,0.952,0.713,0.871,9821818.08,2022-02-27 23:59:59.999
14,0.872,1.013,0.799,0.804,11000737.02,2022-03-06 23:59:59.999
15,0.804,0.859,0.755,0.759,12562882.2,2022-03-13 23:59:59.999
16,0.759,0.832,0.739,0.806,9426590.17,2022-03-20 23:59:59.999
17,0.806,1.4,0.788,1.118,100032022.69,2022-03-27 23:59:59.999
18,1.118,1.379,1.05,1.16,27000862.54,2022-04-03 23:59:59.999
19,1.16,1.172,0.908,0.93,8274784.59,2022-04-10 23:59:59.999
20,0.93,1.002,0.826,0.882,8132855.14,2022-04-17 23:59:59.999
21,0.883,1.193,0.828,0.876,20704191.32,2022-04-24 23:59:59.999
22,0.876,0.913,0.688,0.748,8090788.75,2022-05-01 23:59:59.999
23,0.749,0.823,0.651,0.677,8650822.75,2022-05-08 23:59:59.999
24,0.678,0.683,0.311,0.602,26170074.18,2022-05-15 23:59:59.999
25,0.603,0.633,0.456,0.6,23834736.35,2022-05-22 23:59:59.999
26,0.598,0.611,0.491,0.526,14562953.97,2022-05-29 23:59:59.999
27,0.527,0.591,0.522,0.55,11852329.81,2022-06-05 23:59:59.999
0,0.55,0.576,0.396,0.403,13418482.73,2022-06-12 23:59:59.999000
0,0.405,0.411,0.283,0.334,29615090.59,2022-06-19 23:59:59.999000
1,0.334,0.424,0.313,0.386,16214116.04,2022-06-26 23:59:59.999000
2,0.386,0.765,0.315,0.37,79551294.58,2022-07-03 23:59:59.999000
3,0.37,0.39,0.35,0.367,13906704.97,2022-07-10 23:59:59.999000
4,0.366,0.382,0.32,0.363,7765767.11,2022-07-17 23:59:59.999000
