,Open,High,Low,Close,Volume,Close time
0,0.5227,1.5,0.5227,0.6565,19770787.29,2020-06-28 23:59:59.999
1,0.6592,0.6965,0.6105,0.6448,3096001.89,2020-07-05 23:59:59.999
2,0.6444,0.793,0.633,0.6929,11012620.37,2020-07-12 23:59:59.999
3,0.6927,0.895,0.6741,0.8722,11197090.44,2020-07-19 23:59:59.999
4,0.8723,1.313,0.8464,1.11,23950370.57,2020-07-26 23:59:59.999
5,1.1139,1.4,0.86,1.1472,15566384.49,2020-08-02 23:59:59.999
6,1.1465,1.3559,1.1064,1.2834,13108955.16,2020-08-09 23:59:59.999
7,1.2852,1.3949,1.1099,1.1459,14037296.61,2020-08-16 23:59:59.999
8,1.143,1.1884,0.813,0.9231,12440272.04,2020-08-23 23:59:59.999
9,0.9234,1.083,0.825,0.9723,16327694.38,2020-08-30 23:59:59.999
10,0.9717,1.019,0.5,0.5835,22984037.16,2020-09-06 23:59:59.999
11,0.5835,0.7389,0.5163,0.6366,7965642.94,2020-09-13 23:59:59.999
12,0.6361,0.7391,0.5518,0.6737,6660715.72,2020-09-20 23:59:59.999
13,0.6712,0.6839,0.4866,0.5193,5628309.39,2020-09-27 23:59:59.999
14,0.5193,0.5387,0.4171,0.4221,3512698.94,2020-10-04 23:59:59.999
15,0.4222,0.4616,0.3614,0.4252,3044342.69,2020-10-11 23:59:59.999
16,0.427,0.5211,0.3814,0.4169,5613189.09,2020-10-18 23:59:59.999
17,0.4155,0.4662,0.377,0.4116,4431289.91,2020-10-25 23:59:59.999
18,0.4115,0.4851,0.38,0.3885,5439608.46,2020-11-01 23:59:59.999
19,0.3864,0.405,0.276,0.3284,8881716.92,2020-11-08 23:59:59.999
20,0.3299,0.3787,0.2954,0.3141,6270229.81,2020-11-15 23:59:59.999
21,0.3145,0.3744,0.3022,0.3445,10529366.7,2020-11-22 23:59:59.999
22,0.3464,0.442,0.3153,0.3582,9144576.73,2020-11-29 23:59:59.999
23,0.3587,0.59,0.3409,0.477,18171363.98,2020-12-06 23:59:59.999
24,0.4789,0.56,0.354,0.4047,15540958.87,2020-12-13 23:59:59.999
25,0.4047,0.4493,0.3915,0.4295,5993225.88,2020-12-20 23:59:59.999
26,0.4326,0.5489,0.3579,0.3821,10919597.18,2020-12-27 23:59:59.999
27,0.389,0.4073,0.3344,0.3527,4479867.7,2021-01-03 23:59:59.999
28,0.3504,0.4868,0.3312,0.4106,14626666.09,2021-01-10 23:59:59.999
29,0.4121,0.4399,0.3354,0.4299,9256217.39,2021-01-17 23:59:59.999
30,0.4298,0.486,0.37,0.4544,14001625.81,2021-01-24 23:59:59.999
31,0.4544,6.4,0.3989,1.01,69495730.43,2021-01-31 23:59:59.999
32,1.0118,1.44,0.6822,0.8223,142132919.03,2021-02-07 23:59:59.999
33,0.8223,2.4658,0.8,1.9741,153143329.55,2021-02-14 23:59:59.999
34,1.9664,2.6,1.45,1.8379,66376364.78,2021-02-21 23:59:59.999
35,1.8376,1.8529,0.9698,1.1723,42504343.65,2021-02-28 23:59:59.999
36,1.1732,1.941,1.1409,1.83,52011814.72,2021-03-07 23:59:59.999
