,Open,High,Low,Close,Volume,Close time
0,3.218,3.99,1.3,1.582,18177200.64,2021-05-23 23:59:59.999
1,1.571,2.647,1.529,1.698,14036860.25,2021-05-30 23:59:59.999
2,1.698,2.06,1.576,1.742,7573566.26,2021-06-06 23:59:59.999
3,1.742,1.85,1.25,1.389,6228487.06,2021-06-13 23:59:59.999
4,1.385,1.703,1.179,1.571,28349881.28,2021-06-20 23:59:59.999
5,1.571,1.613,0.88,1.003,13648576.28,2021-06-27 23:59:59.999
6,1.003,1.501,0.971,1.361,22446135.76,2021-07-04 23:59:59.999
7,1.362,1.455,1.12,1.172,12581482.08,2021-07-11 23:59:59.999
8,1.17,1.186,0.938,0.968,7529723.57,2021-07-18 23:59:59.999
9,0.968,0.996,0.8,0.99,8615070.09,2021-07-25 23:59:59.999
10,0.99,1.26,0.95,1.136,14644017.91,2021-08-01 23:59:59.999
11,1.134,1.933,1.108,1.475,46331028.03,2021-08-08 23:59:59.999
12,1.474,1.65,1.39,1.568,16797347.92,2021-08-15 23:59:59.999
13,1.572,2.49,1.568,1.856,53831838.86,2021-08-22 23:59:59.999
14,1.857,2.33,1.683,1.863,24386333.99,2021-08-29 23:59:59.999
15,1.863,2.232,1.761,2.065,20522520.79,2021-09-05 23:59:59.999
16,2.064,2.285,1.38,1.855,16288345.84,2021-09-12 23:59:59.999
17,1.856,1.949,1.62,1.737,12311341.2,2021-09-19 23:59:59.999
18,1.738,1.739,1.355,1.5,13030435.55,2021-09-26 23:59:59.999
19,1.499,1.986,1.41,1.847,12312123.9,2021-10-03 23:59:59.999
20,1.843,2.199,1.77,2.032,14632030.9,2021-10-10 23:59:59.999
21,2.028,4.28,1.94,2.844,95363246.95,2021-10-17 23:59:59.999
22,2.844,3.55,2.564,2.862,33552464.6,2021-10-24 23:59:59.999
23,2.859,2.924,2.457,2.572,14532699.3,2021-10-31 23:59:59.999
24,2.571,3.44,2.486,3.224,16213844.6,2021-11-07 23:59:59.999
25,3.225,3.4,2.859,3.131,11332814.4,2021-11-14 23:59:59.999
26,3.131,3.382,2.64,3.119,8335679.8,2021-11-21 23:59:59.999
27,3.114,3.9,3.012,3.778,11157159.9,2021-11-28 23:59:59.999
28,3.776,4.4,3.028,3.265,10241133.82,2021-12-05 23:59:59.999
29,3.266,5.27,2.878,3.438,25360994.35,2021-12-12 23:59:59.999
30,3.438,3.676,2.746,2.746,7010536.4,2021-12-19 23:59:59.999
31,2.746,2.989,2.5,2.932,5477305.3,2021-12-26 23:59:59.999
32,2.931,3.072,2.634,3.006,3872791.2,2022-01-02 23:59:59.999
33,3.005,3.2,2.083,2.323,6356996.2,2022-01-09 23:59:59.999
34,2.323,2.556,2.04,2.28,3880077.1,2022-01-16 23:59:59.999
35,2.28,2.31,1.299,1.6,9932946.7,2022-01-23 23:59:59.999
36,1.599,1.668,1.368,1.527,4867637.5,2022-01-30 23:59:59.999
37,1.529,1.868,1.458,1.799,4982761.0,2022-02-06 23:59:59.999
38,1.799,1.932,1.65,1.674,5079540.0,2022-02-13 23:59:59.999
39,1.674,1.86,1.416,1.441,3408990.9,2022-02-20 23:59:59.999
40,1.444,1.505,1.141,1.215,4830689.53,2022-02-27 23:59:59.999
41,1.215,1.443,1.176,1.187,4868798.2,2022-03-06 23:59:59.999
42,1.187,1.268,1.101,1.133,4475045.7,2022-03-13 23:59:59.999
43,1.132,2.945,1.121,1.383,122355516.9,2022-03-20 23:59:59.999
44,1.386,1.6,1.355,1.509,19744506.4,2022-03-27 23:59:59.999
45,1.51,2.089,1.473,1.856,30788712.4,2022-04-03 23:59:59.999
46,1.858,1.897,1.487,1.511,5717915.3,2022-04-10 23:59:59.999
47,1.51,1.665,1.351,1.444,7683885.6,2022-04-17 23:59:59.999
48,1.444,1.517,1.21,1.229,12266469.7,2022-04-24 23:59:59.999
49,1.23,1.26,1.024,1.088,4749466.92,2022-05-01 23:59:59.999
50,1.088,1.19,0.937,0.951,7725539.6,2022-05-08 23:59:59.999
51,0.949,0.964,0.503,0.666,10994922.73,2022-05-15 23:59:59.999
52,0.664,0.706,0.597,0.648,7047668.6,2022-05-22 23:59:59.999
53,0.648,0.675,0.538,0.579,5391737.5,2022-05-29 23:59:59.999
54,0.581,0.637,0.565,0.582,5605221.7,2022-06-05 23:59:59.999
0,0.581,1.02,0.505,0.511,67052635.6,2022-06-12 23:59:59.999000
0,0.51,0.6,0.396,0.466,33131692.0,2022-06-19 23:59:59.999000
1,0.467,0.64,0.444,0.494,20672702.2,2022-06-26 23:59:59.999000
2,0.494,0.645,0.46,0.491,22451098.8,2022-07-03 23:59:59.999000
3,0.49,0.574,0.479,0.52,15312921.7,2022-07-10 23:59:59.999000
4,0.519,0.625,0.452,0.558,29289733.3,2022-07-17 23:59:59.999000
