,Open,High,Low,Close,Volume,Close time
0,0.1598,0.2,0.1301,0.1823,534945730.32,2021-03-14 23:59:59.999
1,0.182,0.2197,0.1495,0.1635,460915991.37,2021-03-21 23:59:59.999
2,0.1636,0.1995,0.1333,0.1897,290254069.74,2021-03-28 23:59:59.999
3,0.1897,0.278,0.187,0.2224,913269424.59,2021-04-04 23:59:59.999
4,0.2227,0.318,0.2065,0.227,806042448.87,2021-04-11 23:59:59.999
5,0.227,0.239,0.1455,0.1731,439995649.3,2021-04-18 23:59:59.999
6,0.1732,0.19,0.1156,0.1309,386754031.11,2021-04-25 23:59:59.999
7,0.1307,0.2182,0.1287,0.1993,778787686.09,2021-05-02 23:59:59.999
8,0.1993,0.218,0.152,0.1591,398175371.5,2021-05-09 23:59:59.999
9,0.1592,0.185,0.13,0.1449,386603954.99,2021-05-16 23:59:59.999
10,0.1444,0.1499,0.0438,0.056,328172760.16,2021-05-23 23:59:59.999
11,0.056,0.1331,0.0524,0.0995,1057790486.84,2021-05-30 23:59:59.999
12,0.0998,0.18,0.0791,0.1124,1026439010.37,2021-06-06 23:59:59.999
13,0.1128,0.126,0.08,0.0972,1038895760.7,2021-06-13 23:59:59.999
14,0.0971,0.101,0.0773,0.084,311873601.44,2021-06-20 23:59:59.999
15,0.0841,0.0845,0.0505,0.0639,338036937.75,2021-06-27 23:59:59.999
16,0.064,0.0725,0.0594,0.0698,255978374.85,2021-07-04 23:59:59.999
17,0.0698,0.0778,0.062,0.0644,381362404.91,2021-07-11 23:59:59.999
18,0.0644,0.072,0.0546,0.0551,462614449.34,2021-07-18 23:59:59.999
19,0.0552,0.0633,0.0443,0.0599,339115999.27,2021-07-25 23:59:59.999
20,0.0599,0.0673,0.0538,0.0614,335635255.95,2021-08-01 23:59:59.999
21,0.0611,0.091,0.06,0.0728,841029191.68,2021-08-08 23:59:59.999
22,0.0729,0.0959,0.0701,0.0879,634148691.94,2021-08-15 23:59:59.999
23,0.0879,0.0946,0.0781,0.0913,765262772.47,2021-08-22 23:59:59.999
24,0.0914,0.11378,0.0758,0.08741,1672150414.67,2021-08-29 23:59:59.999
25,0.08741,0.105,0.08147,0.09476,949909895.55,2021-09-05 23:59:59.999
26,0.09488,0.186,0.066,0.11889,7547048063.34,2021-09-12 23:59:59.999
27,0.11902,0.13658,0.09567,0.10653,2365737493.44,2021-09-19 23:59:59.999
28,0.10658,0.10829,0.07262,0.08631,2187759986.67,2021-09-26 23:59:59.999
29,0.0863,0.11586,0.07606,0.09561,1609679435.33,2021-10-03 23:59:59.999
30,0.0955,0.10573,0.08567,0.09123,2132513908.29,2021-10-10 23:59:59.999
31,0.09119,0.115,0.08535,0.09638,1567205415.68,2021-10-17 23:59:59.999
32,0.09638,0.10115,0.09185,0.09384,733892578.43,2021-10-24 23:59:59.999
33,0.09385,0.097,0.08148,0.08924,766386203.21,2021-10-31 23:59:59.999
34,0.08929,0.10888,0.08602,0.09479,1128126744.94,2021-11-07 23:59:59.999
35,0.0948,0.12754,0.09102,0.09905,2586503622.44,2021-11-14 23:59:59.999
36,0.09918,0.10593,0.0772,0.09504,1207803248.85,2021-11-21 23:59:59.999
37,0.09502,0.125,0.088,0.10139,2423602549.82,2021-11-28 23:59:59.999
38,0.10151,0.1089,0.077,0.08063,1342828064.85,2021-12-05 23:59:59.999
39,0.08074,0.08491,0.06605,0.0714,1282752610.58,2021-12-12 23:59:59.999
40,0.07132,0.07175,0.05721,0.06397,771626903.22,2021-12-19 23:59:59.999
41,0.06392,0.074,0.0575,0.0718,735641445.76,2021-12-26 23:59:59.999
42,0.07182,0.08883,0.06247,0.06893,1434242144.18,2022-01-02 23:59:59.999
43,0.06888,0.07188,0.05,0.05222,728589123.13,2022-01-09 23:59:59.999
44,0.05216,0.0777,0.04653,0.0693,2108239078.18,2022-01-16 23:59:59.999
45,0.06916,0.074,0.04239,0.04644,1570548470.79,2022-01-23 23:59:59.999
46,0.04644,0.04759,0.03716,0.04193,918756959.42,2022-01-30 23:59:59.999
47,0.04193,0.054,0.04,0.0492,1135530097.59,2022-02-06 23:59:59.999
48,0.0492,0.05448,0.04323,0.04362,920456168.83,2022-02-13 23:59:59.999
49,0.04364,0.0462,0.03398,0.03445,683290954.66,2022-02-20 23:59:59.999
50,0.03447,0.0363,0.02513,0.02771,1089839352.61,2022-02-27 23:59:59.999
51,0.0277,0.03823,0.02745,0.03178,1640300235.39,2022-03-06 23:59:59.999
52,0.03176,0.03198,0.0272,0.02807,1153937039.83,2022-03-13 23:59:59.999
53,0.02805,0.0355,0.0273,0.03178,1862448151.71,2022-03-20 23:59:59.999
54,0.03176,0.03822,0.0315,0.03761,1294399279.25,2022-03-27 23:59:59.999
55,0.03758,0.045,0.03537,0.04392,1383804686.03,2022-04-03 23:59:59.999
56,0.0439,0.04495,0.03235,0.03366,1022631835.9,2022-04-10 23:59:59.999
57,0.03366,0.0339,0.0284,0.02861,692370482.98,2022-04-17 23:59:59.999
58,0.02859,0.03,0.0253,0.02643,868276352.81,2022-04-24 23:59:59.999
59,0.02643,0.02703,0.01946,0.0206,931402052.91,2022-05-01 23:59:59.999
60,0.02061,0.02145,0.0166,0.01697,648124717.81,2022-05-08 23:59:59.999
61,0.01698,0.0172,0.00627,0.0092,2019589493.89,2022-05-15 23:59:59.999
62,0.00918,0.0144,0.00805,0.01036,4981654259.79,2022-05-22 23:59:59.999
63,0.01035,0.01394,0.0091,0.01048,2650824564.06,2022-05-29 23:59:59.999
64,0.01048,0.01221,0.0099,0.01086,1624344112.24,2022-06-05 23:59:59.999
0,0.01084,0.0128,0.00856,0.00863,2153482907.44,2022-06-12 23:59:59.999000
0,0.00866,0.01345,0.00719,0.01069,7746187101.33,2022-06-19 23:59:59.999000
1,0.01068,0.01229,0.00989,0.01036,1970003871.05,2022-06-26 23:59:59.999000
2,0.01036,0.01095,0.0089,0.00954,1295500083.13,2022-07-03 23:59:59.999000
3,0.00954,0.0133,0.00899,0.01026,3263362180.49,2022-07-10 23:59:59.999000
4,0.01024,0.01139,0.009,0.01066,1772037512.39,2022-07-17 23:59:59.999000
