,Open,High,Low,Close,Volume,Close time
0,0.5233,0.9617,0.4816,0.792,456952023.0,2021-11-21 23:59:59.999
1,0.7916,0.8067,0.5783,0.6316,82054607.0,2021-11-28 23:59:59.999
2,0.6308,0.7281,0.364,0.4458,78251935.0,2021-12-05 23:59:59.999
3,0.4452,0.5294,0.3751,0.4696,74531536.0,2021-12-12 23:59:59.999
4,0.4687,0.4826,0.3863,0.4355,23144715.0,2021-12-19 23:59:59.999
5,0.4351,0.4883,0.4049,0.4689,14504073.0,2021-12-26 23:59:59.999
6,0.4698,0.814,0.4024,0.7608,312892469.0,2022-01-02 23:59:59.999
7,0.7608,0.847,0.472,0.6535,416578434.0,2022-01-09 23:59:59.999
8,0.6537,0.738,0.556,0.6535,186660582.0,2022-01-16 23:59:59.999
9,0.6531,0.6786,0.4579,0.555,65819096.0,2022-01-23 23:59:59.999
10,0.5536,0.5728,0.4856,0.5483,39707266.0,2022-01-30 23:59:59.999
11,0.5487,0.6288,0.5104,0.6181,40283460.0,2022-02-06 23:59:59.999
12,0.6189,0.627,0.5618,0.5727,41718577.0,2022-02-13 23:59:59.999
13,0.5719,0.6265,0.5004,0.5119,24176730.0,2022-02-20 23:59:59.999
14,0.5116,0.5687,0.4176,0.5153,63973408.0,2022-02-27 23:59:59.999
15,0.5158,0.6079,0.4982,0.5031,29335703.0,2022-03-06 23:59:59.999
16,0.5031,0.5345,0.4754,0.4779,26003657.0,2022-03-13 23:59:59.999
17,0.4781,0.548,0.4702,0.5152,42982463.0,2022-03-20 23:59:59.999
18,0.5147,0.6025,0.4984,0.5854,36793103.0,2022-03-27 23:59:59.999
19,0.5854,0.7357,0.5533,0.6249,81364617.0,2022-04-03 23:59:59.999
20,0.6249,0.6402,0.5111,0.5306,28842756.0,2022-04-10 23:59:59.999
21,0.5307,0.5335,0.4768,0.4963,50569134.0,2022-04-17 23:59:59.999
22,0.4959,0.5851,0.4775,0.5106,39265383.0,2022-04-24 23:59:59.999
23,0.5098,0.5098,0.4019,0.4223,15255431.0,2022-05-01 23:59:59.999
24,0.4225,0.4621,0.3663,0.368,14278689.0,2022-05-08 23:59:59.999
25,0.3676,0.3709,0.166,0.2618,51350610.0,2022-05-15 23:59:59.999
26,0.2615,0.2955,0.2261,0.2725,54977920.0,2022-05-22 23:59:59.999
27,0.2726,0.2945,0.2365,0.2608,39698512.0,2022-05-29 23:59:59.999
28,0.2608,0.3349,0.2559,0.2945,72097829.0,2022-06-05 23:59:59.999
0,0.2939,0.3945,0.2304,0.2324,99095496.0,2022-06-12 23:59:59.999000
0,0.2325,0.2364,0.1714,0.2089,130694891.0,2022-06-19 23:59:59.999000
1,0.209,0.2387,0.1978,0.2192,33492745.0,2022-06-26 23:59:59.999000
2,0.219,0.2938,0.2172,0.2231,104311889.0,2022-07-03 23:59:59.999000
3,0.2232,0.2837,0.2094,0.2622,60869572.0,2022-07-10 23:59:59.999000
4,0.2624,0.3676,0.2083,0.2321,75994483.0,2022-07-17 23:59:59.999000
