,Open,High,Low,Close,Volume,Close time
0,7.03,9.699,3.862,4.47,69128073.417,2021-04-11 23:59:59.999
1,4.475,5.6,2.83,3.389,78363897.954,2021-04-18 23:59:59.999
2,3.39,3.8,1.759,2.511,67975310.303,2021-04-25 23:59:59.999
3,2.509,3.6,2.445,3.311,51644299.408,2021-05-02 23:59:59.999
4,3.312,3.579,2.746,3.039,48003661.398,2021-05-09 23:59:59.999
5,3.04,3.057,2.125,2.349,37381867.636,2021-05-16 23:59:59.999
6,2.349,2.378,1.056,1.457,55647945.381,2021-05-23 23:59:59.999
7,1.456,1.974,1.256,1.656,33242933.038,2021-05-30 23:59:59.999
8,1.655,1.773,1.492,1.624,19534806.339,2021-06-06 23:59:59.999
9,1.624,1.76,1.2,1.315,22317815.863,2021-06-13 23:59:59.999
10,1.314,1.395,0.969,1.053,16483700.203,2021-06-20 23:59:59.999
11,1.054,1.059,0.578,0.831,33198717.991,2021-06-27 23:59:59.999
12,0.829,1.199,0.797,1.152,35052449.856,2021-07-04 23:59:59.999
13,1.153,1.33,1.015,1.125,27828805.195,2021-07-11 23:59:59.999
14,1.125,1.409,0.956,1.127,55718415.453,2021-07-18 23:59:59.999
15,1.125,1.16,0.856,1.102,25053566.476,2021-07-25 23:59:59.999
16,1.103,1.679,1.087,1.439,41744981.015,2021-08-01 23:59:59.999
17,1.437,1.75,1.36,1.569,30399130.666,2021-08-08 23:59:59.999
18,1.571,1.91,1.478,1.827,24818669.47,2021-08-15 23:59:59.999
19,1.827,2.071,1.594,1.814,24188504.575,2021-08-22 23:59:59.999
20,1.815,2.1,1.637,1.767,20894564.284,2021-08-29 23:59:59.999
21,1.769,2.245,1.661,2.1,26993813.354,2021-09-05 23:59:59.999
22,2.103,2.188,1.401,1.622,19180561.581,2021-09-12 23:59:59.999
23,1.619,1.749,1.429,1.64,12011211.2,2021-09-19 23:59:59.999
24,1.639,1.641,1.165,1.282,21793146.402,2021-09-26 23:59:59.999
25,1.282,1.582,1.104,1.517,26483045.534,2021-10-03 23:59:59.999
26,1.514,1.909,1.387,1.724,31409985.7,2021-10-10 23:59:59.999
27,1.721,1.75,1.426,1.465,16058556.9,2021-10-17 23:59:59.999
28,1.466,1.614,1.425,1.518,10167104.1,2021-10-24 23:59:59.999
29,1.52,1.659,1.294,1.569,18565082.7,2021-10-31 23:59:59.999
30,1.567,1.95,1.464,1.555,23772540.4,2021-11-07 23:59:59.999
31,1.559,1.633,1.432,1.502,11934875.3,2021-11-14 23:59:59.999
32,1.502,1.649,1.2,1.475,16790084.0,2021-11-21 23:59:59.999
33,1.475,1.514,1.281,1.366,12948256.8,2021-11-28 23:59:59.999
34,1.366,1.418,0.832,1.045,11940679.241,2021-12-05 23:59:59.999
35,1.043,1.284,0.962,1.106,35214185.1,2021-12-12 23:59:59.999
36,1.104,1.163,0.963,1.051,15342931.2,2021-12-19 23:59:59.999
37,1.052,1.26,0.981,1.14,13807341.8,2021-12-26 23:59:59.999
38,1.14,1.188,0.99,1.079,7980430.3,2022-01-02 23:59:59.999
39,1.082,1.128,0.874,0.91,9576662.9,2022-01-09 23:59:59.999
40,0.909,1.019,0.81,0.937,11476491.1,2022-01-16 23:59:59.999
41,0.939,1.005,0.634,0.757,21156569.7,2022-01-23 23:59:59.999
42,0.757,0.828,0.65,0.773,16134420.8,2022-01-30 23:59:59.999
43,0.775,0.871,0.729,0.868,7519193.7,2022-02-06 23:59:59.999
44,0.866,1.177,0.798,0.82,27391079.4,2022-02-13 23:59:59.999
45,0.82,0.843,0.719,0.733,10422468.2,2022-02-20 23:59:59.999
46,0.734,0.915,0.635,0.752,28493070.4,2022-02-27 23:59:59.999
47,0.751,0.83,0.71,0.722,12931409.5,2022-03-06 23:59:59.999
48,0.722,0.832,0.702,0.712,8901942.3,2022-03-13 23:59:59.999
49,0.711,0.793,0.703,0.756,7139351.0,2022-03-20 23:59:59.999
50,0.757,0.932,0.754,0.906,16102474.0,2022-03-27 23:59:59.999
51,0.906,1.18,0.887,1.067,21996334.3,2022-04-03 23:59:59.999
52,1.067,1.12,0.852,0.86,18896997.9,2022-04-10 23:59:59.999
53,0.859,1.144,0.75,0.902,59956284.3,2022-04-17 23:59:59.999
54,0.901,1.078,0.834,0.871,39637216.2,2022-04-24 23:59:59.999
55,0.871,0.959,0.744,0.8,33109590.2,2022-05-01 23:59:59.999
56,0.799,0.832,0.656,0.667,9789784.8,2022-05-08 23:59:59.999
57,0.668,0.673,0.341,0.521,24943210.5,2022-05-15 23:59:59.999
58,0.52,0.56,0.453,0.529,11754891.3,2022-05-22 23:59:59.999
59,0.528,0.563,0.447,0.49,15150136.9,2022-05-29 23:59:59.999
60,0.49,0.633,0.485,0.534,22174020.0,2022-06-05 23:59:59.999
0,0.535,0.645,0.41,0.411,16010348.5,2022-06-12 23:59:59.999000
