,Open,High,Low,Close,Volume,Close time
0,30.39,50.0,28.59,38.75,4781713.877,2021-11-28 23:59:59.999
1,38.77,49.78,24.63,26.35,4644821.991,2021-12-05 23:59:59.999
2,26.4,35.3,18.8,29.49,6966985.608,2021-12-12 23:59:59.999
3,29.55,29.55,14.08,16.85,13389435.023,2021-12-19 23:59:59.999
4,16.82,23.5,11.95,17.12,12339838.499,2021-12-26 23:59:59.999
5,17.14,20.25,14.28,16.02,5197166.75,2022-01-02 23:59:59.999
6,16.02,16.02,10.62,12.98,7820547.841,2022-01-09 23:59:59.999
7,12.98,16.79,11.59,14.84,7151271.658,2022-01-16 23:59:59.999
8,14.84,14.87,6.72,8.47,6853182.748,2022-01-23 23:59:59.999
9,8.46,11.33,6.68,9.87,8396374.54,2022-01-30 23:59:59.999
10,9.87,15.3,9.22,14.98,11332154.383,2022-02-06 23:59:59.999
11,14.99,16.37,11.93,11.93,9225904.226,2022-02-13 23:59:59.999
12,11.93,14.66,10.13,10.67,5564241.755,2022-02-20 23:59:59.999
13,10.66,11.81,8.02,10.11,8357087.974,2022-02-27 23:59:59.999
14,10.11,12.45,9.11,9.18,6067852.484,2022-03-06 23:59:59.999
15,9.18,10.25,8.3,8.35,4264391.823,2022-03-13 23:59:59.999
16,8.34,10.87,8.04,9.36,5679997.695,2022-03-20 23:59:59.999
17,9.37,10.77,9.19,10.67,3694146.57,2022-03-27 23:59:59.999
18,10.67,18.4,10.62,17.55,15948153.961,2022-04-03 23:59:59.999
19,17.57,19.75,12.44,13.59,17121619.163,2022-04-10 23:59:59.999
20,13.63,13.78,11.14,11.69,9145604.343,2022-04-17 23:59:59.999
21,11.71,14.13,10.88,10.95,9318460.37,2022-04-24 23:59:59.999
22,10.95,11.29,7.66,8.33,7582633.472,2022-05-01 23:59:59.999
23,8.33,11.0,7.67,7.76,12357571.35,2022-05-08 23:59:59.999
24,7.76,7.87,3.03,5.32,15741007.992,2022-05-15 23:59:59.999
25,5.32,5.59,4.09,4.84,7947529.767,2022-05-22 23:59:59.999
26,4.84,5.32,3.71,4.11,5976030.148,2022-05-29 23:59:59.999
27,4.12,4.8,3.82,4.08,4323705.984,2022-06-05 23:59:59.999
0,4.07,4.74,3.39,3.41,5536755.418,2022-06-12 23:59:59.999000
