,Open,High,Low,Close,Volume,Close time
0,0.1739,0.3823,0.1616,0.2582,2349145606.0,2021-11-21 23:59:59.999
1,0.2583,0.345,0.1888,0.208,1348285349.0,2021-11-28 23:59:59.999
2,0.2078,0.3027,0.176,0.1808,999442781.0,2021-12-05 23:59:59.999
3,0.1809,0.1998,0.1421,0.1714,420383377.0,2021-12-12 23:59:59.999
4,0.1714,0.18,0.144,0.154,356043212.0,2021-12-19 23:59:59.999
5,0.1543,0.1937,0.1378,0.1666,499314035.0,2021-12-26 23:59:59.999
6,0.1666,0.181,0.1404,0.1447,231943226.0,2022-01-02 23:59:59.999
7,0.1446,0.1488,0.1013,0.1174,410493485.0,2022-01-09 23:59:59.999
8,0.1173,0.123,0.1027,0.1098,207035373.0,2022-01-16 23:59:59.999
9,0.1099,0.1108,0.0427,0.0517,484674633.0,2022-01-23 23:59:59.999
10,0.0517,0.0583,0.0427,0.0513,355860703.0,2022-01-30 23:59:59.999
11,0.0515,0.0794,0.0472,0.0696,1095331208.0,2022-02-06 23:59:59.999
12,0.0696,0.0899,0.0586,0.0587,706594123.0,2022-02-13 23:59:59.999
13,0.0587,0.0867,0.0567,0.0576,988462644.0,2022-02-20 23:59:59.999
14,0.0576,0.0641,0.0434,0.0482,588881120.0,2022-02-27 23:59:59.999
15,0.0482,0.0747,0.0475,0.0532,1200669783.0,2022-03-06 23:59:59.999
16,0.0532,0.056,0.0449,0.0459,362365266.0,2022-03-13 23:59:59.999
17,0.0459,0.0649,0.044,0.0527,959398615.0,2022-03-20 23:59:59.999
18,0.0529,0.065,0.0517,0.0644,786039280.0,2022-03-27 23:59:59.999
19,0.0645,0.0796,0.0596,0.0736,1206476819.0,2022-04-03 23:59:59.999
20,0.0736,0.0738,0.0512,0.0524,607584895.0,2022-04-10 23:59:59.999
21,0.0523,0.0543,0.046,0.0465,375662023.0,2022-04-17 23:59:59.999
22,0.0465,0.0544,0.0428,0.0429,564987451.0,2022-04-24 23:59:59.999
23,0.0429,0.0438,0.0285,0.0319,496799360.0,2022-05-01 23:59:59.999
24,0.0318,0.039,0.0263,0.0269,604245354.0,2022-05-08 23:59:59.999
25,0.0269,0.03,0.0085,0.0151,2080413668.0,2022-05-15 23:59:59.999
26,0.0151,0.0169,0.0124,0.015,1325703717.0,2022-05-22 23:59:59.999
27,0.015,0.018,0.0122,0.0143,1411465213.0,2022-05-29 23:59:59.999
28,0.0144,0.0163,0.0126,0.0137,1202982200.0,2022-06-05 23:59:59.999
