,Open,High,Low,Close,Volume,Close time
0,100.4,179.9,100.4,175.3,1055606.876,2021-08-01 23:59:59.999
1,175.6,191.7,142.8,152.0,820987.047,2021-08-08 23:59:59.999
2,152.1,166.8,142.4,165.0,324561.492,2021-08-15 23:59:59.999
3,164.9,202.9,149.2,183.2,578794.054,2021-08-22 23:59:59.999
4,183.3,213.3,178.3,189.9,349027.466,2021-08-29 23:59:59.999
5,189.9,331.8,176.1,319.2,780418.01,2021-09-05 23:59:59.999
6,319.2,430.0,279.1,357.3,1987617.275,2021-09-12 23:59:59.999
7,357.4,418.2,322.3,347.0,558336.007,2021-09-19 23:59:59.999
8,347.4,350.0,255.1,294.0,744069.553,2021-09-26 23:59:59.999
9,294.0,344.6,267.2,316.6,310389.06,2021-10-03 23:59:59.999
10,316.7,330.1,285.1,294.0,278350.695,2021-10-10 23:59:59.999
11,294.6,329.6,264.2,300.8,287847.345,2021-10-17 23:59:59.999
12,300.8,307.0,279.0,290.6,222430.725,2021-10-24 23:59:59.999
13,290.2,326.0,270.4,283.6,289442.349,2021-10-31 23:59:59.999
14,283.2,284.0,236.2,262.3,319502.03,2021-11-07 23:59:59.999
15,262.5,315.0,248.1,269.9,459296.613,2021-11-14 23:59:59.999
16,269.7,293.8,219.9,226.0,318338.025,2021-11-21 23:59:59.999
17,226.2,268.0,193.6,207.6,411899.165,2021-11-28 23:59:59.999
18,207.6,217.7,150.8,172.8,496049.59,2021-12-05 23:59:59.999
19,173.0,229.5,145.1,198.8,819636.34,2021-12-12 23:59:59.999
20,198.5,216.7,165.0,182.1,432298.873,2021-12-19 23:59:59.999
21,182.4,209.3,166.8,194.0,279918.935,2021-12-26 23:59:59.999
22,194.3,209.0,172.0,187.2,208011.896,2022-01-02 23:59:59.999
23,187.0,190.9,156.8,170.5,337061.954,2022-01-09 23:59:59.999
24,170.4,177.8,158.0,167.6,253461.505,2022-01-16 23:59:59.999
25,167.6,169.6,84.0,109.7,743641.989,2022-01-23 23:59:59.999
26,109.5,111.1,86.1,94.7,640271.273,2022-01-30 23:59:59.999
27,94.9,147.0,87.6,135.5,1003582.001,2022-02-06 23:59:59.999
28,135.5,162.0,121.3,122.0,675356.381,2022-02-13 23:59:59.999
29,121.9,134.8,102.0,107.8,487387.503,2022-02-20 23:59:59.999
30,107.8,129.4,92.9,105.7,953902.795,2022-02-27 23:59:59.999
31,105.7,132.7,102.0,110.3,624630.346,2022-03-06 23:59:59.999
32,110.2,126.0,106.7,112.0,411908.729,2022-03-13 23:59:59.999
33,111.9,124.9,108.2,118.5,241902.904,2022-03-20 23:59:59.999
34,118.5,149.9,115.1,148.7,381367.394,2022-03-27 23:59:59.999
35,148.7,154.3,131.6,139.8,340650.961,2022-04-03 23:59:59.999
36,139.8,144.2,118.5,120.6,251272.34,2022-04-10 23:59:59.999
37,120.7,121.8,110.3,110.9,155998.714,2022-04-17 23:59:59.999
38,110.7,117.3,105.1,110.6,203872.999,2022-04-24 23:59:59.999
39,110.5,110.8,91.6,97.2,287510.429,2022-05-01 23:59:59.999
40,97.3,104.4,80.9,83.3,256657.44,2022-05-08 23:59:59.999
41,83.3,85.9,48.6,75.3,966079.103,2022-05-15 23:59:59.999
42,75.1,76.9,63.1,69.5,198958.183,2022-05-22 23:59:59.999
43,69.7,72.0,60.4,66.4,198673.38,2022-05-29 23:59:59.999
44,66.4,73.8,63.6,64.7,188268.803,2022-06-05 23:59:59.999
