,Open,High,Low,Close,Volume,Close time
0,16.0,22.0,13.1,17.958,9949939.592,2018-03-25 23:59:59.999
1,17.97,18.161,12.537,13.326,2694107.982,2018-04-01 23:59:59.999
2,13.326,15.1,12.514,13.399,761381.302,2018-04-08 23:59:59.999
3,13.389,17.659,12.879,16.811,1435300.442,2018-04-15 23:59:59.999
4,16.841,20.692,15.5,19.107,1045479.074,2018-04-22 23:59:59.999
5,19.107,23.98,17.972,23.001,2157347.597,2018-04-29 23:59:59.999
6,23.001,25.8,20.5,22.88,2191567.354,2018-05-06 23:59:59.999
7,22.876,22.997,14.28,17.199,1456611.887,2018-05-13 23:59:59.999
8,17.198,18.759,14.82,16.759,1277497.404,2018-05-20 23:59:59.999
9,16.758,16.915,12.51,13.143,861674.359,2018-05-27 23:59:59.999
10,13.155,14.893,12.0,14.648,1046743.301,2018-06-03 23:59:59.999
11,14.649,14.894,11.081,11.35,734575.58,2018-06-10 23:59:59.999
12,11.351,12.699,10.0,10.421,627786.2,2018-06-17 23:59:59.999
13,10.421,10.911,7.33,8.047,786292.126,2018-06-24 23:59:59.999
14,8.047,9.703,7.511,8.54,5453110.503,2018-07-01 23:59:59.999
15,8.557,9.549,8.336,8.89,1222595.742,2018-07-08 23:59:59.999
16,8.898,9.8,7.3,7.848,882326.464,2018-07-15 23:59:59.999
17,7.851,9.161,7.392,7.815,1601829.229,2018-07-22 23:59:59.999
18,7.814,8.329,7.571,7.729,1073704.366,2018-07-29 23:59:59.999
19,7.742,7.77,5.926,6.524,1884155.861,2018-08-05 23:59:59.999
20,6.526,6.724,4.44,4.602,1448136.306,2018-08-12 23:59:59.999
21,4.601,5.2,3.547,4.61,3145952.257,2018-08-19 23:59:59.999
22,4.609,4.658,3.984,4.127,2242132.876,2018-08-26 23:59:59.999
23,4.125,5.244,4.071,4.758,5407881.533,2018-09-02 23:59:59.999
24,4.759,4.916,3.442,3.597,3852952.805,2018-09-09 23:59:59.999
25,3.596,3.681,3.075,3.46,2380915.907,2018-09-16 23:59:59.999
26,3.463,4.417,3.103,4.143,5141469.844,2018-09-23 23:59:59.999
27,4.143,4.2,3.451,3.866,3906281.83,2018-09-30 23:59:59.999
28,3.864,3.944,3.674,3.853,1026936.465,2018-10-07 23:59:59.999
29,3.845,4.146,3.355,3.478,1699726.226,2018-10-14 23:59:59.999
30,3.478,4.565,3.415,4.272,3156551.573,2018-10-21 23:59:59.999
31,4.272,4.78,3.961,4.054,3354516.906,2018-10-28 23:59:59.999
32,4.051,4.104,3.712,4.009,1084671.768,2018-11-04 23:59:59.999
33,4.009,4.32,3.785,3.894,1353715.64,2018-11-11 23:59:59.999
34,3.902,3.914,2.972,3.121,1526298.109,2018-11-18 23:59:59.999
35,3.128,3.128,1.875,2.103,2953811.314,2018-11-25 23:59:59.999
36,2.103,2.3,1.846,2.124,2541010.813,2018-12-02 23:59:59.999
37,2.125,2.137,1.45,1.636,2101936.181,2018-12-09 23:59:59.999
38,1.636,2.051,1.524,1.721,3900700.44,2018-12-16 23:59:59.999
39,1.721,2.74,1.698,2.73,7084307.346,2018-12-23 23:59:59.999
40,2.73,3.025,2.021,2.275,3553457.876,2018-12-30 23:59:59.999
41,2.274,2.354,2.1,2.291,1721645.743,2019-01-06 23:59:59.999
42,2.292,2.582,1.995,2.008,3608151.138,2019-01-13 23:59:59.999
43,2.013,2.186,1.967,2.025,1682790.632,2019-01-20 23:59:59.999
44,2.031,2.109,1.952,1.992,1124559.854,2019-01-27 23:59:59.999
45,1.988,2.0,1.774,1.821,1022361.614,2019-02-03 23:59:59.999
46,1.826,1.98,1.704,1.956,1043519.648,2019-02-10 23:59:59.999
47,1.956,2.0,1.868,1.966,1122832.918,2019-02-17 23:59:59.999
48,1.971,2.448,1.958,2.002,3216074.474,2019-02-24 23:59:59.999
49,2.001,2.19,1.996,2.044,1609812.346,2019-03-03 23:59:59.999
50,2.04,2.221,1.903,2.129,1969919.606,2019-03-10 23:59:59.999
51,2.131,3.3,2.027,2.502,8464395.257,2019-03-17 23:59:59.999
52,2.502,2.724,2.344,2.595,4930379.698,2019-03-24 23:59:59.999
53,2.595,3.115,2.371,2.928,5600624.897,2019-03-31 23:59:59.999
54,2.929,3.69,2.87,3.613,8893259.169,2019-04-07 23:59:59.999
55,3.613,3.673,2.765,2.93,3873260.852,2019-04-14 23:59:59.999
56,2.931,2.999,2.594,2.703,2666004.523,2019-04-21 23:59:59.999
57,2.701,2.82,2.279,2.377,3909229.549,2019-04-28 23:59:59.999
58,2.377,2.826,2.244,2.452,3670919.532,2019-05-05 23:59:59.999
59,2.45,2.64,2.291,2.421,2443186.383,2019-05-12 23:59:59.999
60,2.403,3.53,2.383,3.14,5622386.778,2019-05-19 23:59:59.999
61,3.132,3.255,2.723,3.062,3733239.706,2019-05-26 23:59:59.999
