,Open,High,Low,Close,Volume,Close time
0,638.3,890.0,638.3,712.1,44368.647,2021-08-15 23:59:59.999
1,712.1,790.0,586.3,724.5,43577.116,2021-08-22 23:59:59.999
2,722.9,757.0,586.5,606.7,27784.304,2021-08-29 23:59:59.999
3,606.7,641.8,556.0,597.8,30287.684,2021-09-05 23:59:59.999
4,598.4,606.6,419.5,443.5,26773.774,2021-09-12 23:59:59.999
5,443.9,613.4,403.0,449.7,65787.458,2021-09-19 23:59:59.999
6,451.0,451.7,327.8,358.8,52264.107,2021-09-26 23:59:59.999
7,357.1,558.9,330.4,422.8,96183.425,2021-10-03 23:59:59.999
8,423.4,444.3,394.1,396.4,27626.835,2021-10-10 23:59:59.999
9,396.4,472.5,368.6,400.0,34917.304,2021-10-17 23:59:59.999
10,398.9,439.7,389.0,397.8,21713.043,2021-10-24 23:59:59.999
11,397.0,535.8,390.9,408.7,74319.987,2021-10-31 23:59:59.999
12,409.2,467.6,393.4,416.1,34421.607,2021-11-07 23:59:59.999
13,416.6,438.7,381.2,392.6,27157.064,2021-11-14 23:59:59.999
14,392.6,398.9,333.9,351.0,22575.237,2021-11-21 23:59:59.999
15,350.9,355.0,302.2,324.2,26778.887,2021-11-28 23:59:59.999
16,324.2,350.0,244.0,273.2,28460.941,2021-12-05 23:59:59.999
17,273.2,312.9,239.6,245.9,61255.993,2021-12-12 23:59:59.999
18,245.8,259.7,211.9,235.3,34933.714,2021-12-19 23:59:59.999
19,234.6,300.0,217.9,272.3,56976.109,2021-12-26 23:59:59.999
20,272.5,570.0,251.0,331.3,566367.031,2022-01-02 23:59:59.999
21,331.3,362.8,264.3,278.5,84715.876,2022-01-09 23:59:59.999
22,278.4,324.9,251.2,288.0,75532.539,2022-01-16 23:59:59.999
23,288.0,291.7,163.0,186.5,51518.734,2022-01-23 23:59:59.999
24,186.5,190.0,156.7,173.0,31406.884,2022-01-30 23:59:59.999
25,173.0,249.4,166.1,201.2,75671.123,2022-02-06 23:59:59.999
26,201.3,239.1,185.8,194.6,49423.525,2022-02-13 23:59:59.999
27,195.0,227.0,170.2,178.7,36553.962,2022-02-20 23:59:59.999
28,178.8,185.0,140.0,157.1,32015.862,2022-02-27 23:59:59.999
29,156.7,192.0,154.6,157.8,46444.602,2022-03-06 23:59:59.999
30,157.7,201.1,150.1,171.5,76351.189,2022-03-13 23:59:59.999
31,171.5,318.0,166.2,227.9,286834.235,2022-03-20 23:59:59.999
32,228.1,239.5,207.5,232.1,74340.724,2022-03-27 23:59:59.999
33,232.1,271.0,214.5,243.6,79740.195,2022-04-03 23:59:59.999
34,243.6,257.0,214.4,217.4,44129.842,2022-04-10 23:59:59.999
35,217.0,217.7,187.8,192.2,37674.498,2022-04-17 23:59:59.999
36,192.1,200.6,168.7,170.7,25018.965,2022-04-24 23:59:59.999
37,170.8,213.7,154.0,176.7,187772.454,2022-05-01 23:59:59.999
38,176.4,186.3,126.8,129.8,62144.767,2022-05-08 23:59:59.999
39,129.7,131.4,55.4,85.2,110386.259,2022-05-15 23:59:59.999
40,85.3,92.4,68.4,76.4,86771.248,2022-05-22 23:59:59.999
41,76.4,92.8,66.7,71.8,98351.826,2022-05-29 23:59:59.999
42,71.8,82.0,66.1,69.3,92095.295,2022-06-05 23:59:59.999
0,69.3,73.3,50.6,51.2,58498.492,2022-06-12 23:59:59.999000
0,51.2,60.8,37.9,43.4,309215.42,2022-06-19 23:59:59.999000
1,43.6,70.9,41.1,50.5,411264.334,2022-06-26 23:59:59.999000
2,50.5,64.0,48.0,52.5,266103.318,2022-07-03 23:59:59.999000
3,52.6,69.8,50.9,59.5,173912.369,2022-07-10 23:59:59.999000
4,59.5,121.3,49.7,68.0,863182.017,2022-07-17 23:59:59.999000
