,Open,High,Low,Close,Volume,Close time
0,9.701,30.5,9.701,17.175,27796685.0,2021-10-10 23:59:59.999
1,17.181,18.0,12.453,13.117,8971719.6,2021-10-17 23:59:59.999
2,13.093,14.345,11.31,11.4,2887216.0,2021-10-24 23:59:59.999
3,11.4,12.614,9.84,10.44,2735567.0,2021-10-31 23:59:59.999
4,10.439,12.556,10.07,11.269,3058461.5,2021-11-07 23:59:59.999
5,11.287,17.047,11.112,12.822,13057889.8,2021-11-14 23:59:59.999
6,12.822,16.611,12.55,13.207,6447305.8,2021-11-21 23:59:59.999
7,13.207,24.07,11.244,14.732,17309564.3,2021-11-28 23:59:59.999
8,14.699,15.959,10.028,10.666,6304090.4,2021-12-05 23:59:59.999
9,10.705,14.15,10.127,10.796,5162082.5,2021-12-12 23:59:59.999
10,10.78,10.832,9.0,9.9,1661947.7,2021-12-19 23:59:59.999
11,9.9,12.236,9.328,10.599,3227672.8,2021-12-26 23:59:59.999
12,10.599,12.3,10.3,11.159,3815226.7,2022-01-02 23:59:59.999
13,11.159,11.689,8.272,8.542,3062624.1,2022-01-09 23:59:59.999
14,8.551,8.744,7.65,8.203,2328734.8,2022-01-16 23:59:59.999
15,8.204,8.215,4.918,5.218,2678820.5,2022-01-23 23:59:59.999
16,5.218,5.52,4.616,5.085,3115648.3,2022-01-30 23:59:59.999
17,5.084,6.443,4.975,5.795,3876191.3,2022-02-06 23:59:59.999
18,5.79,6.872,5.313,5.446,2845567.9,2022-02-13 23:59:59.999
19,5.435,8.256,5.005,7.045,8918039.1,2022-02-20 23:59:59.999
20,7.052,7.879,3.985,4.296,10569663.7,2022-02-27 23:59:59.999
21,4.295,6.65,4.225,4.884,10566440.9,2022-03-06 23:59:59.999
22,4.89,4.904,4.234,4.429,2374347.0,2022-03-13 23:59:59.999
23,4.436,5.6,4.203,4.831,5198157.4,2022-03-20 23:59:59.999
24,4.833,5.418,4.59,5.318,4539126.0,2022-03-27 23:59:59.999
25,5.313,9.657,5.025,6.045,20459022.7,2022-04-03 23:59:59.999
26,6.053,6.058,4.85,4.995,5027643.6,2022-04-10 23:59:59.999
27,4.994,5.339,4.481,4.58,3155364.3,2022-04-17 23:59:59.999
28,4.575,4.938,4.352,4.387,2757918.6,2022-04-24 23:59:59.999
29,4.386,4.557,3.639,3.813,2176360.2,2022-05-01 23:59:59.999
30,3.813,4.469,3.31,3.332,2971676.9,2022-05-08 23:59:59.999
31,3.332,3.38,1.544,2.014,2764696.5,2022-05-15 23:59:59.999
32,2.011,2.456,1.875,2.054,3551873.2,2022-05-22 23:59:59.999
33,2.052,3.596,1.916,2.178,24331557.1,2022-05-29 23:59:59.999
34,2.173,2.565,1.967,2.099,7548205.0,2022-06-05 23:59:59.999
0,2.103,2.5,1.705,1.726,9929541.0,2022-06-12 23:59:59.999000
