,Open,High,Low,Close,Volume,Close time
0,0.68,1.3,0.52,0.6769,313457240.64,2021-03-28 23:59:59.999
1,0.6745,0.8768,0.5871,0.6321,130944423.26,2021-04-04 23:59:59.999
2,0.6321,0.99,0.587,0.8652,198942934.12,2021-04-11 23:59:59.999
3,0.8669,0.9309,0.53,0.6414,125503689.97,2021-04-18 23:59:59.999
4,0.6404,0.6516,0.3841,0.4386,215629517.57,2021-04-25 23:59:59.999
5,0.4386,0.61,0.4302,0.6,218440242.01,2021-05-02 23:59:59.999
6,0.5999,0.7,0.5617,0.6407,177017522.96,2021-05-09 23:59:59.999
7,0.6399,0.6493,0.4059,0.4197,99937740.16,2021-05-16 23:59:59.999
8,0.4198,0.4205,0.123,0.1485,129435880.7,2021-05-23 23:59:59.999
9,0.1485,0.46,0.1441,0.234,408283270.26,2021-05-30 23:59:59.999
10,0.234,0.305,0.222,0.2381,137430175.62,2021-06-06 23:59:59.999
11,0.2374,0.2619,0.185,0.2121,94347552.24,2021-06-13 23:59:59.999
12,0.2115,0.2586,0.1795,0.1934,83699946.08,2021-06-20 23:59:59.999
13,0.1934,0.1954,0.1339,0.1556,73623257.18,2021-06-27 23:59:59.999
14,0.156,0.19,0.1498,0.1623,68761151.32,2021-07-04 23:59:59.999
15,0.1622,0.1869,0.1521,0.1753,106963506.84,2021-07-11 23:59:59.999
16,0.1747,0.1878,0.1445,0.1471,67449520.64,2021-07-18 23:59:59.999
17,0.1474,0.2158,0.125,0.1885,298807722.35,2021-07-25 23:59:59.999
18,0.1882,0.2377,0.1663,0.2092,270832189.5,2021-08-01 23:59:59.999
19,0.2094,0.255,0.189,0.2236,157694555.76,2021-08-08 23:59:59.999
20,0.2236,0.3,0.2175,0.2809,300258906.66,2021-08-15 23:59:59.999
21,0.281,0.38,0.266,0.3157,168203184.0,2021-08-22 23:59:59.999
22,0.3157,0.3649,0.292,0.3116,81868240.72,2021-08-29 23:59:59.999
23,0.3114,0.4846,0.2957,0.3868,365530961.44,2021-09-05 23:59:59.999
24,0.3868,0.5693,0.34,0.4025,475681642.7,2021-09-12 23:59:59.999
25,0.4027,0.4424,0.3594,0.3646,102937612.0,2021-09-19 23:59:59.999
26,0.3644,0.3688,0.247,0.273,95979364.47,2021-09-26 23:59:59.999
27,0.2731,0.36,0.2489,0.3028,131526404.0,2021-10-03 23:59:59.999
28,0.3023,0.345,0.2815,0.2929,97031899.0,2021-10-10 23:59:59.999
29,0.2929,0.365,0.2581,0.3089,182318221.0,2021-10-17 23:59:59.999
30,0.3084,0.3422,0.28,0.286,92674564.0,2021-10-24 23:59:59.999
31,0.286,0.3043,0.2581,0.271,75141425.0,2021-10-31 23:59:59.999
32,0.271,0.3154,0.2651,0.2967,98032017.0,2021-11-07 23:59:59.999
33,0.2973,0.36,0.2593,0.3147,144301410.0,2021-11-14 23:59:59.999
34,0.3148,0.356,0.2789,0.2967,143960688.0,2021-11-21 23:59:59.999
35,0.2967,0.4777,0.268,0.2998,761454537.0,2021-11-28 23:59:59.999
36,0.3,0.3388,0.2202,0.2296,325231939.35,2021-12-05 23:59:59.999
37,0.23,0.244,0.2009,0.2112,177247911.17,2021-12-12 23:59:59.999
38,0.2107,0.2743,0.1802,0.1945,294494358.0,2021-12-19 23:59:59.999
39,0.1947,0.2275,0.1863,0.2124,77588081.0,2021-12-26 23:59:59.999
40,0.2127,0.239,0.189,0.1946,56341123.0,2022-01-02 23:59:59.999
41,0.1946,0.195,0.1547,0.16,75407179.16,2022-01-09 23:59:59.999
42,0.16,0.1768,0.142,0.1547,78801989.33,2022-01-16 23:59:59.999
43,0.1545,0.1545,0.0928,0.1048,92974449.37,2022-01-23 23:59:59.999
44,0.1049,0.1109,0.0903,0.1054,68715664.0,2022-01-30 23:59:59.999
45,0.1055,0.1277,0.0999,0.1217,86526146.0,2022-02-06 23:59:59.999
46,0.1217,0.134,0.1107,0.1119,64187374.0,2022-02-13 23:59:59.999
47,0.1121,0.1431,0.0946,0.0959,90452167.0,2022-02-20 23:59:59.999
48,0.0957,0.1005,0.072,0.0795,73368259.02,2022-02-27 23:59:59.999
49,0.0794,0.0998,0.0776,0.0776,61445997.0,2022-03-06 23:59:59.999
50,0.0776,0.0805,0.0678,0.0681,53034218.0,2022-03-13 23:59:59.999
51,0.0681,0.096,0.0675,0.0799,283455402.0,2022-03-20 23:59:59.999
52,0.0799,0.115,0.0779,0.0962,240953369.0,2022-03-27 23:59:59.999
53,0.0962,0.1175,0.0924,0.1081,180161897.0,2022-04-03 23:59:59.999
54,0.108,0.1671,0.0945,0.1038,1263645716.0,2022-04-10 23:59:59.999
55,0.1038,0.117,0.0878,0.0965,364522935.0,2022-04-17 23:59:59.999
56,0.0964,0.1075,0.0893,0.0914,161916304.0,2022-04-24 23:59:59.999
57,0.0914,0.0915,0.0696,0.0733,100857892.0,2022-05-01 23:59:59.999
58,0.0732,0.0777,0.0615,0.0621,86980975.0,2022-05-08 23:59:59.999
59,0.062,0.0631,0.0264,0.037,254199058.33,2022-05-15 23:59:59.999
60,0.037,0.0789,0.0324,0.0421,1025824775.0,2022-05-22 23:59:59.999
61,0.042,0.0446,0.0344,0.0405,180206900.0,2022-05-29 23:59:59.999
62,0.0404,0.0534,0.0372,0.042,370657446.0,2022-06-05 23:59:59.999
