,Open,High,Low,Close,Volume,Close time
0,1.481,5.0,1.481,2.056,188896665.0,2021-10-17 23:59:59.999
1,2.056,2.54,1.851,1.885,48580646.6,2021-10-24 23:59:59.999
2,1.886,2.1,1.52,1.959,35206413.8,2021-10-31 23:59:59.999
3,1.959,2.051,1.619,1.772,20087516.6,2021-11-07 23:59:59.999
4,1.773,1.823,1.426,1.507,21962428.1,2021-11-14 23:59:59.999
5,1.507,2.64,1.406,2.132,112388543.4,2021-11-21 23:59:59.999
6,2.131,2.5,1.535,1.737,55069638.9,2021-11-28 23:59:59.999
7,1.734,2.08,0.992,1.203,31035527.1,2021-12-05 23:59:59.999
8,1.202,1.796,1.066,1.221,30309752.0,2021-12-12 23:59:59.999
9,1.221,1.222,0.999,1.016,16335031.9,2021-12-19 23:59:59.999
10,1.015,1.226,0.896,1.055,35029169.6,2021-12-26 23:59:59.999
11,1.054,1.346,0.915,1.016,38825980.4,2022-01-02 23:59:59.999
12,1.013,1.264,0.783,0.838,50331733.0,2022-01-09 23:59:59.999
13,0.838,0.896,0.724,0.789,26553904.6,2022-01-16 23:59:59.999
14,0.789,0.79,0.394,0.468,31939507.1,2022-01-23 23:59:59.999
15,0.468,0.679,0.377,0.514,60287256.7,2022-01-30 23:59:59.999
16,0.513,0.728,0.5,0.644,53554898.7,2022-02-06 23:59:59.999
17,0.643,0.865,0.514,0.725,64176967.8,2022-02-13 23:59:59.999
18,0.723,0.849,0.546,0.577,93023969.6,2022-02-20 23:59:59.999
19,0.578,0.597,0.401,0.494,38832004.7,2022-02-27 23:59:59.999
20,0.494,0.608,0.445,0.45,27529148.5,2022-03-06 23:59:59.999
21,0.45,0.495,0.416,0.42,23541005.6,2022-03-13 23:59:59.999
22,0.42,1.05,0.417,0.758,336602370.3,2022-03-20 23:59:59.999
23,0.757,0.879,0.588,0.67,228372705.4,2022-03-27 23:59:59.999
24,0.67,0.92,0.603,0.7,108187544.0,2022-04-03 23:59:59.999
25,0.699,0.788,0.548,0.678,84408639.7,2022-04-10 23:59:59.999
26,0.679,0.71,0.561,0.573,94222140.3,2022-04-17 23:59:59.999
27,0.574,0.678,0.548,0.601,63198004.8,2022-04-24 23:59:59.999
28,0.601,0.604,0.416,0.451,32303305.1,2022-05-01 23:59:59.999
29,0.452,0.53,0.345,0.35,35549460.2,2022-05-08 23:59:59.999
30,0.35,0.357,0.135,0.201,59640753.5,2022-05-15 23:59:59.999
31,0.202,0.323,0.177,0.258,143879945.6,2022-05-22 23:59:59.999
32,0.258,0.438,0.233,0.271,108921562.0,2022-05-29 23:59:59.999
33,0.271,0.308,0.236,0.256,36509683.3,2022-06-05 23:59:59.999
0,0.256,0.273,0.175,0.175,24432330.8,2022-06-12 23:59:59.999000
0,0.175,0.187,0.145,0.164,31361642.9,2022-06-19 23:59:59.999000
1,0.164,0.27,0.159,0.19,81445976.9,2022-06-26 23:59:59.999000
2,0.19,0.287,0.185,0.211,84125582.4,2022-07-03 23:59:59.999000
3,0.211,0.267,0.207,0.225,34487796.4,2022-07-10 23:59:59.999000
4,0.225,0.292,0.211,0.252,60152452.2,2022-07-17 23:59:59.999000
