,Open,High,Low,Close,Volume,Close time
0,3.862,5.88,3.862,5.816,16310638.3,2021-08-15 23:59:59.999
1,5.817,8.9,5.8,7.159,37099965.3,2021-08-22 23:59:59.999
2,7.162,17.8,6.668,11.499,76268802.0,2021-08-29 23:59:59.999
3,11.517,14.5,10.701,12.46,56486365.9,2021-09-05 23:59:59.999
4,12.473,16.96,10.0,16.484,60901202.1,2021-09-12 23:59:59.999
5,16.486,16.767,11.75,12.0,17986660.5,2021-09-19 23:59:59.999
6,12.0,12.079,9.0,9.687,14360060.0,2021-09-26 23:59:59.999
7,9.679,11.985,8.91,11.544,11762126.3,2021-10-03 23:59:59.999
8,11.544,11.626,9.52,9.568,6484050.3,2021-10-10 23:59:59.999
9,9.568,10.595,9.022,9.546,8180477.6,2021-10-17 23:59:59.999
10,9.551,11.239,9.251,10.228,9013943.3,2021-10-24 23:59:59.999
11,10.23,11.491,8.558,10.605,10241657.8,2021-10-31 23:59:59.999
12,10.608,13.443,10.196,12.662,15197456.2,2021-11-07 23:59:59.999
13,12.657,12.693,10.062,11.208,7111346.4,2021-11-14 23:59:59.999
14,11.206,11.5,9.133,10.283,5252051.7,2021-11-21 23:59:59.999
15,10.285,10.546,9.043,9.977,5410433.6,2021-11-28 23:59:59.999
16,9.977,11.85,7.919,8.997,11540755.8,2021-12-05 23:59:59.999
17,8.997,9.074,7.579,8.004,4941961.2,2021-12-12 23:59:59.999
18,8.003,8.031,7.05,7.197,3566687.1,2021-12-19 23:59:59.999
19,7.195,8.2,6.819,7.604,3756239.3,2021-12-26 23:59:59.999
20,7.605,8.2,6.284,6.881,4329399.7,2022-01-02 23:59:59.999
21,6.874,6.973,5.082,5.357,4694772.1,2022-01-09 23:59:59.999
22,5.355,5.647,4.946,5.407,3399865.4,2022-01-16 23:59:59.999
23,5.408,5.414,3.452,3.753,5783860.1,2022-01-23 23:59:59.999
24,3.749,3.963,3.142,3.749,6557378.9,2022-01-30 23:59:59.999
25,3.747,4.064,3.491,3.922,5255588.6,2022-02-06 23:59:59.999
26,3.922,4.42,3.458,3.488,9351032.0,2022-02-13 23:59:59.999
27,3.488,3.859,2.818,2.864,6861704.7,2022-02-20 23:59:59.999
28,2.865,2.994,2.344,2.434,8235416.3,2022-02-27 23:59:59.999
29,2.434,2.871,2.408,2.494,7869913.2,2022-03-06 23:59:59.999
30,2.494,2.618,2.276,2.286,5709184.8,2022-03-13 23:59:59.999
31,2.286,2.982,2.268,2.701,15291715.8,2022-03-20 23:59:59.999
32,2.701,3.234,2.644,3.181,13165201.1,2022-03-27 23:59:59.999
33,3.182,3.826,3.15,3.661,16769427.8,2022-04-03 23:59:59.999
34,3.664,3.666,2.872,2.887,7332080.6,2022-04-10 23:59:59.999
35,2.886,2.892,2.624,2.635,5064471.2,2022-04-17 23:59:59.999
36,2.633,2.828,2.503,2.678,4936883.4,2022-04-24 23:59:59.999
37,2.678,2.685,2.0,2.218,6315051.0,2022-05-01 23:59:59.999
38,2.219,2.267,1.85,1.86,6246633.5,2022-05-08 23:59:59.999
39,1.861,1.89,1.128,1.352,24490145.5,2022-05-15 23:59:59.999
40,1.353,1.354,1.043,1.092,10836804.0,2022-05-22 23:59:59.999
41,1.091,1.125,0.853,0.952,13238826.9,2022-05-29 23:59:59.999
42,0.952,1.081,0.851,0.883,13129187.5,2022-06-05 23:59:59.999
0,0.881,0.987,0.711,0.735,16645517.6,2022-06-12 23:59:59.999000
0,0.735,0.75,0.589,0.7,12213167.9,2022-06-19 23:59:59.999000
1,0.7,0.791,0.668,0.72,9133094.2,2022-06-26 23:59:59.999000
2,0.718,0.743,0.617,0.678,6158724.6,2022-07-03 23:59:59.999000
3,0.678,0.83,0.664,0.77,11723038.5,2022-07-10 23:59:59.999000
4,0.77,1.0,0.679,0.896,50159764.1,2022-07-17 23:59:59.999000
