,Open,High,Low,Close,Volume,Close time
0,0.1506,0.178,0.072,0.075,541744682.3,2022-05-08 23:59:59.999
1,0.075,0.0773,0.0195,0.0414,389812882.5,2022-05-15 23:59:59.999
2,0.0414,0.0947,0.0361,0.0504,1027210222.1,2022-05-22 23:59:59.999
3,0.0503,0.059,0.042,0.0456,323030585.2,2022-05-29 23:59:59.999
4,0.0457,0.0495,0.0412,0.0426,167351899.7,2022-06-05 23:59:59.999
0,0.0426,0.0479,0.0321,0.0324,182471668.0,2022-06-12 23:59:59.999000
0,0.0324,0.0356,0.0241,0.0282,291840528.9,2022-06-19 23:59:59.999000
1,0.0284,0.0619,0.0267,0.0352,964956688.3,2022-06-26 23:59:59.999000
2,0.0352,0.0388,0.0307,0.0349,337230533.2,2022-07-03 23:59:59.999000
3,0.0349,0.061,0.0336,0.0454,961302141.4,2022-07-10 23:59:59.999000
4,0.0454,0.061,0.0418,0.0436,553412810.2,2022-07-17 23:59:59.999000
