,Open,High,Low,Close,Volume,Close time
0,0.035,0.0433,0.03231,0.04104,10057069.7,2019-09-29 23:59:59.999
1,0.04104,0.04577,0.03539,0.04277,16865588.8,2019-10-06 23:59:59.999
2,0.04277,0.07,0.0405,0.06047,59057277.4,2019-10-13 23:59:59.999
3,0.06004,0.06923,0.05026,0.05441,33695956.2,2019-10-20 23:59:59.999
4,0.05441,0.06043,0.04773,0.05169,34109933.1,2019-10-27 23:59:59.999
5,0.05169,0.05653,0.0485,0.05366,16276067.6,2019-11-03 23:59:59.999
6,0.05325,0.06438,0.05052,0.05594,37575564.9,2019-11-10 23:59:59.999
7,0.05587,0.0618,0.0552,0.05591,28488852.8,2019-11-17 23:59:59.999
8,0.05591,0.062,0.04171,0.04217,17382553.7,2019-11-24 23:59:59.999
9,0.04208,0.04398,0.03715,0.03887,24165570.0,2019-12-01 23:59:59.999
10,0.0387,0.04836,0.03411,0.03777,20632846.3,2019-12-08 23:59:59.999
11,0.03784,0.0387,0.03256,0.03607,25854424.4,2019-12-15 23:59:59.999
12,0.03592,0.03654,0.02751,0.03274,16413006.8,2019-12-22 23:59:59.999
13,0.03274,0.0376,0.0304,0.03103,21689477.4,2019-12-29 23:59:59.999
14,0.03092,0.03855,0.03056,0.03527,43771934.3,2020-01-05 23:59:59.999
15,0.03535,0.0483,0.03521,0.04452,68434950.8,2020-01-12 23:59:59.999
16,0.04453,0.04793,0.04057,0.04259,33643275.0,2020-01-19 23:59:59.999
17,0.04246,0.04315,0.03857,0.0415,11963184.5,2020-01-26 23:59:59.999
18,0.04151,0.04715,0.041,0.04656,13183707.7,2020-02-02 23:59:59.999
19,0.04656,0.064,0.04527,0.05918,41665185.1,2020-02-09 23:59:59.999
20,0.05887,0.06913,0.05358,0.06511,29445560.9,2020-02-16 23:59:59.999
21,0.06511,0.06977,0.05429,0.06438,29608123.4,2020-02-23 23:59:59.999
22,0.06408,0.06438,0.04776,0.0554,16998474.0,2020-03-01 23:59:59.999
23,0.05529,0.086,0.05489,0.07282,58020039.7,2020-03-08 23:59:59.999
24,0.07282,0.0869,0.02781,0.03833,100844565.6,2020-03-15 23:59:59.999
25,0.03833,0.04799,0.02654,0.03561,62485766.2,2020-03-22 23:59:59.999
26,0.03551,0.05121,0.03467,0.03867,28458832.5,2020-03-29 23:59:59.999
27,0.03863,0.05395,0.03822,0.04919,19094171.9,2020-04-05 23:59:59.999
28,0.0495,0.0564,0.04781,0.05278,18876806.9,2020-04-12 23:59:59.999
29,0.05214,0.06435,0.04846,0.0605,19684907.4,2020-04-19 23:59:59.999
30,0.06034,0.06599,0.054,0.06403,15775871.9,2020-04-26 23:59:59.999
31,0.06421,0.07456,0.06225,0.06454,15283343.1,2020-05-03 23:59:59.999
32,0.06454,0.08239,0.0592,0.07278,29457205.8,2020-05-10 23:59:59.999
33,0.073,0.08998,0.06391,0.08701,35136832.5,2020-05-17 23:59:59.999
34,0.08708,0.11,0.0701,0.09793,51050325.1,2020-05-24 23:59:59.999
35,0.09774,0.108,0.08603,0.09099,72947178.4,2020-05-31 23:59:59.999
36,0.09088,0.0985,0.08072,0.08922,44511511.2,2020-06-07 23:59:59.999
37,0.08922,0.10874,0.08248,0.10076,66383467.8,2020-06-14 23:59:59.999
38,0.10075,0.1279,0.09381,0.11412,87838190.9,2020-06-21 23:59:59.999
39,0.11402,0.17856,0.11402,0.15004,132612036.4,2020-06-28 23:59:59.999
40,0.15004,0.185,0.14266,0.15837,91024892.7,2020-07-05 23:59:59.999
41,0.15837,0.1998,0.15,0.19326,75277381.8,2020-07-12 23:59:59.999
42,0.19333,0.196,0.15111,0.18807,85089219.0,2020-07-19 23:59:59.999
43,0.18831,0.1925,0.14387,0.15544,67649890.7,2020-07-26 23:59:59.999
44,0.15545,0.19005,0.13363,0.19005,59745704.5,2020-08-02 23:59:59.999
45,0.19015,0.2392,0.1849,0.22394,112651727.3,2020-08-09 23:59:59.999
46,0.22394,0.40984,0.22289,0.3997,134276183.9,2020-08-16 23:59:59.999
47,0.3997,0.57134,0.39,0.438,224994678.4,2020-08-23 23:59:59.999
48,0.438,0.48088,0.3512,0.44315,104085989.0,2020-08-30 23:59:59.999
49,0.44364,0.598,0.22222,0.30391,249010051.7,2020-09-06 23:59:59.999
50,0.30464,0.35553,0.25,0.31899,116096157.3,2020-09-13 23:59:59.999
51,0.31862,0.34,0.22318,0.23384,112504890.9,2020-09-20 23:59:59.999
52,0.23384,0.25822,0.16,0.24166,187338511.0,2020-09-27 23:59:59.999
53,0.24171,0.29788,0.19764,0.27067,236193866.7,2020-10-04 23:59:59.999
54,0.27008,0.429,0.20754,0.42203,278309945.8,2020-10-11 23:59:59.999
55,0.42241,0.42443,0.31213,0.34563,244183843.0,2020-10-18 23:59:59.999
56,0.34563,0.35991,0.27222,0.31324,166729367.5,2020-10-25 23:59:59.999
57,0.31282,0.3238,0.23037,0.26737,121457369.1,2020-11-01 23:59:59.999
58,0.26756,0.35,0.23511,0.30669,179407907.0,2020-11-08 23:59:59.999
59,0.30669,0.35414,0.29029,0.30548,172959425.9,2020-11-15 23:59:59.999
60,0.30418,0.37045,0.29622,0.35249,152209087.7,2020-11-22 23:59:59.999
61,0.35354,0.40657,0.285,0.3214,143582257.2,2020-11-29 23:59:59.999
62,0.32188,0.37299,0.29917,0.34048,80791675.9,2020-12-06 23:59:59.999
63,0.3404,0.3476,0.25217,0.2902,85595114.7,2020-12-13 23:59:59.999
64,0.28972,0.31114,0.27184,0.27899,73554146.6,2020-12-20 23:59:59.999
65,0.27867,0.2984,0.23101,0.28061,91192916.9,2020-12-27 23:59:59.999
66,0.28052,0.40999,0.2766,0.33484,297853668.2,2021-01-03 23:59:59.999
67,0.33505,0.47142,0.29731,0.41195,304430746.0,2021-01-10 23:59:59.999
68,0.41187,0.65,0.3107,0.61889,274955406.4,2021-01-17 23:59:59.999
69,0.61866,0.77999,0.52,0.62879,288954248.4,2021-01-24 23:59:59.999
70,0.62899,0.6679,0.509,0.6309,167330411.4,2021-01-31 23:59:59.999
71,0.63088,0.99,0.58206,0.76804,270209328.5,2021-02-07 23:59:59.999
72,0.76757,1.10255,0.74644,0.89771,225193868.9,2021-02-14 23:59:59.999
73,0.89711,1.84,0.71382,1.38501,360406186.0,2021-02-21 23:59:59.999
74,1.38706,1.41969,0.8821,1.047,269333893.6,2021-02-28 23:59:59.999
75,1.04851,1.19922,0.97291,1.17638,136052479.2,2021-03-07 23:59:59.999
76,1.17792,1.38175,1.10058,1.10119,172400071.7,2021-03-14 23:59:59.999
77,1.10246,1.188,1.011,1.06868,98911404.1,2021-03-21 23:59:59.999
78,1.06868,1.13236,0.8056,1.01294,137606755.4,2021-03-28 23:59:59.999
79,1.01329,1.135,0.96312,1.08012,174550103.3,2021-04-04 23:59:59.999
80,1.0795,1.19,0.9323,1.04589,219725498.5,2021-04-11 23:59:59.999
81,1.0459,1.23419,0.0151,0.9597,283256760.9,2021-04-18 23:59:59.999
82,0.9597,0.982,0.68735,0.74391,170452317.2,2021-04-25 23:59:59.999
