,Open,High,Low,Close,Volume,Close time
0,0.2176,0.4388,0.2176,0.2727,124813539.0,2021-08-22 23:59:59.999
1,0.2717,0.2925,0.225,0.2429,71465229.0,2021-08-29 23:59:59.999
2,0.2426,0.378,0.2226,0.2581,239968638.0,2021-09-05 23:59:59.999
3,0.2586,0.267,0.1799,0.2127,78342213.0,2021-09-12 23:59:59.999
4,0.2132,0.2436,0.2015,0.2093,69262399.0,2021-09-19 23:59:59.999
5,0.2102,0.2149,0.1656,0.1802,112702652.0,2021-09-26 23:59:59.999
6,0.1801,0.2372,0.1716,0.2066,76703566.0,2021-10-03 23:59:59.999
7,0.2074,0.2158,0.1822,0.1834,52171325.0,2021-10-10 23:59:59.999
8,0.1843,0.3565,0.1828,0.2387,474818921.0,2021-10-17 23:59:59.999
9,0.239,0.296,0.2138,0.2139,172809247.0,2021-10-24 23:59:59.999
10,0.2138,0.2269,0.1759,0.2047,69620265.0,2021-10-31 23:59:59.999
11,0.205,0.262,0.2002,0.2203,104822052.0,2021-11-07 23:59:59.999
12,0.2204,0.2575,0.2066,0.2375,83935406.0,2021-11-14 23:59:59.999
13,0.2375,0.2416,0.1865,0.2026,36602029.0,2021-11-21 23:59:59.999
14,0.2026,1.099,0.1967,0.5795,2557465154.0,2021-11-28 23:59:59.999
15,0.5796,0.887,0.4319,0.5467,1618598377.0,2021-12-05 23:59:59.999
16,0.5463,0.6089,0.4321,0.4789,306858463.0,2021-12-12 23:59:59.999
17,0.4789,0.4878,0.3667,0.3711,136686555.0,2021-12-19 23:59:59.999
18,0.3711,0.4321,0.3387,0.393,173667955.0,2021-12-26 23:59:59.999
19,0.3934,0.452,0.3474,0.3765,213576709.0,2022-01-02 23:59:59.999
20,0.3762,0.39,0.2784,0.3,100113573.0,2022-01-09 23:59:59.999
21,0.2999,0.3233,0.2706,0.292,69841145.0,2022-01-16 23:59:59.999
22,0.292,0.421,0.2024,0.2355,443284673.0,2022-01-23 23:59:59.999
23,0.2361,0.26,0.2062,0.2282,119144169.0,2022-01-30 23:59:59.999
24,0.2284,0.3132,0.214,0.2659,266800652.0,2022-02-06 23:59:59.999
25,0.2659,0.317,0.2417,0.2502,169599890.0,2022-02-13 23:59:59.999
26,0.2504,0.2694,0.2179,0.2205,52350684.0,2022-02-20 23:59:59.999
27,0.2207,0.2446,0.178,0.2026,111944049.0,2022-02-27 23:59:59.999
28,0.2029,0.2425,0.1982,0.2014,93032090.0,2022-03-06 23:59:59.999
29,0.2014,0.2379,0.1851,0.2087,129381505.0,2022-03-13 23:59:59.999
30,0.2087,0.2736,0.2023,0.2108,332461965.0,2022-03-20 23:59:59.999
31,0.2109,0.308,0.2104,0.2673,287875934.0,2022-03-27 23:59:59.999
32,0.2676,0.2865,0.2375,0.2723,131455614.0,2022-04-03 23:59:59.999
33,0.2724,0.3368,0.2347,0.239,235480484.0,2022-04-10 23:59:59.999
34,0.2389,0.2399,0.2086,0.2151,42421909.0,2022-04-17 23:59:59.999
35,0.2148,0.253,0.2086,0.2104,78009276.0,2022-04-24 23:59:59.999
36,0.2105,0.2325,0.1822,0.1892,55936600.0,2022-05-01 23:59:59.999
37,0.1892,0.2086,0.1631,0.1701,103479068.0,2022-05-08 23:59:59.999
38,0.1704,0.1833,0.0895,0.1184,235819279.0,2022-05-15 23:59:59.999
39,0.1187,0.1238,0.1057,0.1145,96529513.0,2022-05-22 23:59:59.999
40,0.1145,0.19,0.1097,0.1207,435850788.0,2022-05-29 23:59:59.999
41,0.1207,0.15,0.1152,0.1218,76631306.0,2022-06-05 23:59:59.999
0,0.1216,0.138,0.0987,0.0988,94142269.0,2022-06-12 23:59:59.999000
