,Open,High,Low,Close,Volume,Close time
0,0.1936,0.5,0.1429,0.1894,103536181.93,2021-01-10 23:59:59.999
1,0.1856,0.26,0.1323,0.1841,78760591.83,2021-01-17 23:59:59.999
2,0.1843,0.2095,0.1269,0.1636,29825316.89,2021-01-24 23:59:59.999
3,0.1624,0.1815,0.1465,0.1611,21316942.61,2021-01-31 23:59:59.999
4,0.161,0.285,0.1555,0.215,123416512.11,2021-02-07 23:59:59.999
5,0.2166,0.34,0.2086,0.284,105208171.72,2021-02-14 23:59:59.999
6,0.284,0.37,0.2698,0.3121,48831048.53,2021-02-21 23:59:59.999
7,0.312,0.3149,0.1829,0.2402,35882021.96,2021-02-28 23:59:59.999
8,0.2403,0.2998,0.2364,0.284,26943330.47,2021-03-07 23:59:59.999
9,0.2837,0.3588,0.2761,0.3368,36595813.98,2021-03-14 23:59:59.999
10,0.3367,0.3646,0.2882,0.3215,39110486.61,2021-03-21 23:59:59.999
11,0.3215,0.343,0.2915,0.3281,19272191.62,2021-03-28 23:59:59.999
12,0.3283,0.3718,0.3247,0.3532,33660290.44,2021-04-04 23:59:59.999
13,0.3535,0.415,0.3184,0.3911,90634300.31,2021-04-11 23:59:59.999
14,0.3911,0.46,0.2995,0.329,94276690.37,2021-04-18 23:59:59.999
15,0.329,0.3448,0.2524,0.2668,29932482.79,2021-04-25 23:59:59.999
16,0.2659,0.3798,0.2656,0.3462,161019612.67,2021-05-02 23:59:59.999
17,0.3462,0.3633,0.2949,0.3352,137198317.56,2021-05-09 23:59:59.999
18,0.3351,0.358,0.23,0.2452,66520557.93,2021-05-16 23:59:59.999
19,0.2459,0.2601,0.1465,0.1886,101829128.82,2021-05-23 23:59:59.999
20,0.1894,0.2236,0.1847,0.1949,38525365.01,2021-05-30 23:59:59.999
21,0.1946,0.2115,0.1859,0.1899,26347629.54,2021-06-06 23:59:59.999
22,0.1897,0.2025,0.162,0.186,96072962.95,2021-06-13 23:59:59.999
23,0.186,0.1982,0.1532,0.1588,91988062.57,2021-06-20 23:59:59.999
24,0.1587,0.1594,0.124,0.151,78433627.32,2021-06-27 23:59:59.999
25,0.1513,0.1689,0.1478,0.1608,27056197.0,2021-07-04 23:59:59.999
26,0.1604,0.176,0.154,0.1643,32577386.83,2021-07-11 23:59:59.999
27,0.1643,0.1681,0.1525,0.1547,32534612.2,2021-07-18 23:59:59.999
28,0.1545,0.1734,0.1444,0.1715,32507699.96,2021-07-25 23:59:59.999
29,0.1712,0.2011,0.1703,0.1909,51273584.6,2021-08-01 23:59:59.999
30,0.1903,0.2212,0.1804,0.2128,75650123.08,2021-08-08 23:59:59.999
31,0.2134,0.2412,0.207,0.2373,56911650.26,2021-08-15 23:59:59.999
32,0.2378,0.2548,0.2217,0.2501,55135444.37,2021-08-22 23:59:59.999
33,0.25,0.2574,0.2348,0.2467,29412716.8,2021-08-29 23:59:59.999
34,0.2484,0.2729,0.2393,0.2697,31597782.8,2021-09-05 23:59:59.999
35,0.2698,0.2721,0.222,0.233,33000038.46,2021-09-12 23:59:59.999
36,0.2329,0.2552,0.2107,0.2433,38534139.99,2021-09-19 23:59:59.999
37,0.2436,0.2467,0.1929,0.2051,35563813.0,2021-09-26 23:59:59.999
38,0.205,0.233,0.1947,0.2237,27448851.0,2021-10-03 23:59:59.999
39,0.2235,0.2685,0.2166,0.2547,35678043.0,2021-10-10 23:59:59.999
40,0.2543,0.3,0.2491,0.2824,66659596.38,2021-10-17 23:59:59.999
41,0.2817,0.3042,0.2585,0.2689,43383497.0,2021-10-24 23:59:59.999
42,0.2703,0.2777,0.2534,0.2683,17162474.0,2021-10-31 23:59:59.999
43,0.2682,0.2769,0.2576,0.2735,22669454.0,2021-11-07 23:59:59.999
44,0.2735,0.3077,0.2733,0.2883,30759828.94,2021-11-14 23:59:59.999
