,Open,High,Low,Close,Volume,Close time
0,0.75,0.91,0.6858,0.8159,863134.24,2019-11-17 23:59:59.999
1,0.816,0.8481,0.5269,0.6649,2963290.71,2019-11-24 23:59:59.999
2,0.6646,0.7297,0.5332,0.6142,1962422.69,2019-12-01 23:59:59.999
3,0.6143,0.7185,0.5055,0.6075,2743122.79,2019-12-08 23:59:59.999
4,0.6118,0.6251,0.448,0.4611,3100829.66,2019-12-15 23:59:59.999
5,0.4608,0.479,0.3399,0.3914,2781517.26,2019-12-22 23:59:59.999
6,0.389,0.4168,0.3546,0.3821,951547.28,2019-12-29 23:59:59.999
7,0.3842,0.465,0.3579,0.405,3598231.3,2020-01-05 23:59:59.999
8,0.4048,0.4899,0.3852,0.4561,2279845.85,2020-01-12 23:59:59.999
9,0.4561,0.62,0.4437,0.495,3457768.13,2020-01-19 23:59:59.999
10,0.495,0.546,0.4619,0.5222,1150796.96,2020-01-26 23:59:59.999
11,0.5222,0.725,0.5048,0.6576,3234794.85,2020-02-02 23:59:59.999
12,0.658,0.799,0.6358,0.7186,1969152.12,2020-02-09 23:59:59.999
13,0.7186,0.7932,0.599,0.6439,2120590.55,2020-02-16 23:59:59.999
14,0.6431,0.8106,0.572,0.6805,3632723.41,2020-02-23 23:59:59.999
15,0.6799,0.6873,0.4883,0.5154,1917086.66,2020-03-01 23:59:59.999
16,0.5101,0.6787,0.5,0.5053,2756186.73,2020-03-08 23:59:59.999
17,0.5051,0.5272,0.0001,0.2486,3384607.49,2020-03-15 23:59:59.999
18,0.2457,0.3345,0.1806,0.2461,2710416.15,2020-03-22 23:59:59.999
19,0.2459,0.4499,0.2374,0.2642,4584324.91,2020-03-29 23:59:59.999
20,0.2636,0.35,0.2611,0.3242,2274429.0,2020-04-05 23:59:59.999
21,0.3235,0.4104,0.3084,0.3218,2870086.44,2020-04-12 23:59:59.999
22,0.3208,0.331,0.2807,0.3061,2269479.67,2020-04-19 23:59:59.999
23,0.3061,0.3976,0.2715,0.336,5139663.99,2020-04-26 23:59:59.999
24,0.3362,0.3765,0.3173,0.3231,4283260.55,2020-05-03 23:59:59.999
25,0.3244,0.4802,0.3026,0.3326,10006551.06,2020-05-10 23:59:59.999
26,0.3326,0.4273,0.2971,0.3582,6565709.54,2020-05-17 23:59:59.999
27,0.3588,0.3742,0.325,0.3372,3661654.45,2020-05-24 23:59:59.999
28,0.3372,0.4317,0.3333,0.3744,4906266.54,2020-05-31 23:59:59.999
29,0.3744,0.56,0.3653,0.5279,8720036.87,2020-06-07 23:59:59.999
30,0.5279,0.5565,0.4473,0.4792,5617860.88,2020-06-14 23:59:59.999
31,0.4793,0.6893,0.425,0.5899,9666083.6,2020-06-21 23:59:59.999
32,0.5899,0.6999,0.51,0.5755,6120847.17,2020-06-28 23:59:59.999
33,0.5755,0.77,0.5606,0.7357,6137557.85,2020-07-05 23:59:59.999
34,0.7357,1.088,0.7181,1.0602,9484158.41,2020-07-12 23:59:59.999
35,1.0602,1.95,0.9155,1.5231,21740093.4,2020-07-19 23:59:59.999
36,1.523,1.7946,1.0501,1.1673,18720775.24,2020-07-26 23:59:59.999
37,1.1673,1.2989,0.899,1.089,17580233.13,2020-08-02 23:59:59.999
38,1.089,1.7844,1.0521,1.7141,22784390.71,2020-08-09 23:59:59.999
39,1.7168,2.19,1.35,1.871,27088150.31,2020-08-16 23:59:59.999
40,1.8694,1.9096,1.3453,1.5629,15914284.56,2020-08-23 23:59:59.999
41,1.5604,1.7906,1.3626,1.6254,10940162.77,2020-08-30 23:59:59.999
42,1.6286,1.7161,0.8167,0.9973,17180443.0,2020-09-06 23:59:59.999
43,0.997,1.2127,0.8574,1.1323,9763754.81,2020-09-13 23:59:59.999
44,1.1293,1.39,0.9155,0.9881,15360451.11,2020-09-20 23:59:59.999
45,0.988,0.9977,0.8085,0.9536,11572763.29,2020-09-27 23:59:59.999
46,0.9552,0.986,0.7891,0.8641,8556693.05,2020-10-04 23:59:59.999
47,0.8641,0.9736,0.72,0.9245,8991214.68,2020-10-11 23:59:59.999
48,0.9233,1.081,0.8141,0.9048,9116354.37,2020-10-18 23:59:59.999
49,0.9078,0.9732,0.773,0.9043,8931581.93,2020-10-25 23:59:59.999
50,0.9057,0.9377,0.7066,0.7531,6801187.59,2020-11-01 23:59:59.999
51,0.7561,0.91,0.6434,0.8859,10055106.69,2020-11-08 23:59:59.999
52,0.8856,1.0987,0.831,1.0129,13550743.92,2020-11-15 23:59:59.999
53,1.0129,1.08,0.917,1.0254,8783924.81,2020-11-22 23:59:59.999
54,1.0213,1.24,0.8501,0.9722,12277638.7,2020-11-29 23:59:59.999
55,0.9722,1.0847,0.9124,0.9748,6714995.09,2020-12-06 23:59:59.999
56,0.9767,1.0212,0.8044,0.8951,5412025.56,2020-12-13 23:59:59.999
57,0.8952,1.066,0.8652,0.9237,9685434.89,2020-12-20 23:59:59.999
58,0.9235,0.9345,0.6708,0.7957,9278931.69,2020-12-27 23:59:59.999
59,0.798,0.8685,0.7031,0.794,9543410.18,2021-01-03 23:59:59.999
