,Open,High,Low,Close,Volume,Close time
0,6.1,7.945,2.5,6.948,8376940.65,2021-11-28 23:59:59.999
1,6.968,7.22,3.88,4.853,20685140.04,2021-12-05 23:59:59.999
2,4.861,5.449,3.436,4.963,21132539.51,2021-12-12 23:59:59.999
3,4.96,5.095,3.701,4.688,22419094.49,2021-12-19 23:59:59.999
4,4.678,6.661,4.163,5.422,25785433.26,2021-12-26 23:59:59.999
5,5.421,5.744,4.374,4.572,11003380.2,2022-01-02 23:59:59.999
6,4.572,5.5,3.407,3.763,23633349.94,2022-01-09 23:59:59.999
7,3.764,4.077,3.22,3.598,14690714.73,2022-01-16 23:59:59.999
8,3.597,3.625,1.962,2.25,20085351.46,2022-01-23 23:59:59.999
9,2.248,3.775,1.801,3.077,23839918.2,2022-01-30 23:59:59.999
10,3.079,4.26,2.85,3.573,42742208.3,2022-02-06 23:59:59.999
11,3.575,3.85,2.486,2.566,28324808.98,2022-02-13 23:59:59.999
12,2.567,4.04,2.337,2.463,25000257.48,2022-02-20 23:59:59.999
13,2.465,2.88,2.0,2.382,32351220.73,2022-02-27 23:59:59.999
14,2.384,3.33,2.357,2.53,26521148.81,2022-03-06 23:59:59.999
15,2.532,2.779,2.246,2.26,11083062.11,2022-03-13 23:59:59.999
16,2.26,3.099,2.226,2.603,14464367.25,2022-03-20 23:59:59.999
17,2.606,2.95,2.467,2.798,11435686.91,2022-03-27 23:59:59.999
18,2.798,3.299,2.767,3.058,15839602.38,2022-04-03 23:59:59.999
19,3.061,3.061,2.402,2.462,11229260.9,2022-04-10 23:59:59.999
20,2.458,2.47,1.95,2.008,13641126.52,2022-04-17 23:59:59.999
21,2.006,2.207,1.763,1.773,14144179.4,2022-04-24 23:59:59.999
22,1.774,1.8,1.2,1.597,36052441.42,2022-05-01 23:59:59.999
23,1.598,1.917,1.28,1.297,44472410.88,2022-05-08 23:59:59.999
24,1.297,1.32,0.603,0.948,45666675.98,2022-05-15 23:59:59.999
25,0.948,1.112,0.82,0.901,25416749.22,2022-05-22 23:59:59.999
26,0.9,0.959,0.676,0.714,15646113.4,2022-05-29 23:59:59.999
27,0.714,0.92,0.678,0.718,23623282.83,2022-06-05 23:59:59.999
