,Open,High,Low,Close,Volume,Close time
0,0.7063,1.3,0.5502,0.781,11097005.07,2020-09-06 23:59:59.999
1,0.7777,0.8252,0.6222,0.7064,20142944.51,2020-09-13 23:59:59.999
2,0.7082,0.7138,0.435,0.4515,30885305.39,2020-09-20 23:59:59.999
3,0.453,0.6365,0.3224,0.6316,40696873.19,2020-09-27 23:59:59.999
4,0.6314,0.6363,0.404,0.4543,31392942.42,2020-10-04 23:59:59.999
5,0.4543,0.5812,0.35,0.5384,36683352.81,2020-10-11 23:59:59.999
6,0.5387,0.63,0.4891,0.5701,36442722.59,2020-10-18 23:59:59.999
7,0.5708,0.5891,0.4589,0.4659,16336569.1,2020-10-25 23:59:59.999
8,0.4662,0.505,0.3664,0.3953,22108800.88,2020-11-01 23:59:59.999
9,0.3954,0.5884,0.3475,0.5805,31273742.12,2020-11-08 23:59:59.999
10,0.5803,0.9867,0.547,0.8835,60903187.09,2020-11-15 23:59:59.999
11,0.8831,1.05,0.7574,0.8485,65850584.74,2020-11-22 23:59:59.999
12,0.8499,1.0181,0.632,0.83,43448747.07,2020-11-29 23:59:59.999
13,0.8307,1.139,0.8118,0.9815,41974580.37,2020-12-06 23:59:59.999
14,0.9857,1.0167,0.761,0.8989,35030951.59,2020-12-13 23:59:59.999
15,0.8997,1.12,0.865,0.9784,32409642.84,2020-12-20 23:59:59.999
16,0.9788,1.0172,0.8104,0.8973,34532100.78,2020-12-27 23:59:59.999
17,0.8973,1.52,0.8859,1.4839,54170617.93,2021-01-03 23:59:59.999
18,1.4886,1.6608,1.168,1.4594,47016556.88,2021-01-10 23:59:59.999
19,1.4593,2.181,1.12,1.9533,52665757.32,2021-01-17 23:59:59.999
20,1.9584,2.64,1.5539,2.5963,39850503.87,2021-01-24 23:59:59.999
21,2.5986,4.0386,2.1751,3.611,46637507.55,2021-01-31 23:59:59.999
22,3.6112,4.329,3.0164,3.79,44330424.89,2021-02-07 23:59:59.999
23,3.7904,5.0144,3.5233,3.9642,41173638.94,2021-02-14 23:59:59.999
24,3.9677,5.77,3.3388,4.7749,44036924.1,2021-02-21 23:59:59.999
25,4.7768,5.7,3.05,4.35,49779230.75,2021-02-28 23:59:59.999
26,4.358,6.2,4.3461,5.6946,27274974.72,2021-03-07 23:59:59.999
27,5.6904,6.766,5.35,5.55,20582985.64,2021-03-14 23:59:59.999
28,5.5535,6.04,5.2158,5.6301,15075054.38,2021-03-21 23:59:59.999
29,5.6338,6.4999,4.5,6.1585,21277867.59,2021-03-28 23:59:59.999
30,6.157,10.42,6.1204,10.3575,30052025.26,2021-04-04 23:59:59.999
31,10.3428,13.0,8.8432,11.0052,31085710.76,2021-04-11 23:59:59.999
32,11.0062,17.0611,10.4496,16.6083,45309974.65,2021-04-18 23:59:59.999
33,16.5629,16.8588,10.644,11.512,40194534.827,2021-04-25 23:59:59.999
34,11.524,16.1661,11.327,14.543,26620939.891,2021-05-02 23:59:59.999
35,14.543,19.3,14.531,17.905,30477590.772,2021-05-09 23:59:59.999
36,17.916,20.95,15.726,19.45,30528076.932,2021-05-16 23:59:59.999
37,19.451,21.28,6.0,7.77,93570756.503,2021-05-23 23:59:59.999
38,7.776,14.878,7.676,11.036,82794001.181,2021-05-30 23:59:59.999
39,11.017,13.722,10.186,10.813,38746402.72,2021-06-06 23:59:59.999
40,10.797,11.258,6.6,8.328,56552879.818,2021-06-13 23:59:59.999
41,8.336,10.5,6.88,8.354,52582343.91,2021-06-20 23:59:59.999
42,8.358,8.474,4.48,6.101,95626366.217,2021-06-27 23:59:59.999
43,6.107,7.16,5.554,6.25,53012091.066,2021-07-04 23:59:59.999
44,6.245,7.698,5.787,6.288,49523973.383,2021-07-11 23:59:59.999
45,6.29,6.7,3.961,4.095,52169862.318,2021-07-18 23:59:59.999
46,4.098,4.82,3.01,3.507,143430269.492,2021-07-25 23:59:59.999
47,3.505,6.765,3.492,5.98,158598171.07,2021-08-01 23:59:59.999
48,5.982,8.4,5.77,6.697,95237811.558,2021-08-08 23:59:59.999
49,6.701,8.779,6.4,8.416,77111147.378,2021-08-15 23:59:59.999
50,8.416,11.73,7.808,10.58,75076775.895,2021-08-22 23:59:59.999
51,10.584,12.479,9.199,9.898,54485024.421,2021-08-29 23:59:59.999
52,9.896,10.964,9.215,10.358,37852715.394,2021-09-05 23:59:59.999
53,10.354,12.086,7.5,9.102,51598213.576,2021-09-12 23:59:59.999
54,9.105,11.293,7.785,9.106,33645797.8,2021-09-19 23:59:59.999
55,9.106,9.255,6.467,7.232,45814266.207,2021-09-26 23:59:59.999
56,7.221,9.064,6.351,8.741,31583878.479,2021-10-03 23:59:59.999
57,8.741,9.287,7.44,7.495,26419196.4,2021-10-10 23:59:59.999
58,7.497,8.496,6.845,7.757,20773654.2,2021-10-17 23:59:59.999
59,7.759,12.48,7.092,12.418,46625337.016,2021-10-24 23:59:59.999
60,12.425,15.0,11.064,14.85,37304031.816,2021-10-31 23:59:59.999
61,14.839,17.27,13.258,14.036,29132525.927,2021-11-07 23:59:59.999
62,14.036,14.221,11.712,12.637,24874780.1,2021-11-14 23:59:59.999
63,12.639,13.3,9.235,10.847,26164217.8,2021-11-21 23:59:59.999
64,10.86,13.525,9.904,11.173,30753639.0,2021-11-28 23:59:59.999
65,11.182,11.649,6.16,7.84,29244535.814,2021-12-05 23:59:59.999
66,7.84,8.375,6.387,7.117,27528285.0,2021-12-12 23:59:59.999
67,7.111,7.238,5.764,6.168,20465971.711,2021-12-19 23:59:59.999
68,6.167,8.179,5.844,7.771,23037556.6,2021-12-26 23:59:59.999
69,7.781,8.876,6.628,7.385,21124081.9,2022-01-02 23:59:59.999
70,7.382,8.286,5.781,6.21,30163394.5,2022-01-09 23:59:59.999
71,6.209,7.127,5.466,6.296,23384584.015,2022-01-16 23:59:59.999
72,6.29,6.318,3.544,3.931,36981612.836,2022-01-23 23:59:59.999
73,3.926,4.6,3.257,4.016,29917275.174,2022-01-30 23:59:59.999
74,4.016,5.069,3.693,4.869,25687033.3,2022-02-06 23:59:59.999
75,4.868,5.223,3.869,3.917,24413954.8,2022-02-13 23:59:59.999
76,3.917,4.67,3.721,3.804,18187424.6,2022-02-20 23:59:59.999
77,3.811,3.999,3.015,3.479,23889111.145,2022-02-27 23:59:59.999
78,3.48,6.059,3.387,4.695,87589608.2,2022-03-06 23:59:59.999
79,4.692,6.75,4.015,6.367,102269123.4,2022-03-13 23:59:59.999
80,6.365,9.59,6.273,8.601,114316177.1,2022-03-20 23:59:59.999
81,8.603,10.964,7.902,10.402,64854065.4,2022-03-27 23:59:59.999
82,10.402,13.203,9.925,11.211,66418104.8,2022-04-03 23:59:59.999
83,11.212,11.98,8.556,8.893,54217744.5,2022-04-10 23:59:59.999
84,8.89,9.38,7.41,7.613,49910730.1,2022-04-17 23:59:59.999
85,7.618,9.891,7.18,7.815,58798008.5,2022-04-24 23:59:59.999
86,7.814,8.663,5.831,6.408,62636615.3,2022-05-01 23:59:59.999
87,6.402,7.777,5.633,5.761,60866966.2,2022-05-08 23:59:59.999
88,5.762,5.898,2.467,3.779,136624883.232,2022-05-15 23:59:59.999
89,3.779,3.779,2.782,3.097,57940757.9,2022-05-22 23:59:59.999
90,3.097,3.399,2.364,2.697,89357191.8,2022-05-29 23:59:59.999
91,2.696,3.5,2.657,2.823,81160577.8,2022-06-05 23:59:59.999
0,2.823,3.295,2.202,2.219,54103631.057,2022-06-12 23:59:59.999000
