,Open,High,Low,Close,Volume,Close time
0,2.5,35.993,2.5,5.836,41406070.25,2021-12-05 23:59:59.999
1,5.833,6.453,4.521,4.76,12115274.1,2021-12-12 23:59:59.999
2,4.76,5.049,3.596,3.628,2839685.74,2021-12-19 23:59:59.999
3,3.628,4.8,3.36,4.307,4528551.38,2021-12-26 23:59:59.999
4,4.304,4.528,3.465,3.564,2253731.79,2022-01-02 23:59:59.999
5,3.553,3.639,2.751,2.823,2026304.49,2022-01-09 23:59:59.999
6,2.821,4.594,2.58,3.303,15830228.21,2022-01-16 23:59:59.999
7,3.308,3.954,2.451,2.649,6600727.36,2022-01-23 23:59:59.999
8,2.649,2.8,2.398,2.693,2952375.49,2022-01-30 23:59:59.999
9,2.694,2.82,2.501,2.784,1348575.92,2022-02-06 23:59:59.999
10,2.788,3.241,2.7,2.754,3551016.04,2022-02-13 23:59:59.999
11,2.753,3.126,2.41,2.5,2273739.28,2022-02-20 23:59:59.999
12,2.501,4.697,2.009,3.224,14046835.78,2022-02-27 23:59:59.999
13,3.229,4.22,2.838,3.369,30320437.22,2022-03-06 23:59:59.999
14,3.372,8.75,3.136,5.547,54721610.33,2022-03-13 23:59:59.999
15,5.549,7.466,4.918,6.238,27499006.92,2022-03-20 23:59:59.999
16,6.255,7.438,6.13,6.324,10181678.05,2022-03-27 23:59:59.999
17,6.324,6.85,5.892,6.175,4929593.92,2022-04-03 23:59:59.999
18,6.171,6.45,5.23,5.32,7907831.49,2022-04-10 23:59:59.999
19,5.32,5.585,4.706,4.793,2660395.82,2022-04-17 23:59:59.999
20,4.788,5.676,4.469,4.57,6088330.84,2022-04-24 23:59:59.999
21,4.568,4.642,3.421,3.533,4345435.65,2022-05-01 23:59:59.999
22,3.533,4.36,3.21,3.223,8433722.16,2022-05-08 23:59:59.999
23,3.223,3.257,1.268,1.844,7234408.7,2022-05-15 23:59:59.999
24,1.841,6.78,1.694,4.722,53862711.53,2022-05-22 23:59:59.999
25,4.72,5.35,3.771,4.277,13678823.69,2022-05-29 23:59:59.999
26,4.277,5.35,4.097,4.537,10709522.44,2022-06-05 23:59:59.999
0,4.536,5.44,3.634,3.675,8618636.5,2022-06-12 23:59:59.999000
0,3.673,4.26,3.171,3.514,7789561.15,2022-06-19 23:59:59.999000
1,3.511,4.118,3.387,3.742,5283479.28,2022-06-26 23:59:59.999000
2,3.736,4.263,3.367,3.658,4100532.75,2022-07-03 23:59:59.999000
3,3.658,3.968,3.61,3.776,2425794.1,2022-07-10 23:59:59.999000
4,3.776,4.432,3.49,3.872,5112533.54,2022-07-17 23:59:59.999000
