,Open,High,Low,Close,Volume,Close time
0,7.304,9.8,4.6,5.72,3965722.8,2022-01-23 23:59:59.999
1,5.7,6.97,4.518,5.285,7795737.9,2022-01-30 23:59:59.999
2,5.298,5.9,4.6,5.847,4235355.1,2022-02-06 23:59:59.999
3,5.852,7.395,5.734,5.862,7744813.1,2022-02-13 23:59:59.999
4,5.862,6.921,5.48,5.606,4729239.8,2022-02-20 23:59:59.999
5,5.606,5.926,4.229,5.032,5251284.6,2022-02-27 23:59:59.999
6,5.029,5.69,4.263,4.324,7176158.7,2022-03-06 23:59:59.999
7,4.325,5.039,4.148,4.469,8838969.2,2022-03-13 23:59:59.999
8,4.464,4.813,4.12,4.539,5118388.6,2022-03-20 23:59:59.999
9,4.538,5.15,4.49,5.001,4671186.1,2022-03-27 23:59:59.999
10,5.001,6.848,5.001,6.383,9595945.9,2022-04-03 23:59:59.999
11,6.383,6.538,5.116,5.13,6135641.2,2022-04-10 23:59:59.999
12,5.127,5.297,4.611,4.635,4511418.8,2022-04-17 23:59:59.999
13,4.636,5.238,4.295,4.391,5421282.8,2022-04-24 23:59:59.999
14,4.386,5.049,3.605,3.772,13742883.2,2022-05-01 23:59:59.999
15,3.773,4.448,3.192,3.228,5637455.4,2022-05-08 23:59:59.999
16,3.222,3.241,1.7,2.082,10747071.0,2022-05-15 23:59:59.999
17,2.079,2.089,1.863,1.989,4245159.5,2022-05-22 23:59:59.999
18,1.987,2.16,1.46,1.557,5944323.7,2022-05-29 23:59:59.999
19,1.556,1.738,1.4,1.423,5136311.3,2022-06-05 23:59:59.999
