,Open,High,Low,Close,Volume,Close time
0,1.412e-05,5e-05,1.237e-05,1.784e-05,484269006289895.1,2021-05-16 23:59:59.999
1,1.783e-05,1.808e-05,6.3e-06,8.09e-06,407349917325307.1,2021-05-23 23:59:59.999
2,8.08e-06,1.208e-05,7.3e-06,7.86e-06,212565563021345.0,2021-05-30 23:59:59.999
3,7.85e-06,1.049e-05,7.69e-06,8.53e-06,166796075863023.0,2021-06-06 23:59:59.999
4,8.52e-06,8.72e-06,5.51e-06,6.85e-06,149645754195182.0,2021-06-13 23:59:59.999
5,6.84e-06,9.88e-06,6.67e-06,7.78e-06,229142287781812.0,2021-06-20 23:59:59.999
6,7.78e-06,8.5e-06,5.59e-06,7.85e-06,188069760757511.0,2021-06-27 23:59:59.999
7,7.85e-06,9.63e-06,7.58e-06,8.73e-06,143622809054554.0,2021-07-04 23:59:59.999
8,8.72e-06,9.33e-06,7.52e-06,7.86e-06,83865401455459.0,2021-07-11 23:59:59.999
9,7.87e-06,7.99e-06,6.55e-06,6.64e-06,55952774291579.0,2021-07-18 23:59:59.999
10,6.65e-06,6.98e-06,5.7e-06,6.36e-06,67389394228766.0,2021-07-25 23:59:59.999
11,6.37e-06,6.91e-06,6.04e-06,6.3e-06,68386598709441.0,2021-08-01 23:59:59.999
12,6.3e-06,8.88e-06,6.11e-06,7.29e-06,105630788903718.0,2021-08-08 23:59:59.999
13,7.29e-06,8.76e-06,7.09e-06,8.55e-06,118832826008737.0,2021-08-15 23:59:59.999
14,8.55e-06,9.48e-06,7.76e-06,8.2e-06,120778553353435.0,2021-08-22 23:59:59.999
15,8.2e-06,8.44e-06,6.82e-06,7.12e-06,63304294422670.0,2021-08-29 23:59:59.999
16,7.11e-06,7.68e-06,6.47e-06,7.53e-06,59165713432047.0,2021-09-05 23:59:59.999
17,7.53e-06,8.2e-06,5.1e-06,6.89e-06,145062150465520.0,2021-09-12 23:59:59.999
18,6.89e-06,9.5e-06,6.17e-06,8.08e-06,166609706675172.0,2021-09-19 23:59:59.999
19,8.08e-06,8.12e-06,6.6e-06,7.1e-06,85012109821457.0,2021-09-26 23:59:59.999
20,7.1e-06,9.03e-06,6.82e-06,8.54e-06,54413070230057.0,2021-10-03 23:59:59.999
21,8.55e-06,3.528e-05,8.2e-06,2.613e-05,1002794161988704.0,2021-10-10 23:59:59.999
22,2.613e-05,3.2e-05,2.333e-05,2.774e-05,260239728694357.0,2021-10-17 23:59:59.999
23,2.775e-05,4.465e-05,2.638e-05,3.605e-05,258003431135636.0,2021-10-24 23:59:59.999
24,3.605e-05,8.854e-05,3.493e-05,6.697e-05,538716725071084.94,2021-10-31 23:59:59.999
25,6.697e-05,7.494e-05,4.312e-05,5.69e-05,260625699744621.0,2021-11-07 23:59:59.999
26,5.69e-05,5.9e-05,4.6e-05,5.314e-05,127271128187356.0,2021-11-14 23:59:59.999
27,5.314e-05,5.599e-05,4.051e-05,4.411e-05,115499971372131.0,2021-11-21 23:59:59.999
28,4.412e-05,4.792e-05,3.56e-05,3.911e-05,135250681466201.0,2021-11-28 23:59:59.999
29,3.911e-05,5.435e-05,2.952e-05,3.622e-05,180478562460112.0,2021-12-05 23:59:59.999
30,3.623e-05,3.878e-05,3.269e-05,3.656e-05,67580153876119.0,2021-12-12 23:59:59.999
31,3.657e-05,3.684e-05,3.019e-05,3.077e-05,52952222618589.0,2021-12-19 23:59:59.999
32,3.077e-05,3.987e-05,2.824e-05,3.824e-05,81976689845944.0,2021-12-26 23:59:59.999
33,3.825e-05,3.948e-05,3.262e-05,3.401e-05,44683915055768.0,2022-01-02 23:59:59.999
34,3.401e-05,3.41e-05,2.641e-05,2.825e-05,41021575623993.0,2022-01-09 23:59:59.999
35,2.826e-05,3.29e-05,2.537e-05,3.049e-05,52485624023225.0,2022-01-16 23:59:59.999
36,3.049e-05,3.058e-05,1.704e-05,2.246e-05,76885936935176.0,2022-01-23 23:59:59.999
37,2.246e-05,2.353e-05,1.865e-05,2.11e-05,64631079679889.0,2022-01-30 23:59:59.999
38,2.11e-05,2.9e-05,2.005e-05,2.849e-05,48767912020317.0,2022-02-06 23:59:59.999
39,2.848e-05,3.523e-05,2.707e-05,3.013e-05,137977935028104.0,2022-02-13 23:59:59.999
40,3.013e-05,3.253e-05,2.489e-05,2.547e-05,64633848833775.0,2022-02-20 23:59:59.999
41,2.547e-05,2.755e-05,2.071e-05,2.342e-05,101256406806348.0,2022-02-27 23:59:59.999
42,2.343e-05,2.861e-05,2.28e-05,2.352e-05,61420543282513.0,2022-03-06 23:59:59.999
43,2.352e-05,2.46e-05,2.12e-05,2.15e-05,39274213784988.0,2022-03-13 23:59:59.999
44,2.15e-05,2.555e-05,2.124e-05,2.311e-05,47100145026321.0,2022-03-20 23:59:59.999
45,2.311e-05,2.567e-05,2.23e-05,2.557e-05,50402223611754.0,2022-03-27 23:59:59.999
46,2.557e-05,2.966e-05,2.458e-05,2.683e-05,78102206319726.0,2022-04-03 23:59:59.999
47,2.683e-05,2.847e-05,2.35e-05,2.446e-05,43004297684409.0,2022-04-10 23:59:59.999
48,2.446e-05,3e-05,2.183e-05,2.465e-05,81858781625483.0,2022-04-17 23:59:59.999
49,2.464e-05,2.587e-05,2.352e-05,2.396e-05,32053363420081.0,2022-04-24 23:59:59.999
50,2.395e-05,2.536e-05,1.837e-05,2.155e-05,53434894945649.0,2022-05-01 23:59:59.999
51,2.154e-05,2.199e-05,1.823e-05,1.843e-05,45574274050636.0,2022-05-08 23:59:59.999
52,1.843e-05,1.871e-05,9.07e-06,1.306e-05,149857810920159.0,2022-05-15 23:59:59.999
53,1.305e-05,1.306e-05,1.121e-05,1.19e-05,37485363874307.0,2022-05-22 23:59:59.999
54,1.19e-05,1.297e-05,1.012e-05,1.149e-05,43400858853603.0,2022-05-29 23:59:59.999
55,1.15e-05,1.248e-05,1.052e-05,1.081e-05,30005618526879.0,2022-06-05 23:59:59.999
0,1.082e-05,1.141e-05,8.38e-06,8.6e-06,30205064966379.0,2022-06-12 23:59:59.999000
0,8.59e-06,8.96e-06,7.14e-06,8.22e-06,55055420315073.0,2022-06-19 23:59:59.999000
1,8.22e-06,1.214e-05,7.88e-06,1.098e-05,110663292658457.0,2022-06-26 23:59:59.999000
2,1.098e-05,1.173e-05,9.53e-06,1.003e-05,44313113132853.0,2022-07-03 23:59:59.999000
3,1.004e-05,1.19e-05,9.93e-06,1.122e-05,39258080695187.0,2022-07-10 23:59:59.999000
4,1.121e-05,1.122e-05,9.77e-06,1.073e-05,30048872688521.0,2022-07-17 23:59:59.999000
