,Open,High,Low,Close,Volume,Close time
0,0.03,0.1639,0.03,0.11542,1042620512.0,2020-12-06 23:59:59.999
1,0.11559,0.15,0.10718,0.11815,961073235.6,2020-12-13 23:59:59.999
2,0.11815,0.13296,0.09244,0.10682,546230562.8,2020-12-20 23:59:59.999
3,0.10653,0.11463,0.0588,0.08943,469448270.4,2020-12-27 23:59:59.999
4,0.08954,0.0955,0.07337,0.08656,237015850.0,2021-01-03 23:59:59.999
5,0.08656,0.125,0.0805,0.10221,394057760.9,2021-01-10 23:59:59.999
6,0.10224,0.155,0.0868,0.13991,366512418.3,2021-01-17 23:59:59.999
7,0.14014,0.16281,0.0909,0.13397,340919890.4,2021-01-24 23:59:59.999
8,0.13412,0.1699,0.1251,0.13373,422678681.5,2021-01-31 23:59:59.999
9,0.13374,0.18191,0.12927,0.1602,296356049.3,2021-02-07 23:59:59.999
10,0.15975,0.4,0.15915,0.29438,479279682.5,2021-02-14 23:59:59.999
11,0.29466,0.35463,0.22779,0.29796,297862824.9,2021-02-21 23:59:59.999
12,0.29845,0.29965,0.19002,0.20902,225768671.0,2021-02-28 23:59:59.999
13,0.20876,0.33038,0.20688,0.31029,223944349.3,2021-03-07 23:59:59.999
14,0.31029,1.24443,0.28573,0.8115,1314031270.3,2021-03-14 23:59:59.999
15,0.81377,0.86604,0.63757,0.66084,222371672.1,2021-03-21 23:59:59.999
16,0.66092,0.7567,0.51676,0.73493,300842645.8,2021-03-28 23:59:59.999
17,0.73493,1.07242,0.66405,0.70444,502720418.0,2021-04-04 23:59:59.999
18,0.7057,0.77333,0.6,0.69627,176428832.2,2021-04-11 23:59:59.999
19,0.69641,0.8479,0.44254,0.65598,281579144.3,2021-04-18 23:59:59.999
20,0.65606,0.67527,0.40467,0.44184,184570580.0,2021-04-25 23:59:59.999
21,0.44157,0.75091,0.43725,0.63474,268599435.5,2021-05-02 23:59:59.999
22,0.63471,0.7395,0.579,0.60187,256000224.6,2021-05-09 23:59:59.999
23,0.60187,0.63103,0.44124,0.53483,207722083.5,2021-05-16 23:59:59.999
24,0.53501,0.60714,0.20111,0.26674,292430034.2,2021-05-23 23:59:59.999
25,0.2668,0.678,0.2668,0.42992,588216947.9,2021-05-30 23:59:59.999
26,0.4292,0.51,0.34761,0.38324,248031074.7,2021-06-06 23:59:59.999
27,0.38326,0.39025,0.26543,0.30801,188303938.4,2021-06-13 23:59:59.999
28,0.30811,0.33465,0.2574,0.27226,173961495.5,2021-06-20 23:59:59.999
29,0.27296,0.27525,0.17524,0.24047,214985654.6,2021-06-27 23:59:59.999
30,0.24057,0.26485,0.21021,0.22926,189335553.0,2021-07-04 23:59:59.999
31,0.22926,0.27455,0.21849,0.23556,206880655.0,2021-07-11 23:59:59.999
32,0.23556,0.2415,0.18924,0.20092,141977098.8,2021-07-18 23:59:59.999
33,0.20092,0.24477,0.16777,0.2381,224916349.7,2021-07-25 23:59:59.999
34,0.23818,0.2785,0.21379,0.24343,260722326.3,2021-08-01 23:59:59.999
35,0.24358,0.32498,0.23619,0.27646,306736069.0,2021-08-08 23:59:59.999
36,0.27697,0.37,0.26557,0.34236,332484884.8,2021-08-15 23:59:59.999
37,0.34236,0.4078,0.28896,0.37849,396866348.9,2021-08-22 23:59:59.999
38,0.37862,0.43,0.3015,0.4146,410838645.9,2021-08-29 23:59:59.999
39,0.4143,0.4357,0.3709,0.414,306237812.5,2021-09-05 23:59:59.999
40,0.4136,0.4991,0.309,0.3977,448574079.8,2021-09-12 23:59:59.999
41,0.3979,0.5012,0.3505,0.3848,399228588.1,2021-09-19 23:59:59.999
42,0.3844,0.3853,0.2758,0.3036,205325562.3,2021-09-26 23:59:59.999
43,0.3032,0.365,0.265,0.3438,184483590.1,2021-10-03 23:59:59.999
44,0.3435,0.3556,0.2967,0.2981,174268900.0,2021-10-10 23:59:59.999
45,0.298,0.489,0.2763,0.352,506659722.0,2021-10-17 23:59:59.999
46,0.3519,0.379,0.3191,0.3234,160717069.0,2021-10-24 23:59:59.999
47,0.3234,0.4364,0.2735,0.3409,351786285.0,2021-10-31 23:59:59.999
48,0.3411,0.4088,0.321,0.4041,405552070.0,2021-11-07 23:59:59.999
49,0.4041,0.4054,0.3181,0.3661,306632804.0,2021-11-14 23:59:59.999
50,0.366,0.3906,0.3008,0.3645,384421982.0,2021-11-21 23:59:59.999
51,0.3646,0.428,0.3081,0.3368,606525882.0,2021-11-28 23:59:59.999
52,0.3368,0.3429,0.1655,0.2293,460623784.1,2021-12-05 23:59:59.999
53,0.2291,0.2476,0.2009,0.2167,289425146.0,2021-12-12 23:59:59.999
54,0.2161,0.223,0.1851,0.1923,185552395.0,2021-12-19 23:59:59.999
55,0.1921,0.2423,0.1863,0.2399,202160506.0,2021-12-26 23:59:59.999
56,0.2401,0.2605,0.1895,0.212,144986137.0,2022-01-02 23:59:59.999
57,0.2118,0.2192,0.1565,0.1697,242974340.9,2022-01-09 23:59:59.999
