,Open,High,Low,Close,Volume,Close time
0,2.893,3.398,2.654,2.78,1704099.282,2020-07-12 23:59:59.999
1,2.78,3.6,2.384,3.297,3979045.836,2020-07-19 23:59:59.999
2,3.299,4.199,3.0,3.155,4576332.393,2020-07-26 23:59:59.999
3,3.154,4.437,2.67,4.266,6688878.171,2020-08-02 23:59:59.999
4,4.266,4.74,3.89,4.241,3783138.374,2020-08-09 23:59:59.999
5,4.243,7.46,4.17,6.405,11931589.422,2020-08-16 23:59:59.999
6,6.398,6.875,5.106,5.678,9189812.73,2020-08-23 23:59:59.999
7,5.688,7.415,5.5,7.301,9870189.599,2020-08-30 23:59:59.999
8,7.3,7.88,3.65,4.955,12887760.386,2020-09-06 23:59:59.999
9,4.951,6.286,4.028,5.388,8123761.76,2020-09-13 23:59:59.999
10,5.38,5.547,4.071,4.19,8688574.227,2020-09-20 23:59:59.999
11,4.186,5.49,3.461,5.157,9992758.018,2020-09-27 23:59:59.999
12,5.157,5.495,3.973,4.383,5290546.731,2020-10-04 23:59:59.999
13,4.381,4.508,3.485,4.172,5325736.285,2020-10-11 23:59:59.999
14,4.172,4.799,3.72,3.957,3603313.923,2020-10-18 23:59:59.999
15,3.964,4.092,3.343,3.655,3997413.999,2020-10-25 23:59:59.999
16,3.66,3.849,2.718,2.904,4664486.069,2020-11-01 23:59:59.999
17,2.906,4.68,2.47,4.409,10799378.61,2020-11-08 23:59:59.999
18,4.411,4.94,3.712,4.125,11069454.924,2020-11-15 23:59:59.999
19,4.137,5.7,4.065,5.002,11256158.602,2020-11-22 23:59:59.999
20,5.003,5.83,3.385,4.551,11082036.966,2020-11-29 23:59:59.999
21,4.562,5.483,4.531,5.152,8928047.995,2020-12-06 23:59:59.999
22,5.153,5.493,4.126,4.751,7301302.767,2020-12-13 23:59:59.999
23,4.748,6.617,4.6,5.963,14446462.488,2020-12-20 23:59:59.999
24,5.957,8.771,5.638,8.069,25409057.577,2020-12-27 23:59:59.999
25,8.058,9.625,7.042,9.539,11241777.27,2021-01-03 23:59:59.999
26,9.527,14.8,8.4,14.116,16194162.264,2021-01-10 23:59:59.999
27,14.114,17.15,10.408,15.68,20475172.271,2021-01-17 23:59:59.999
28,15.676,17.835,11.263,17.5,11525487.276,2021-01-24 23:59:59.999
29,17.484,19.6,14.717,17.194,13739509.183,2021-01-31 23:59:59.999
30,17.197,24.246,16.379,20.051,15715547.457,2021-02-07 23:59:59.999
31,20.09,28.981,19.523,25.02,14804546.146,2021-02-14 23:59:59.999
32,25.049,26.91,21.0,22.828,10836688.487,2021-02-21 23:59:59.999
33,22.835,22.928,13.9,18.727,12727480.972,2021-02-28 23:59:59.999
34,18.719,24.39,18.718,21.73,6694005.975,2021-03-07 23:59:59.999
35,21.722,23.396,18.805,19.395,5564054.769,2021-03-14 23:59:59.999
36,19.393,21.471,17.819,19.523,4493479.142,2021-03-21 23:59:59.999
37,19.521,20.022,15.419,16.469,4909805.568,2021-03-28 23:59:59.999
38,16.469,21.64,16.289,20.648,6585347.31,2021-04-04 23:59:59.999
39,20.648,22.434,18.303,18.989,5692097.084,2021-04-11 23:59:59.999
40,18.979,23.122,14.795,18.014,10540171.895,2021-04-18 23:59:59.999
41,18.004,18.288,12.991,14.127,8932257.259,2021-04-25 23:59:59.999
42,14.128,18.61,13.974,17.332,6586363.588,2021-05-02 23:59:59.999
43,17.332,20.518,16.194,17.804,12409384.072,2021-05-09 23:59:59.999
44,17.796,23.142,15.181,18.862,30844761.779,2021-05-16 23:59:59.999
45,18.86,25.837,9.4,11.742,39309643.126,2021-05-23 23:59:59.999
46,11.756,15.101,10.274,11.753,9866353.318,2021-05-30 23:59:59.999
47,11.753,14.089,11.174,11.913,5995984.114,2021-06-06 23:59:59.999
48,11.905,12.331,7.91,9.137,12982347.829,2021-06-13 23:59:59.999
49,9.134,10.461,7.749,8.47,8725913.86,2021-06-20 23:59:59.999
50,8.47,8.536,5.55,6.42,11393617.304,2021-06-27 23:59:59.999
51,6.417,8.962,6.324,8.598,8076391.256,2021-07-04 23:59:59.999
52,8.598,12.89,8.37,12.425,41263889.045,2021-07-11 23:59:59.999
53,12.424,13.65,8.671,8.881,23503130.387,2021-07-18 23:59:59.999
54,8.879,8.958,7.142,8.381,13733459.317,2021-07-25 23:59:59.999
55,8.381,10.471,8.344,9.454,19342253.307,2021-08-01 23:59:59.999
56,9.448,11.1,8.824,9.691,19368556.264,2021-08-08 23:59:59.999
57,9.685,13.49,9.302,12.848,17656059.067,2021-08-15 23:59:59.999
58,12.849,14.533,10.759,13.514,16564843.108,2021-08-22 23:59:59.999
59,13.519,14.35,11.053,11.647,13248180.377,2021-08-29 23:59:59.999
60,11.647,13.12,10.905,12.933,14437450.948,2021-09-05 23:59:59.999
61,12.936,14.3,9.0,10.947,17722841.685,2021-09-12 23:59:59.999
62,10.948,15.85,10.057,12.825,26802471.984,2021-09-19 23:59:59.999
63,12.826,12.884,9.241,10.466,15442665.5,2021-09-26 23:59:59.999
64,10.452,11.474,9.14,10.684,9617141.1,2021-10-03 23:59:59.999
65,10.694,10.73,9.557,9.595,11814116.8,2021-10-10 23:59:59.999
66,9.593,10.342,8.876,9.561,9575342.13,2021-10-17 23:59:59.999
67,9.561,10.169,9.201,9.431,9041556.8,2021-10-24 23:59:59.999
68,9.434,11.175,8.75,10.14,17033419.764,2021-10-31 23:59:59.999
69,10.139,11.8,9.641,10.477,14525153.9,2021-11-07 23:59:59.999
70,10.48,10.97,8.76,10.011,13225004.4,2021-11-14 23:59:59.999
71,10.011,10.176,8.011,8.571,10293097.772,2021-11-21 23:59:59.999
72,8.574,8.596,7.084,7.635,12650803.159,2021-11-28 23:59:59.999
73,7.629,8.0,4.4,5.857,15720935.523,2021-12-05 23:59:59.999
74,5.857,6.302,5.205,5.525,13974190.3,2021-12-12 23:59:59.999
75,5.524,5.571,4.749,5.201,15654612.1,2021-12-19 23:59:59.999
76,5.201,6.458,4.802,6.231,17126342.1,2021-12-26 23:59:59.999
77,6.237,6.81,5.281,6.237,18277269.0,2022-01-02 23:59:59.999
78,6.233,7.46,4.907,5.094,31725943.2,2022-01-09 23:59:59.999
79,5.096,5.513,4.605,5.381,9665389.1,2022-01-16 23:59:59.999
80,5.377,5.457,3.504,3.937,15341898.111,2022-01-23 23:59:59.999
81,3.929,5.55,3.512,5.253,16584565.6,2022-01-30 23:59:59.999
82,5.25,6.033,4.921,5.802,17214791.1,2022-02-06 23:59:59.999
83,5.802,6.07,4.451,4.461,10977054.5,2022-02-13 23:59:59.999
84,4.461,5.134,3.953,4.063,8773202.2,2022-02-20 23:59:59.999
85,4.066,4.268,3.321,3.735,14394305.025,2022-02-27 23:59:59.999
86,3.737,4.325,3.516,3.553,11122272.7,2022-03-06 23:59:59.999
87,3.554,4.907,3.456,3.902,21002022.2,2022-03-13 23:59:59.999
88,3.901,5.64,3.792,5.215,23250169.4,2022-03-20 23:59:59.999
89,5.214,5.536,4.92,5.414,17526702.1,2022-03-27 23:59:59.999
90,5.414,8.19,5.245,7.313,31930760.6,2022-04-03 23:59:59.999
91,7.314,7.415,5.076,5.086,15109626.4,2022-04-10 23:59:59.999
92,5.088,5.782,4.438,4.992,14759394.7,2022-04-17 23:59:59.999
93,4.993,7.2,4.755,5.88,28169319.0,2022-04-24 23:59:59.999
94,5.88,6.78,4.229,4.824,26112404.6,2022-05-01 23:59:59.999
95,4.819,5.5,4.171,4.214,16073494.1,2022-05-08 23:59:59.999
96,4.218,4.368,2.177,3.059,32686311.566,2022-05-15 23:59:59.999
97,3.059,3.105,2.348,2.727,18019434.5,2022-05-22 23:59:59.999
98,2.725,2.919,2.312,2.6,23712519.5,2022-05-29 23:59:59.999
99,2.606,3.444,2.546,2.61,21329015.3,2022-06-05 23:59:59.999
