,Open,High,Low,Close,Volume,Close time
0,2.85,4.1387,2.8433,3.3885,8187688.49,2020-08-16 23:59:59.999
1,3.3885,3.7092,2.7431,3.25,9652951.03,2020-08-23 23:59:59.999
2,3.2658,4.7117,3.0001,4.4309,12907851.82,2020-08-30 23:59:59.999
3,4.4127,4.9475,2.0926,3.0941,17419598.03,2020-09-06 23:59:59.999
4,3.0785,3.8838,2.38,3.2603,20768444.34,2020-09-13 23:59:59.999
5,3.2656,3.5393,2.36,2.8628,21784849.67,2020-09-20 23:59:59.999
6,2.8628,3.2766,2.4689,3.1578,17519195.44,2020-09-27 23:59:59.999
7,3.1557,3.2109,2.42,2.5202,8453746.68,2020-10-04 23:59:59.999
8,2.5181,2.683,2.0123,2.4227,11599981.78,2020-10-11 23:59:59.999
9,2.4228,2.7044,2.1071,2.215,8494533.99,2020-10-18 23:59:59.999
10,2.2137,2.2148,1.76,1.7926,11363839.24,2020-10-25 23:59:59.999
11,1.7925,1.8685,1.3163,1.608,12415495.45,2020-11-01 23:59:59.999
12,1.6076,2.4975,1.2733,2.1558,23519422.82,2020-11-08 23:59:59.999
13,2.1515,2.3257,1.825,2.0407,14691581.95,2020-11-15 23:59:59.999
14,2.039,2.51,1.9858,2.1514,15950422.78,2020-11-22 23:59:59.999
15,2.161,2.49,1.7212,1.9153,20076252.86,2020-11-29 23:59:59.999
16,1.9184,2.2279,1.7956,1.8505,12222320.62,2020-12-06 23:59:59.999
17,1.8515,1.899,1.4328,1.5701,11016590.41,2020-12-13 23:59:59.999
18,1.5651,1.8064,1.521,1.5635,14519422.07,2020-12-20 23:59:59.999
19,1.5605,1.62,1.0301,1.3037,13912383.89,2020-12-27 23:59:59.999
20,1.3041,2.38,1.2867,2.1779,29363801.01,2021-01-03 23:59:59.999
21,2.1789,3.8,1.86,3.449,99382756.33,2021-01-10 23:59:59.999
22,3.4455,3.9876,2.5795,3.8268,49262931.16,2021-01-17 23:59:59.999
23,3.8243,4.17,2.5295,3.6278,31381409.78,2021-01-24 23:59:59.999
24,3.6287,4.805,3.4398,4.2525,30332723.44,2021-01-31 23:59:59.999
25,4.2568,7.1438,4.1075,6.6976,31349616.82,2021-02-07 23:59:59.999
26,6.6931,9.93,6.4554,8.7158,30881627.57,2021-02-14 23:59:59.999
27,8.7234,11.85,7.5182,11.0753,27025531.09,2021-02-21 23:59:59.999
28,11.0738,18.2052,9.1,13.0887,80809231.34,2021-02-28 23:59:59.999
29,13.08,15.5469,11.9,13.8174,23811858.4,2021-03-07 23:59:59.999
