,Open,High,Low,Close,Volume,Close time
0,0.02357,0.0281,0.02117,0.02201,1594101371.0,2021-12-26 23:59:59.999
1,0.02201,0.0281,0.02,0.02403,4462548992.0,2022-01-02 23:59:59.999
2,0.02403,0.02536,0.01373,0.015,6875602861.0,2022-01-09 23:59:59.999
3,0.01501,0.01636,0.01321,0.01588,4050328011.0,2022-01-16 23:59:59.999
4,0.01588,0.016,0.0066,0.00841,6426540560.0,2022-01-23 23:59:59.999
5,0.00841,0.00973,0.00483,0.0074,38979078146.0,2022-01-30 23:59:59.999
6,0.0074,0.00789,0.0058,0.00699,15712984949.0,2022-02-06 23:59:59.999
7,0.00699,0.00815,0.00553,0.00579,17306654156.0,2022-02-13 23:59:59.999
8,0.00579,0.00617,0.0045,0.00464,11060496248.0,2022-02-20 23:59:59.999
9,0.00464,0.00581,0.00346,0.00403,20205959121.0,2022-02-27 23:59:59.999
10,0.00403,0.00513,0.00375,0.00377,16391819012.0,2022-03-06 23:59:59.999
11,0.00377,0.00407,0.00332,0.00336,11136530819.0,2022-03-13 23:59:59.999
12,0.00335,0.0042,0.00326,0.00364,23187948996.0,2022-03-20 23:59:59.999
13,0.00364,0.00514,0.00347,0.00437,59370074625.0,2022-03-27 23:59:59.999
14,0.00437,0.00639,0.00416,0.00586,64181353681.0,2022-04-03 23:59:59.999
15,0.00587,0.00653,0.00458,0.00467,36656634394.0,2022-04-10 23:59:59.999
16,0.00468,0.00472,0.00399,0.00406,11751196768.0,2022-04-17 23:59:59.999
17,0.00407,0.00448,0.00381,0.004,16293079151.0,2022-04-24 23:59:59.999
18,0.004,0.00403,0.00293,0.00315,10600480721.0,2022-05-01 23:59:59.999
19,0.00315,0.00357,0.0029,0.00297,11881685342.0,2022-05-08 23:59:59.999
20,0.00297,0.00302,0.00097,0.00142,28016124143.0,2022-05-15 23:59:59.999
21,0.00142,0.00166,0.00123,0.00149,21190922177.0,2022-05-22 23:59:59.999
22,0.00148,0.00155,0.00119,0.00129,9440934107.0,2022-05-29 23:59:59.999
23,0.00129,0.00141,0.0012,0.00127,8190363257.0,2022-06-05 23:59:59.999
0,0.00126,0.00133,0.00066,0.00082,17580871264.0,2022-06-12 23:59:59.999000
