,Open,High,Low,Close,Volume,Close time
0,0.5988,0.6688,0.4251,0.4414,65144192.0,2022-04-24 23:59:59.999
1,0.4415,0.59,0.377,0.4044,269391070.1,2022-05-01 23:59:59.999
2,0.4055,0.4975,0.3381,0.383,56245588.9,2022-05-08 23:59:59.999
3,0.3829,0.3841,0.1565,0.2689,27694959.4,2022-05-15 23:59:59.999
4,0.2688,0.2999,0.2339,0.2818,16301453.9,2022-05-22 23:59:59.999
5,0.2812,0.288,0.2278,0.2466,8663911.8,2022-05-29 23:59:59.999
6,0.2463,0.3988,0.2451,0.3016,83511856.0,2022-06-05 23:59:59.999
0,0.3024,0.31,0.2015,0.208,36010274.5,2022-06-12 23:59:59.999000
0,0.2079,0.2124,0.1693,0.2001,28981197.4,2022-06-19 23:59:59.999000
1,0.2008,0.2337,0.1821,0.221,22028275.6,2022-06-26 23:59:59.999000
2,0.2213,0.2707,0.1956,0.209,34497837.7,2022-07-03 23:59:59.999000
3,0.2075,0.48,0.2058,0.2361,93098686.4,2022-07-10 23:59:59.999000
4,0.2368,0.24,0.1844,0.2123,42177883.0,2022-07-17 23:59:59.999000
