,Open,High,Low,Close,Volume,Close time
0,0.1823,0.2143,0.15,0.1878,3547180.23,2020-08-02 23:59:59.999
1,0.1864,0.21,0.1835,0.2087,6138587.33,2020-08-09 23:59:59.999
2,0.2096,0.3678,0.1925,0.3287,18939449.93,2020-08-16 23:59:59.999
3,0.3286,0.4936,0.25,0.3953,22233417.04,2020-08-23 23:59:59.999
4,0.3959,0.7876,0.3241,0.6474,95173858.43,2020-08-30 23:59:59.999
5,0.6464,0.6998,0.38,0.5215,54435938.91,2020-09-06 23:59:59.999
6,0.5246,0.58,0.4372,0.4818,22665808.9,2020-09-13 23:59:59.999
7,0.4818,0.508,0.3922,0.4086,16060502.62,2020-09-20 23:59:59.999
8,0.4093,0.4107,0.2971,0.3913,23820100.78,2020-09-27 23:59:59.999
9,0.3917,0.541,0.3897,0.4674,55596089.34,2020-10-04 23:59:59.999
10,0.4671,0.6657,0.4398,0.5907,51978824.03,2020-10-11 23:59:59.999
11,0.5913,0.6351,0.4102,0.4454,52695717.84,2020-10-18 23:59:59.999
12,0.4455,0.447,0.3658,0.4138,26686603.69,2020-10-25 23:59:59.999
13,0.4136,0.4148,0.31,0.3254,20789083.56,2020-11-01 23:59:59.999
14,0.3263,0.3867,0.26,0.354,28601949.98,2020-11-08 23:59:59.999
15,0.3536,0.4129,0.3274,0.3396,28231794.61,2020-11-15 23:59:59.999
16,0.3391,0.3693,0.3076,0.3449,26590803.23,2020-11-22 23:59:59.999
17,0.3457,0.4526,0.3111,0.3404,44205815.07,2020-11-29 23:59:59.999
18,0.3404,0.4025,0.3265,0.3569,22466896.01,2020-12-06 23:59:59.999
19,0.3568,0.3788,0.3182,0.3504,17058907.32,2020-12-13 23:59:59.999
20,0.3499,0.404,0.3392,0.3582,24801518.61,2020-12-20 23:59:59.999
21,0.3582,0.3704,0.2523,0.2974,23113028.98,2020-12-27 23:59:59.999
22,0.2981,0.3357,0.2754,0.3116,30012001.59,2021-01-03 23:59:59.999
23,0.3125,0.486,0.2789,0.4036,95979494.44,2021-01-10 23:59:59.999
24,0.4037,0.434,0.2902,0.4152,71146436.29,2021-01-17 23:59:59.999
25,0.4165,0.4684,0.3227,0.4123,75544822.19,2021-01-24 23:59:59.999
26,0.4123,0.4696,0.3571,0.4292,70976277.75,2021-01-31 23:59:59.999
27,0.4295,0.5649,0.4116,0.5247,86949527.3,2021-02-07 23:59:59.999
28,0.5253,0.9277,0.5052,0.9141,112105772.99,2021-02-14 23:59:59.999
29,0.9143,0.9192,0.6905,0.8427,78270174.1,2021-02-21 23:59:59.999
30,0.8436,0.8474,0.4501,0.6431,91176934.93,2021-02-28 23:59:59.999
31,0.6431,0.7072,0.6033,0.6935,46314056.65,2021-03-07 23:59:59.999
32,0.6946,0.89,0.6508,0.8453,76380560.75,2021-03-14 23:59:59.999
33,0.8446,1.0391,0.8215,0.9212,99861022.21,2021-03-21 23:59:59.999
34,0.9221,3.833,0.8231,2.7141,778515641.0,2021-03-28 23:59:59.999
35,2.7141,3.75,2.564,2.9072,359536317.13,2021-04-04 23:59:59.999
36,2.9075,3.0709,2.05,2.415,114295115.69,2021-04-11 23:59:59.999
37,2.415,2.623,1.6299,2.0357,96790163.36,2021-04-18 23:59:59.999
38,2.0354,2.22,1.2575,1.6672,110757717.92,2021-04-25 23:59:59.999
39,1.6666,2.2487,1.6283,2.0847,86761306.36,2021-05-02 23:59:59.999
40,2.0842,2.734,1.7683,2.1593,163669697.03,2021-05-09 23:59:59.999
41,2.1591,2.2271,1.3692,1.5903,68556964.08,2021-05-16 23:59:59.999
42,1.589,1.6063,0.6939,0.9034,139750910.89,2021-05-23 23:59:59.999
43,0.9058,1.2871,0.8714,1.018,53448983.39,2021-05-30 23:59:59.999
44,1.0157,1.3011,0.963,1.1559,58327088.29,2021-06-06 23:59:59.999
45,1.155,1.1689,0.8509,0.947,32425588.11,2021-06-13 23:59:59.999
46,0.947,1.0169,0.7752,0.8223,21508488.24,2021-06-20 23:59:59.999
47,0.8212,0.8304,0.5044,0.6542,37881134.38,2021-06-27 23:59:59.999
