,Open,High,Low,Close,Volume,Close time
0,2.71,3.888,1.928,3.342,80509898.573,2021-03-28 23:59:59.999
1,3.342,4.77,2.65,3.119,70021584.302,2021-04-04 23:59:59.999
2,3.12,3.644,2.1,2.973,62256446.084,2021-04-11 23:59:59.999
3,2.975,3.09,2.003,2.36,27327825.101,2021-04-18 23:59:59.999
4,2.36,2.452,1.475,1.575,21801881.737,2021-04-25 23:59:59.999
5,1.575,2.94,1.575,2.703,41075746.874,2021-05-02 23:59:59.999
6,2.7,3.0,2.145,2.257,33473622.971,2021-05-09 23:59:59.999
7,2.257,2.3,1.475,1.59,30893907.529,2021-05-16 23:59:59.999
8,1.592,1.64,0.355,0.462,52613753.673,2021-05-23 23:59:59.999
9,0.461,0.997,0.429,0.691,85574553.623,2021-05-30 23:59:59.999
10,0.692,0.889,0.65,0.701,50347843.395,2021-06-06 23:59:59.999
11,0.701,0.85,0.512,0.623,128480985.873,2021-06-13 23:59:59.999
12,0.626,0.657,0.455,0.479,48200297.5,2021-06-20 23:59:59.999
13,0.48,0.484,0.273,0.374,59282228.298,2021-06-27 23:59:59.999
14,0.375,0.535,0.364,0.427,104536798.467,2021-07-04 23:59:59.999
15,0.427,0.51,0.381,0.464,103873357.635,2021-07-11 23:59:59.999
16,0.463,0.78,0.43,0.498,310927902.964,2021-07-18 23:59:59.999
17,0.499,0.749,0.362,0.725,274445391.07,2021-07-25 23:59:59.999
18,0.725,0.96,0.538,0.713,452732982.104,2021-08-01 23:59:59.999
19,0.711,0.856,0.652,0.736,206899946.346,2021-08-08 23:59:59.999
20,0.736,1.173,0.69,0.949,335306715.07,2021-08-15 23:59:59.999
21,0.947,1.225,0.881,0.987,291906892.836,2021-08-22 23:59:59.999
22,0.987,1.024,0.817,0.8993,162492010.733,2021-08-29 23:59:59.999
23,0.8996,0.9882,0.8553,0.9299,164912055.713,2021-09-05 23:59:59.999
24,0.9294,1.1926,0.6693,0.8017,345065563.161,2021-09-12 23:59:59.999
25,0.8017,0.929,0.71,0.7956,110805455.0,2021-09-19 23:59:59.999
26,0.7968,0.7998,0.5344,0.5848,99217690.903,2021-09-26 23:59:59.999
27,0.5851,0.7354,0.5379,0.649,107631004.0,2021-10-03 23:59:59.999
28,0.649,0.7658,0.5972,0.657,151098979.0,2021-10-10 23:59:59.999
29,0.6559,0.933,0.6427,0.7354,259895832.0,2021-10-17 23:59:59.999
30,0.7368,0.99,0.7054,0.8216,232346968.0,2021-10-24 23:59:59.999
31,0.8216,1.28,0.736,0.9902,193271521.0,2021-10-31 23:59:59.999
32,0.9921,1.8864,0.9395,1.7533,312575769.236,2021-11-07 23:59:59.999
33,1.7533,2.068,1.4744,1.7016,157351350.759,2021-11-14 23:59:59.999
34,1.7031,2.1889,1.35,1.8323,125856195.219,2021-11-21 23:59:59.999
35,1.8301,1.989,1.4783,1.7561,86857655.0,2021-11-28 23:59:59.999
36,1.7555,2.085,1.1601,1.2662,89770048.0,2021-12-05 23:59:59.999
37,1.2664,1.8473,1.0196,1.2689,174850838.0,2021-12-12 23:59:59.999
38,1.2673,1.494,1.029,1.1592,115945128.0,2021-12-19 23:59:59.999
39,1.1578,1.34,1.068,1.2735,77364863.0,2021-12-26 23:59:59.999
40,1.2748,1.44,1.107,1.1609,43776240.0,2022-01-02 23:59:59.999
41,1.1606,1.2721,0.9715,1.0138,63707850.0,2022-01-09 23:59:59.999
42,1.0141,1.2093,0.8874,1.0861,60839078.0,2022-01-16 23:59:59.999
43,1.085,1.0903,0.6044,0.6605,51432316.0,2022-01-23 23:59:59.999
44,0.6605,0.7518,0.5584,0.6308,47845398.0,2022-01-30 23:59:59.999
45,0.6317,0.83,0.5911,0.8268,74972028.0,2022-02-06 23:59:59.999
46,0.827,1.15,0.8059,0.9061,109635185.0,2022-02-13 23:59:59.999
47,0.9069,1.23,0.7601,0.7751,102347939.0,2022-02-20 23:59:59.999
48,0.7755,0.87,0.5516,0.6715,90011840.0,2022-02-27 23:59:59.999
49,0.6715,0.8197,0.6269,0.6367,56883475.0,2022-03-06 23:59:59.999
50,0.6353,0.68,0.57,0.573,47341616.0,2022-03-13 23:59:59.999
51,0.5727,0.7236,0.5669,0.6418,54078403.0,2022-03-20 23:59:59.999
52,0.642,0.7485,0.6249,0.7348,51167595.0,2022-03-27 23:59:59.999
53,0.7348,0.9288,0.7255,0.8717,135765718.0,2022-04-03 23:59:59.999
54,0.8703,0.8767,0.6865,0.6919,56947539.0,2022-04-10 23:59:59.999
55,0.6912,0.6942,0.5973,0.62,47838197.0,2022-04-17 23:59:59.999
56,0.6198,0.6589,0.5646,0.5726,32372030.0,2022-04-24 23:59:59.999
57,0.5718,0.5757,0.4,0.4294,39030067.349,2022-05-01 23:59:59.999
58,0.429,0.4977,0.3492,0.3552,104010943.011,2022-05-08 23:59:59.999
59,0.355,0.3613,0.146,0.2189,96720784.2,2022-05-15 23:59:59.999
60,0.2185,0.2211,0.1807,0.2098,61524837.0,2022-05-22 23:59:59.999
61,0.2096,0.2454,0.1724,0.2064,82006764.0,2022-05-29 23:59:59.999
62,0.2061,0.2713,0.1883,0.202,105182982.0,2022-06-05 23:59:59.999
