,Open,High,Low,Close,Volume,Close time
0,1.85,2.281,1.373,1.902,58749571.361,2020-07-26 23:59:59.999
1,1.904,1.962,1.257,1.735,103096349.289,2020-08-02 23:59:59.999
2,1.735,2.56,1.672,2.346,157106333.23,2020-08-09 23:59:59.999
3,2.345,5.0,2.293,3.414,190870988.332,2020-08-16 23:59:59.999
4,3.413,4.07,2.3,2.853,218318110.324,2020-08-23 23:59:59.999
5,2.852,3.26,2.455,2.941,147873685.766,2020-08-30 23:59:59.999
6,2.94,3.1,1.519,1.797,210579152.014,2020-09-06 23:59:59.999
7,1.797,1.95,1.56,1.726,131705209.232,2020-09-13 23:59:59.999
8,1.728,1.98,1.422,1.53,128053161.597,2020-09-20 23:59:59.999
9,1.531,1.8,1.036,1.689,170956184.762,2020-09-27 23:59:59.999
10,1.69,1.86,1.298,1.363,162085344.337,2020-10-04 23:59:59.999
11,1.362,1.45,1.065,1.304,120661122.997,2020-10-11 23:59:59.999
12,1.306,1.354,1.154,1.223,77069762.381,2020-10-18 23:59:59.999
13,1.223,1.225,1.077,1.085,79770827.592,2020-10-25 23:59:59.999
14,1.086,1.09,0.785,0.829,138821194.56,2020-11-01 23:59:59.999
15,0.83,1.182,0.715,0.984,169412812.136,2020-11-08 23:59:59.999
16,0.983,1.045,0.885,0.919,135590420.006,2020-11-15 23:59:59.999
17,0.919,1.16,0.904,1.034,194558358.783,2020-11-22 23:59:59.999
18,1.032,1.284,0.8,0.946,295341418.826,2020-11-29 23:59:59.999
19,0.947,1.049,0.85,0.908,187409003.227,2020-12-06 23:59:59.999
20,0.908,0.928,0.785,0.853,85720214.269,2020-12-13 23:59:59.999
21,0.852,0.986,0.82,0.912,113560363.142,2020-12-20 23:59:59.999
22,0.911,0.925,0.558,0.672,145401472.03,2020-12-27 23:59:59.999
23,0.672,0.832,0.603,0.772,155745765.416,2021-01-03 23:59:59.999
24,0.773,1.182,0.675,1.012,378708267.559,2021-01-10 23:59:59.999
25,1.012,1.048,0.737,1.029,276202958.649,2021-01-17 23:59:59.999
26,1.029,1.159,0.802,0.991,312799824.779,2021-01-24 23:59:59.999
27,0.991,1.468,0.942,1.356,582377579.329,2021-01-31 23:59:59.999
28,1.356,2.171,1.203,1.99,532552309.535,2021-02-07 23:59:59.999
29,1.99,2.985,1.973,2.312,476816505.338,2021-02-14 23:59:59.999
30,2.317,3.79,1.81,3.093,516740589.669,2021-02-21 23:59:59.999
31,3.094,3.112,1.704,1.991,536921416.274,2021-02-28 23:59:59.999
32,1.991,2.77,1.959,2.59,318021454.016,2021-03-07 23:59:59.999
33,2.592,3.78,2.515,3.033,456409920.568,2021-03-14 23:59:59.999
34,3.035,4.14,2.7,3.824,350318221.375,2021-03-21 23:59:59.999
35,3.818,3.994,2.601,3.104,308909789.955,2021-03-28 23:59:59.999
36,3.103,4.47,3.038,4.458,265431762.533,2021-04-04 23:59:59.999
37,4.459,5.507,3.837,5.03,385059168.247,2021-04-11 23:59:59.999
38,5.032,5.201,3.012,4.115,346884096.956,2021-04-18 23:59:59.999
39,4.112,4.336,2.65,2.935,473219920.616,2021-04-25 23:59:59.999
40,2.937,5.62,2.9,5.451,539312912.289,2021-05-02 23:59:59.999
41,5.45,5.87,4.56,5.077,418962169.933,2021-05-09 23:59:59.999
42,5.077,5.258,3.51,3.804,345808229.29,2021-05-16 23:59:59.999
43,3.807,4.08,1.34,1.684,672011190.443,2021-05-23 23:59:59.999
44,1.684,2.494,1.63,1.961,403473922.152,2021-05-30 23:59:59.999
45,1.962,2.397,1.851,2.139,276295615.287,2021-06-06 23:59:59.999
46,2.139,2.249,1.603,1.913,256570421.993,2021-06-13 23:59:59.999
47,1.914,2.428,1.874,2.196,288469041.018,2021-06-20 23:59:59.999
48,2.197,2.224,1.45,1.867,339884150.154,2021-06-27 23:59:59.999
49,1.867,2.085,1.794,2.022,141537994.323,2021-07-04 23:59:59.999
50,2.021,2.21,1.837,1.952,126537941.91,2021-07-11 23:59:59.999
51,1.952,1.974,1.627,1.709,80936449.465,2021-07-18 23:59:59.999
52,1.709,1.717,1.368,1.64,143438486.356,2021-07-25 23:59:59.999
53,1.641,2.287,1.626,2.099,173513244.581,2021-08-01 23:59:59.999
54,2.1,2.693,2.09,2.472,151629687.708,2021-08-08 23:59:59.999
55,2.471,3.59,2.426,3.463,151012860.406,2021-08-15 23:59:59.999
56,3.462,3.818,2.812,3.692,112914312.156,2021-08-22 23:59:59.999
57,3.691,4.58,3.6,3.726,135904847.992,2021-08-29 23:59:59.999
58,3.728,3.896,3.439,3.843,102520281.141,2021-09-05 23:59:59.999
59,3.844,4.089,2.348,2.816,370021941.784,2021-09-12 23:59:59.999
60,2.817,2.937,2.415,2.502,150090544.9,2021-09-19 23:59:59.999
61,2.502,2.505,1.95,2.093,152636197.293,2021-09-26 23:59:59.999
62,2.092,2.513,1.981,2.447,89471698.1,2021-10-03 23:59:59.999
63,2.448,2.68,2.251,2.52,137905550.9,2021-10-10 23:59:59.999
64,2.52,2.578,2.205,2.308,129610454.2,2021-10-17 23:59:59.999
65,2.309,2.446,2.176,2.235,97263255.3,2021-10-24 23:59:59.999
66,2.235,2.539,1.79,2.444,145813132.927,2021-10-31 23:59:59.999
67,2.444,2.564,2.303,2.405,104824457.3,2021-11-07 23:59:59.999
68,2.405,2.685,2.194,2.542,124165477.2,2021-11-14 23:59:59.999
69,2.542,3.0,2.254,2.623,264677920.2,2021-11-21 23:59:59.999
70,2.627,2.667,2.062,2.257,117095349.5,2021-11-28 23:59:59.999
71,2.256,2.44,1.276,1.585,125176298.196,2021-12-05 23:59:59.999
72,1.586,1.742,1.424,1.567,79980597.2,2021-12-12 23:59:59.999
73,1.567,1.58,1.359,1.512,62993122.1,2021-12-19 23:59:59.999
74,1.512,1.7,1.425,1.641,57378333.9,2021-12-26 23:59:59.999
75,1.641,2.359,1.462,2.139,282908380.5,2022-01-02 23:59:59.999
76,2.138,2.142,1.441,1.553,141205219.0,2022-01-09 23:59:59.999
77,1.554,1.848,1.4,1.74,102183834.1,2022-01-16 23:59:59.999
78,1.738,1.754,1.18,1.321,101305195.521,2022-01-23 23:59:59.999
79,1.32,1.4,1.113,1.325,84784734.208,2022-01-30 23:59:59.999
80,1.325,1.571,1.265,1.532,59129232.7,2022-02-06 23:59:59.999
81,1.533,1.617,1.312,1.342,56951228.1,2022-02-13 23:59:59.999
82,1.343,1.507,1.224,1.244,42770643.7,2022-02-20 23:59:59.999
83,1.243,1.369,1.045,1.28,90287278.065,2022-02-27 23:59:59.999
84,1.281,1.489,1.249,1.328,71355590.3,2022-03-06 23:59:59.999
85,1.328,1.364,1.186,1.192,44587623.4,2022-03-13 23:59:59.999
86,1.191,1.64,1.168,1.401,83187626.0,2022-03-20 23:59:59.999
87,1.401,1.705,1.368,1.703,94135838.5,2022-03-27 23:59:59.999
88,1.703,1.82,1.489,1.667,102176978.7,2022-04-03 23:59:59.999
89,1.667,1.669,1.261,1.299,53190129.5,2022-04-10 23:59:59.999
