,Open,High,Low,Close,Volume,Close time
0,0.2863,0.3523,0.2732,0.3112,57849581.0,2021-09-26 23:59:59.999
1,0.311,0.3286,0.2603,0.3001,28231140.0,2021-10-03 23:59:59.999
2,0.3003,0.3142,0.2801,0.2805,21089411.0,2021-10-10 23:59:59.999
3,0.2817,0.7582,0.2579,0.4694,563542205.0,2021-10-17 23:59:59.999
4,0.469,0.527,0.3533,0.3639,352753786.0,2021-10-24 23:59:59.999
5,0.3638,0.385,0.3014,0.3217,80170497.0,2021-10-31 23:59:59.999
6,0.321,0.5525,0.3095,0.3706,326737737.0,2021-11-07 23:59:59.999
7,0.3706,0.5088,0.36,0.4707,143197618.0,2021-11-14 23:59:59.999
8,0.4694,0.578,0.3973,0.4752,185332154.0,2021-11-21 23:59:59.999
9,0.4737,0.7043,0.4624,0.693,195845068.0,2021-11-28 23:59:59.999
10,0.6925,0.8975,0.452,0.6354,231157840.0,2021-12-05 23:59:59.999
11,0.6355,0.752,0.486,0.6817,185660404.0,2021-12-12 23:59:59.999
12,0.6816,0.844,0.6518,0.7165,174519797.0,2021-12-19 23:59:59.999
13,0.7165,0.84,0.67,0.8169,76933606.0,2021-12-26 23:59:59.999
14,0.817,1.33,0.795,1.172,225905397.0,2022-01-02 23:59:59.999
15,1.1725,1.32,0.824,0.9168,135045828.0,2022-01-09 23:59:59.999
16,0.9166,1.2596,0.885,1.1967,158800402.0,2022-01-16 23:59:59.999
17,1.1967,1.2158,0.72,0.9307,154011500.0,2022-01-23 23:59:59.999
18,0.9307,0.9319,0.7439,0.759,107517948.0,2022-01-30 23:59:59.999
19,0.7596,0.86,0.685,0.8494,82319335.0,2022-02-06 23:59:59.999
20,0.8494,0.92,0.7725,0.8022,78583291.0,2022-02-13 23:59:59.999
21,0.8023,0.9,0.551,0.5701,85360310.0,2022-02-20 23:59:59.999
22,0.5697,0.6472,0.3974,0.5641,201662092.0,2022-02-27 23:59:59.999
23,0.5637,0.6679,0.5109,0.5155,117096841.0,2022-03-06 23:59:59.999
24,0.5155,0.5477,0.4865,0.5055,84780535.0,2022-03-13 23:59:59.999
25,0.506,0.6439,0.4439,0.55,207795767.0,2022-03-20 23:59:59.999
26,0.5501,0.699,0.5465,0.6878,92870464.0,2022-03-27 23:59:59.999
27,0.6873,0.7343,0.62,0.6647,90360785.0,2022-04-03 23:59:59.999
28,0.6647,0.6998,0.5457,0.5525,58763678.0,2022-04-10 23:59:59.999
29,0.5526,0.6084,0.485,0.497,71251739.0,2022-04-17 23:59:59.999
30,0.4972,0.5657,0.4788,0.5247,69019419.0,2022-04-24 23:59:59.999
31,0.5248,0.58,0.4044,0.4324,111826112.0,2022-05-01 23:59:59.999
32,0.4322,0.4459,0.3193,0.3305,110873309.0,2022-05-08 23:59:59.999
33,0.3312,0.3338,0.1356,0.2035,155120081.0,2022-05-15 23:59:59.999
34,0.2034,0.248,0.1797,0.2131,122441561.0,2022-05-22 23:59:59.999
35,0.2127,0.222,0.172,0.1934,60387785.0,2022-05-29 23:59:59.999
36,0.1934,0.26,0.1924,0.2354,100428599.0,2022-06-05 23:59:59.999
