,Open,High,Low,Close,Volume,Close time
0,0.1168,0.1891,0.0982,0.1711,828627898.3,2022-02-27 23:59:59.999
1,0.1711,0.2327,0.1436,0.145,1307595954.4,2022-03-06 23:59:59.999
2,0.1448,0.1449,0.1156,0.1162,147550882.6,2022-03-13 23:59:59.999
3,0.1159,0.1368,0.1149,0.1259,249505184.1,2022-03-20 23:59:59.999
4,0.1259,0.135,0.1218,0.1325,131556793.9,2022-03-27 23:59:59.999
5,0.1325,0.1642,0.1281,0.1454,668878876.7,2022-04-03 23:59:59.999
6,0.1455,0.1524,0.1203,0.1208,331774342.1,2022-04-10 23:59:59.999
7,0.1208,0.1222,0.11,0.1105,134553797.2,2022-04-17 23:59:59.999
8,0.1104,0.1153,0.1048,0.1076,151163373.3,2022-04-24 23:59:59.999
9,0.1077,0.1086,0.0813,0.087,235901863.7,2022-05-01 23:59:59.999
10,0.087,0.0911,0.0737,0.0748,121602990.4,2022-05-08 23:59:59.999
11,0.075,0.0755,0.037,0.0491,239351844.5,2022-05-15 23:59:59.999
12,0.0492,0.0667,0.0459,0.0501,381937811.1,2022-05-22 23:59:59.999
13,0.0501,0.0514,0.0417,0.0437,139412029.4,2022-05-29 23:59:59.999
14,0.0438,0.081,0.0435,0.0534,1229788272.9,2022-06-05 23:59:59.999
