,Open,High,Low,Close,Volume,Close time
0,71.89,87.55,49.9,57.55,527664.5,2021-06-13 23:59:59.999
1,57.59,72.2,44.02,47.1,443202.21,2021-06-20 23:59:59.999
2,47.03,49.0,34.1,40.65,542592.96,2021-06-27 23:59:59.999
3,40.65,45.9,36.43,39.04,128778.38,2021-07-04 23:59:59.999
4,39.04,41.31,33.57,34.93,137527.02,2021-07-11 23:59:59.999
5,34.96,35.99,29.03,30.8,152006.65,2021-07-18 23:59:59.999
6,30.78,38.85,26.08,32.63,228863.42,2021-07-25 23:59:59.999
7,32.63,38.56,31.55,34.7,156700.13,2021-08-01 23:59:59.999
8,34.65,83.71,30.24,59.26,3010186.25,2021-08-08 23:59:59.999
9,59.26,62.87,49.01,53.37,971948.89,2021-08-15 23:59:59.999
10,53.47,56.96,44.55,49.28,323270.67,2021-08-22 23:59:59.999
11,49.34,95.7,46.73,70.0,2457364.88,2021-08-29 23:59:59.999
12,70.0,87.98,63.67,76.28,792074.69,2021-09-05 23:59:59.999
13,76.27,76.28,54.4,62.83,340538.37,2021-09-12 23:59:59.999
14,62.83,98.43,54.96,66.99,1091734.67,2021-09-19 23:59:59.999
15,67.18,68.26,50.15,57.1,453751.8,2021-09-26 23:59:59.999
16,56.95,73.8,55.53,68.04,536609.69,2021-10-03 23:59:59.999
17,68.1,72.87,63.66,64.74,305238.0,2021-10-10 23:59:59.999
18,64.7,84.45,58.82,73.66,560576.61,2021-10-17 23:59:59.999
19,73.7,77.83,64.65,68.38,258557.78,2021-10-24 23:59:59.999
20,68.38,73.89,57.61,60.31,295208.89,2021-10-31 23:59:59.999
21,60.31,63.96,55.19,57.27,309453.33,2021-11-07 23:59:59.999
22,57.4,59.7,50.84,54.81,281628.13,2021-11-14 23:59:59.999
23,54.88,57.0,46.2,50.72,238908.23,2021-11-21 23:59:59.999
24,50.72,53.62,42.0,45.28,264654.97,2021-11-28 23:59:59.999
25,45.28,52.35,33.69,36.55,338426.09,2021-12-05 23:59:59.999
26,36.67,49.5,32.7,40.14,942793.18,2021-12-12 23:59:59.999
27,40.05,42.75,32.23,38.01,288674.08,2021-12-19 23:59:59.999
28,38.01,46.72,35.28,41.44,170354.18,2021-12-26 23:59:59.999
29,41.55,42.65,35.33,36.47,162657.43,2022-01-02 23:59:59.999
30,36.45,36.61,27.05,28.17,149870.47,2022-01-09 23:59:59.999
31,28.18,37.0,25.13,32.26,952651.84,2022-01-16 23:59:59.999
32,32.29,34.6,19.21,21.75,407635.89,2022-01-23 23:59:59.999
33,21.66,23.44,18.38,20.96,219161.9,2022-01-30 23:59:59.999
34,20.93,25.2,20.19,24.39,321646.13,2022-02-06 23:59:59.999
35,24.39,27.02,22.53,23.33,198820.14,2022-02-13 23:59:59.999
36,23.33,51.77,22.58,36.2,4139251.08,2022-02-20 23:59:59.999
37,36.22,45.76,26.47,36.27,1781602.7,2022-02-27 23:59:59.999
38,36.26,68.4,35.77,47.27,4009969.82,2022-03-06 23:59:59.999
39,47.34,56.0,42.16,45.34,1697327.06,2022-03-13 23:59:59.999
40,45.34,51.66,44.35,44.98,656703.6,2022-03-20 23:59:59.999
41,44.95,49.75,42.68,46.69,625363.83,2022-03-27 23:59:59.999
42,46.68,58.5,45.0,47.04,880835.7,2022-04-03 23:59:59.999
43,47.03,50.25,42.05,42.88,455968.62,2022-04-10 23:59:59.999
44,42.93,46.0,38.11,40.13,271013.79,2022-04-17 23:59:59.999
45,40.1,54.5,40.0,46.26,689289.27,2022-04-24 23:59:59.999
46,46.29,56.24,44.37,53.75,789679.49,2022-05-01 23:59:59.999
47,53.75,58.7,47.57,50.96,500741.56,2022-05-08 23:59:59.999
48,50.96,51.23,28.98,39.54,476728.97,2022-05-15 23:59:59.999
49,39.53,40.24,35.56,36.6,160386.45,2022-05-22 23:59:59.999
50,36.6,38.13,22.61,29.16,604022.55,2022-05-29 23:59:59.999
51,29.16,31.18,23.06,25.23,386255.81,2022-06-05 23:59:59.999
