,Open,High,Low,Close,Volume,Close time
0,45.07,100.0,45.07,71.8,529752.073,2020-08-30 23:59:59.999
1,72.141,75.033,25.7,38.404,1088952.794,2020-09-06 23:59:59.999
2,38.341,46.97,29.192,39.203,1233001.926,2020-09-13 23:59:59.999
3,39.218,41.888,26.871,27.737,796364.013,2020-09-20 23:59:59.999
4,27.737,28.334,18.57,23.059,1195602.069,2020-09-27 23:59:59.999
5,23.098,26.917,17.703,18.449,796765.873,2020-10-04 23:59:59.999
6,18.446,26.632,12.788,22.706,1226560.748,2020-10-11 23:59:59.999
7,22.632,26.796,18.8,24.442,1217891.104,2020-10-18 23:59:59.999
8,24.441,30.19,18.512,28.18,1761192.943,2020-10-25 23:59:59.999
9,28.174,29.346,18.537,20.838,1507321.692,2020-11-01 23:59:59.999
10,20.795,27.624,16.55,23.587,1979699.859,2020-11-08 23:59:59.999
11,23.598,26.797,21.005,24.211,1827375.027,2020-11-15 23:59:59.999
12,24.165,34.239,23.525,32.525,2215155.015,2020-11-22 23:59:59.999
13,32.657,34.999,21.81,25.296,1908165.748,2020-11-29 23:59:59.999
14,25.3,29.129,23.775,26.05,1204947.71,2020-12-06 23:59:59.999
15,26.075,27.0,21.431,23.969,1140001.455,2020-12-13 23:59:59.999
16,23.957,26.616,22.0,22.623,914670.061,2020-12-20 23:59:59.999
17,22.591,23.229,15.0,17.771,1004932.891,2020-12-27 23:59:59.999
18,17.846,20.501,16.72,19.903,1014978.58,2021-01-03 23:59:59.999
19,19.936,27.0,17.572,22.654,2123145.056,2021-01-10 23:59:59.999
20,22.71,35.65,17.023,34.651,2852522.791,2021-01-17 23:59:59.999
21,34.655,34.7,21.0,28.594,2148756.679,2021-01-24 23:59:59.999
22,28.547,37.1,25.896,29.968,2007616.954,2021-01-31 23:59:59.999
23,29.966,42.9,28.5,35.968,2078437.728,2021-02-07 23:59:59.999
24,35.973,64.4,35.502,50.746,2762768.248,2021-02-14 23:59:59.999
25,50.835,56.255,35.281,47.619,2382330.854,2021-02-21 23:59:59.999
