,Open,High,Low,Close,Volume,Close time
0,0.6822,1.1,0.6822,0.7949,303082878.0,2021-08-29 23:59:59.999
1,0.7951,0.8828,0.7569,0.7715,77133944.0,2021-09-05 23:59:59.999
2,0.7724,0.7975,0.5853,0.632,55442108.0,2021-09-12 23:59:59.999
3,0.632,0.7329,0.5945,0.6334,86849102.0,2021-09-19 23:59:59.999
4,0.6326,0.9035,0.5742,0.5804,131680769.0,2021-09-26 23:59:59.999
5,0.581,0.6335,0.5772,0.6144,35628828.0,2021-10-03 23:59:59.999
6,0.6148,0.7524,0.6011,0.7218,62545647.0,2021-10-10 23:59:59.999
7,0.7207,0.9181,0.7201,0.8315,70380213.0,2021-10-17 23:59:59.999
8,0.8319,0.98,0.7927,0.8971,29058857.0,2021-10-24 23:59:59.999
9,0.8966,0.9224,0.8651,0.8921,19481980.0,2021-10-31 23:59:59.999
10,0.8923,1.172,0.8813,1.1117,44590318.0,2021-11-07 23:59:59.999
11,1.112,1.3545,1.0954,1.2394,39571584.0,2021-11-14 23:59:59.999
12,1.2394,1.358,0.9691,1.1109,40886935.0,2021-11-21 23:59:59.999
13,1.111,1.156,0.9031,0.931,17709842.0,2021-11-28 23:59:59.999
14,0.931,1.5209,0.9247,1.0137,76691725.0,2021-12-05 23:59:59.999
15,1.0153,1.0865,1.0001,1.021,16605761.0,2021-12-12 23:59:59.999
16,1.0224,1.0463,0.8974,0.9115,8533445.0,2021-12-19 23:59:59.999
17,0.9116,1.09,0.8845,1.0453,13430882.0,2021-12-26 23:59:59.999
18,1.0453,1.12,0.9907,0.9972,7127555.0,2022-01-02 23:59:59.999
19,0.9953,1.0,0.841,0.8489,8202839.0,2022-01-09 23:59:59.999
20,0.8487,1.2717,0.8257,1.2154,39500116.0,2022-01-16 23:59:59.999
21,1.2162,1.2223,0.7199,0.7495,22357197.0,2022-01-23 23:59:59.999
22,0.749,0.8359,0.6589,0.6812,21102942.0,2022-01-30 23:59:59.999
23,0.6812,0.7502,0.6701,0.7304,10999734.0,2022-02-06 23:59:59.999
24,0.7305,0.8185,0.6782,0.6804,25975805.0,2022-02-13 23:59:59.999
25,0.6824,0.7065,0.6298,0.63,11341498.0,2022-02-20 23:59:59.999
26,0.6311,0.6515,0.5677,0.572,20648930.0,2022-02-27 23:59:59.999
27,0.5723,0.6181,0.5577,0.5618,13745818.0,2022-03-06 23:59:59.999
28,0.561,0.6888,0.5272,0.5422,21758251.0,2022-03-13 23:59:59.999
29,0.5423,0.5641,0.5335,0.5445,10463778.0,2022-03-20 23:59:59.999
30,0.5434,0.5764,0.5388,0.5712,16852214.0,2022-03-27 23:59:59.999
31,0.5706,0.63,0.5553,0.6188,52010850.0,2022-04-03 23:59:59.999
32,0.6188,0.6188,0.5275,0.5337,27714007.0,2022-04-10 23:59:59.999
33,0.534,0.5987,0.5101,0.5609,43734592.0,2022-04-17 23:59:59.999
34,0.5606,0.5658,0.5001,0.5007,12693450.0,2022-04-24 23:59:59.999
35,0.501,0.519,0.391,0.3992,29839099.0,2022-05-01 23:59:59.999
36,0.4,0.4015,0.3523,0.3543,23260882.0,2022-05-08 23:59:59.999
37,0.3544,0.3575,0.2632,0.278,34326737.0,2022-05-15 23:59:59.999
38,0.278,0.278,0.2491,0.2545,15173432.0,2022-05-22 23:59:59.999
39,0.2537,0.2639,0.2316,0.2369,26084692.0,2022-05-29 23:59:59.999
40,0.2373,0.2512,0.2269,0.2293,18824209.0,2022-06-05 23:59:59.999
