,Open,High,Low,Close,Volume,Close time
0,10.0,13.111,9.439,11.849,61156.01,2020-09-13 23:59:59.999
1,11.846,16.62,10.7,14.104,251943.51,2020-09-20 23:59:59.999
2,14.185,17.043,10.826,14.32,58753.47,2020-09-27 23:59:59.999
3,13.87,17.659,11.953,14.029,139229.69,2020-10-04 23:59:59.999
4,13.89,16.346,12.11,12.978,55011.4,2020-10-11 23:59:59.999
5,13.095,14.263,11.538,13.858,24708.77,2020-10-18 23:59:59.999
6,13.94,14.537,10.178,12.658,140981.67,2020-10-25 23:59:59.999
7,12.557,14.686,12.122,14.259,12713.78,2020-11-01 23:59:59.999
8,14.001,18.327,11.68,13.341,37346.29,2020-11-08 23:59:59.999
9,13.538,14.352,12.967,13.6,4886.02,2020-11-15 23:59:59.999
10,13.556,14.239,7.393,9.124,142174.81,2020-11-22 23:59:59.999
11,9.117,9.514,3.583,5.623,1444362.15,2020-11-29 23:59:59.999
12,5.51,5.86,4.0,4.982,407061.26,2020-12-06 23:59:59.999
13,4.995,6.915,4.995,5.75,93017.32,2020-12-13 23:59:59.999
14,5.807,6.039,3.973,4.56,203078.21,2020-12-20 23:59:59.999
15,4.566,7.918,3.248,4.12,451774.56,2020-12-27 23:59:59.999
16,4.106,5.284,3.538,3.9,343472.94,2021-01-03 23:59:59.999
17,3.875,4.685,1.72,2.262,4038465.57,2021-01-10 23:59:59.999
18,2.28,3.64,2.28,2.529,1572833.86,2021-01-17 23:59:59.999
19,2.519,3.448,2.117,2.276,684030.18,2021-01-24 23:59:59.999
20,2.28,2.577,0.5,1.074,30465144.43,2021-01-31 23:59:59.999
21,1.086,1.109,0.688,0.769,9238901.97,2021-02-07 23:59:59.999
22,0.773,0.816,0.175,0.216,130865060.02,2021-02-14 23:59:59.999
23,0.219,0.309,0.121,0.138,279374351.83,2021-02-21 23:59:59.999
24,0.138,0.258,0.12,0.172,320497826.31,2021-02-28 23:59:59.999
25,0.172,0.178,0.123,0.129,287298021.76,2021-03-07 23:59:59.999
26,0.128,0.146,0.117,0.132,218310268.58,2021-03-14 23:59:59.999
27,0.131,0.15,0.056,0.065,1115802242.31,2021-03-21 23:59:59.999
28,0.065,0.093,0.047,0.053,1295372752.67,2021-03-28 23:59:59.999
29,0.053,0.054,0.00696,0.00708,5186781429.83,2021-04-04 23:59:59.999
30,0.00707,0.0102,0.00433,0.005836,5635366344.11,2021-04-11 23:59:59.999
31,0.005805,0.00583,0.001332,0.002004,9393927987.23,2021-04-18 23:59:59.999
32,0.002004,0.006,0.001759,0.003707,7147244046.1,2021-04-25 23:59:59.999
33,0.003698,0.003824,0.001602,0.001884,5394061128.99,2021-05-02 23:59:59.999
34,0.001884,0.00235,0.000811,0.001247,7625533356.45,2021-05-09 23:59:59.999
35,0.001244,0.002055,0.001049,0.001433,6284976717.09,2021-05-16 23:59:59.999
36,0.001437,0.006512,0.000997,0.002159,8562400521.75,2021-05-23 23:59:59.999
37,0.002161,0.00227,0.000863,0.001216,4951674268.76,2021-05-30 23:59:59.999
38,0.001226,0.001298,0.000794,0.0009,2777365330.06,2021-06-06 23:59:59.999
39,0.0009,0.001278,0.000865,0.00099,4684880921.64,2021-06-13 23:59:59.999
40,0.000994,0.001253,0.000888,0.001087,4814319752.56,2021-06-20 23:59:59.999
41,0.001085,0.00232,0.000823,0.000884,13331595418.03,2021-06-27 23:59:59.999
42,0.000885,0.000906,0.000703,0.000744,5418607070.81,2021-07-04 23:59:59.999
43,0.00074,0.000988,0.00074,0.000898,2405408712.77,2021-07-11 23:59:59.999
44,0.000899,0.001158,0.000867,0.001105,1432298699.55,2021-07-18 23:59:59.999
45,0.00111,0.001428,0.0009012,0.00091,1429608778.12,2021-07-25 23:59:59.999
46,0.0009101,0.000925,0.0006337,0.000732,3732782110.82,2021-08-01 23:59:59.999
47,0.000732,0.0007556,0.0004318,0.0005049,5395998385.0,2021-08-08 23:59:59.999
48,0.000501,0.0005363,0.0002394,0.0002612,9959795028.66,2021-08-15 23:59:59.999
49,0.00026,0.000337,0.000227,0.0002854,7585584986.72,2021-08-22 23:59:59.999
50,0.0002858,0.00034,0.0002575,0.000284,5296615896.99,2021-08-29 23:59:59.999
51,0.000284,0.0003115,0.00017352,0.00017896,14478737864.39,2021-09-05 23:59:59.999
