,Open,High,Low,Close,Volume,Close time
0,10.0,10.541,6.848,7.757,37016.82,2020-09-13 23:59:59.999
1,7.828,8.5,4.865,5.091,214851.17,2020-09-20 23:59:59.999
2,5.093,5.98,4.025,4.93,170180.44,2020-09-27 23:59:59.999
3,4.996,5.737,3.8,4.828,218974.58,2020-10-04 23:59:59.999
4,4.991,5.299,4.25,4.865,76182.14,2020-10-11 23:59:59.999
5,4.899,5.409,4.45,4.585,208314.94,2020-10-18 23:59:59.999
6,4.615,6.38,4.28,4.993,469312.79,2020-10-25 23:59:59.999
7,5.015,5.3,3.845,4.04,186924.22,2020-11-01 23:59:59.999
8,4.073,4.341,3.219,3.872,187030.7,2020-11-08 23:59:59.999
9,3.922,4.04,3.675,3.763,58982.99,2020-11-15 23:59:59.999
10,3.873,5.755,3.711,4.819,482190.8,2020-11-22 23:59:59.999
11,4.832,10.989,3.3,4.479,3391366.95,2020-11-29 23:59:59.999
12,4.484,6.108,3.689,4.378,1482370.35,2020-12-06 23:59:59.999
13,4.378,4.378,2.788,3.572,577802.76,2020-12-13 23:59:59.999
14,3.553,4.778,3.337,4.296,821273.82,2020-12-20 23:59:59.999
15,4.258,4.448,1.87,3.222,1721903.63,2020-12-27 23:59:59.999
16,3.242,3.729,2.265,3.312,2170836.08,2021-01-03 23:59:59.999
17,3.33,4.95,2.462,3.585,6297266.75,2021-01-10 23:59:59.999
18,3.571,3.585,1.988,2.705,4445036.08,2021-01-17 23:59:59.999
19,2.744,3.235,1.809,2.541,4204524.89,2021-01-24 23:59:59.999
20,2.538,5.131,1.984,2.298,12905474.88,2021-01-31 23:59:59.999
21,2.281,3.327,2.135,2.812,18686124.27,2021-02-07 23:59:59.999
22,2.817,8.606,2.653,6.115,16737999.32,2021-02-14 23:59:59.999
23,6.128,7.2,2.92,5.519,14136254.84,2021-02-21 23:59:59.999
24,5.528,5.562,1.41,2.181,22772381.28,2021-02-28 23:59:59.999
25,2.185,3.286,2.1,3.071,8510278.2,2021-03-07 23:59:59.999
26,3.07,3.434,2.513,2.908,5691555.85,2021-03-14 23:59:59.999
27,2.915,6.248,2.409,5.18,7861283.33,2021-03-21 23:59:59.999
28,5.207,5.8,2.781,4.832,9689662.78,2021-03-28 23:59:59.999
29,4.838,18.899,4.752,18.757,8945130.72,2021-04-04 23:59:59.999
30,18.682,23.851,13.0,16.763,3935293.95,2021-04-11 23:59:59.999
31,16.734,27.735,13.133,18.615,5397863.12,2021-04-18 23:59:59.999
32,18.648,19.677,7.04,8.894,3531424.8,2021-04-25 23:59:59.999
33,8.996,14.977,8.681,13.681,2158665.45,2021-05-02 23:59:59.999
34,13.643,24.276,11.36,15.636,3944417.34,2021-05-09 23:59:59.999
35,15.642,16.98,5.8,9.1,14754132.78,2021-05-16 23:59:59.999
36,9.124,9.14,0.16,0.301,142928085.1,2021-05-23 23:59:59.999
37,0.301,0.508,0.29,0.38,29078594.42,2021-05-30 23:59:59.999
