,Open,High,Low,Close,Volume,Close time
0,1.01,1.014,0.9997,1.0035,20940392.25,2018-06-03 23:59:59.999
1,1.0022,1.0288,1.0,1.0035,52085416.64,2018-06-10 23:59:59.999
2,1.0035,1.0179,1.001,1.007,62764661.73,2018-06-17 23:59:59.999
3,1.0065,1.017,0.9957,1.0008,70353253.0,2018-06-24 23:59:59.999
4,1.0014,1.005,0.9752,0.9997,65552215.84,2018-07-01 23:59:59.999
5,0.9997,1.0005,0.9868,0.9957,54285608.73,2018-07-08 23:59:59.999
6,0.9935,1.0005,0.9783,0.9982,44910239.94,2018-07-15 23:59:59.999
7,0.9977,0.9998,0.9849,0.9946,53626365.45,2018-07-22 23:59:59.999
8,0.9945,1.0004,0.9911,0.9981,38374222.8,2018-07-29 23:59:59.999
9,0.9973,1.01,0.9966,0.9997,50745986.61,2018-08-05 23:59:59.999
10,0.9996,1.0033,0.9956,0.999,48734178.77,2018-08-12 23:59:59.999
11,0.9992,1.008,0.9973,0.9986,49960691.5,2018-08-19 23:59:59.999
12,0.9986,1.0049,0.998,1.003,44087513.75,2018-08-26 23:59:59.999
13,1.003,1.0044,0.9995,1.0014,47823858.18,2018-09-02 23:59:59.999
14,1.0018,1.0067,0.999,1.0014,56548588.92,2018-09-09 23:59:59.999
15,1.0017,1.0073,1.0,1.0018,43083736.98,2018-09-16 23:59:59.999
16,1.0019,1.059,0.9995,1.0013,53035943.53,2018-09-23 23:59:59.999
17,1.0013,1.007,1.001,1.0039,39837852.19,2018-09-30 23:59:59.999
18,1.0038,1.0189,1.002,1.0068,54132130.48,2018-10-07 23:59:59.999
19,1.0067,1.05,1.005,1.0434,31872111.6,2018-10-14 23:59:59.999
20,1.0434,1.24,1.021,1.0322,48981155.74,2018-10-21 23:59:59.999
21,1.0315,1.0372,1.0106,1.0115,27773414.41,2018-10-28 23:59:59.999
22,1.0117,1.02,1.0037,1.0055,40106473.17,2018-11-04 23:59:59.999
23,1.0055,1.0151,1.0036,1.0137,22170195.27,2018-11-11 23:59:59.999
24,1.0146,1.1,1.008,1.0188,35726804.78,2018-11-18 23:59:59.999
25,1.0187,1.095,1.0136,1.0401,73177297.18,2018-11-25 23:59:59.999
26,1.0404,1.0493,1.0076,1.0152,47897740.03,2018-12-02 23:59:59.999
27,1.0162,1.0331,0.9992,1.0041,46749459.82,2018-12-09 23:59:59.999
28,1.0041,1.0149,1.0022,1.0095,29921950.47,2018-12-16 23:59:59.999
29,1.0095,1.0117,0.9855,0.9955,47164272.45,2018-12-23 23:59:59.999
30,0.9954,0.998,0.9815,0.993,47480416.44,2018-12-30 23:59:59.999
31,0.9926,1.0037,0.9836,0.9876,29319059.3,2019-01-06 23:59:59.999
32,0.9877,1.0024,0.9806,0.993,35139825.29,2019-01-13 23:59:59.999
33,0.993,1.0011,0.9852,1.0001,32129761.63,2019-01-20 23:59:59.999
34,1.0001,1.0076,0.9968,1.0054,24803944.57,2019-01-27 23:59:59.999
35,1.006,1.0136,1.0001,1.0133,34238475.32,2019-02-03 23:59:59.999
36,1.0133,1.019,1.0029,1.0091,35248237.66,2019-02-10 23:59:59.999
37,1.0091,1.0152,1.0064,1.0124,40029511.32,2019-02-17 23:59:59.999
