,Open,High,Low,Close,Volume,Close time
0,0.2227,0.55,0.2227,0.2846,396347467.0,2021-08-08 23:59:59.999
1,0.285,0.3393,0.265,0.3218,298730494.0,2021-08-15 23:59:59.999
2,0.3217,0.3484,0.2482,0.312,265148188.0,2021-08-22 23:59:59.999
3,0.3108,0.3948,0.28,0.316,419316634.0,2021-08-29 23:59:59.999
4,0.316,0.375,0.3,0.3297,295163216.0,2021-09-05 23:59:59.999
5,0.3298,0.42,0.2253,0.2551,351455221.0,2021-09-12 23:59:59.999
6,0.2551,0.28,0.2276,0.2363,160195181.0,2021-09-19 23:59:59.999
7,0.2363,0.2369,0.1677,0.1848,192641828.0,2021-09-26 23:59:59.999
8,0.1849,0.22,0.1648,0.2035,131841650.0,2021-10-03 23:59:59.999
9,0.2031,0.2483,0.1929,0.1951,157322777.0,2021-10-10 23:59:59.999
10,0.1951,0.2293,0.1773,0.1898,162944739.0,2021-10-17 23:59:59.999
11,0.1904,0.239,0.188,0.1956,292316888.0,2021-10-24 23:59:59.999
12,0.1955,0.31,0.1712,0.2491,366100184.0,2021-10-31 23:59:59.999
13,0.2489,0.3172,0.22,0.2919,391765681.0,2021-11-07 23:59:59.999
14,0.2921,0.4585,0.2733,0.398,741309983.0,2021-11-14 23:59:59.999
15,0.3974,0.4429,0.3,0.3791,468458749.0,2021-11-21 23:59:59.999
16,0.3799,0.5477,0.34,0.4663,704665697.0,2021-11-28 23:59:59.999
17,0.4667,0.4844,0.2147,0.2567,295388378.0,2021-12-05 23:59:59.999
18,0.2568,0.28,0.2172,0.2431,257354596.0,2021-12-12 23:59:59.999
19,0.2435,0.2608,0.1991,0.2061,198986084.0,2021-12-19 23:59:59.999
20,0.2062,0.244,0.187,0.2315,215521442.0,2021-12-26 23:59:59.999
21,0.2312,0.2512,0.1932,0.2094,138399878.0,2022-01-02 23:59:59.999
22,0.2094,0.2171,0.1542,0.1615,147761442.0,2022-01-09 23:59:59.999
23,0.1614,0.2057,0.1417,0.1844,204716956.0,2022-01-16 23:59:59.999
24,0.1845,0.1877,0.1063,0.1159,209601720.0,2022-01-23 23:59:59.999
25,0.1159,0.144,0.0955,0.1264,211537530.0,2022-01-30 23:59:59.999
26,0.1263,0.1637,0.1186,0.1484,127951231.0,2022-02-06 23:59:59.999
27,0.1484,0.1673,0.1235,0.125,151586219.0,2022-02-13 23:59:59.999
28,0.1249,0.1477,0.1053,0.109,106925496.0,2022-02-20 23:59:59.999
29,0.1091,0.1185,0.0838,0.0999,206624776.0,2022-02-27 23:59:59.999
30,0.1001,0.133,0.0986,0.1017,184493966.0,2022-03-06 23:59:59.999
31,0.1017,0.1182,0.096,0.1009,210987063.0,2022-03-13 23:59:59.999
32,0.1008,0.1242,0.0983,0.1196,248942063.0,2022-03-20 23:59:59.999
33,0.1196,0.163,0.1165,0.1351,491986240.0,2022-03-27 23:59:59.999
34,0.1352,0.1545,0.1275,0.145,306204783.0,2022-04-03 23:59:59.999
35,0.145,0.1605,0.1136,0.1142,229780508.0,2022-04-10 23:59:59.999
36,0.1143,0.126,0.1,0.1042,259408262.0,2022-04-17 23:59:59.999
37,0.1041,0.117,0.0964,0.1045,205709604.0,2022-04-24 23:59:59.999
38,0.1045,0.1046,0.077,0.083,112590881.0,2022-05-01 23:59:59.999
39,0.0829,0.09,0.0715,0.0729,123101076.0,2022-05-08 23:59:59.999
40,0.0726,0.0744,0.0253,0.041,257594328.0,2022-05-15 23:59:59.999
41,0.0412,0.0515,0.035,0.0419,302483673.0,2022-05-22 23:59:59.999
42,0.0419,0.0488,0.037,0.0412,193467248.0,2022-05-29 23:59:59.999
43,0.0412,0.0523,0.038,0.0409,240564504.0,2022-06-05 23:59:59.999
0,0.0408,0.0463,0.0337,0.0337,158496121.0,2022-06-12 23:59:59.999000
