,Open,High,Low,Close,Volume,Close time
0,0.1698,0.5,0.1698,0.2907,613524973.41,2021-01-31 23:59:59.999
1,0.2907,0.666,0.2867,0.6096,304437261.34,2021-02-07 23:59:59.999
2,0.6096,0.7583,0.5965,0.6397,192897744.35,2021-02-14 23:59:59.999
3,0.6397,0.8871,0.511,0.7611,177393420.35,2021-02-21 23:59:59.999
4,0.7589,0.7614,0.4167,0.4605,112075662.91,2021-02-28 23:59:59.999
5,0.462,0.583,0.4571,0.5528,72480804.61,2021-03-07 23:59:59.999
6,0.5528,0.62,0.48,0.538,89168918.82,2021-03-14 23:59:59.999
7,0.538,0.695,0.5109,0.6167,105376067.45,2021-03-21 23:59:59.999
8,0.6148,0.6548,0.485,0.5683,70957587.48,2021-03-28 23:59:59.999
9,0.569,0.793,0.5559,0.7496,139677305.12,2021-04-04 23:59:59.999
10,0.7479,0.82,0.6321,0.8143,125291479.07,2021-04-11 23:59:59.999
11,0.8125,0.8737,0.6502,0.6964,129578414.27,2021-04-18 23:59:59.999
12,0.6955,0.7654,0.497,0.548,90954647.25,2021-04-25 23:59:59.999
13,0.5488,1.1696,0.5347,1.0819,318040401.9,2021-05-02 23:59:59.999
14,1.0836,1.3193,0.8934,0.9349,326664194.62,2021-05-09 23:59:59.999
15,0.9351,1.15,0.7186,0.7925,161978677.72,2021-05-16 23:59:59.999
16,0.7937,0.823,0.33,0.4185,147587543.51,2021-05-23 23:59:59.999
17,0.4181,0.6416,0.411,0.5107,96679112.82,2021-05-30 23:59:59.999
18,0.5095,0.6977,0.3565,0.3859,210151311.8,2021-06-06 23:59:59.999
19,0.3859,0.4088,0.2755,0.3703,423725346.6,2021-06-13 23:59:59.999
20,0.371,0.3971,0.2973,0.3295,104339091.56,2021-06-20 23:59:59.999
21,0.3295,0.3333,0.23,0.2957,134504761.17,2021-06-27 23:59:59.999
22,0.2965,0.355,0.2914,0.3379,101308329.58,2021-07-04 23:59:59.999
23,0.3371,0.3577,0.3064,0.3251,62264631.42,2021-07-11 23:59:59.999
24,0.325,0.3777,0.3021,0.3092,94700969.48,2021-07-18 23:59:59.999
25,0.3092,0.3366,0.2582,0.3286,60839255.95,2021-07-25 23:59:59.999
26,0.3281,0.41,0.3211,0.3643,100969842.15,2021-08-01 23:59:59.999
27,0.3641,0.5451,0.3553,0.4587,207533042.02,2021-08-08 23:59:59.999
28,0.4587,0.765,0.45,0.6688,330610422.45,2021-08-15 23:59:59.999
29,0.6691,0.97,0.6579,0.9406,338420898.66,2021-08-22 23:59:59.999
30,0.9401,0.99,0.8,0.8977,171376910.47,2021-08-29 23:59:59.999
31,0.8971,1.65,0.8445,1.5207,390033886.14,2021-09-05 23:59:59.999
32,1.5226,1.55,0.95,1.2023,289935315.0,2021-09-12 23:59:59.999
33,1.2024,1.397,1.1102,1.1548,136764438.0,2021-09-19 23:59:59.999
34,1.1548,1.17,0.883,0.9901,173011231.0,2021-09-26 23:59:59.999
35,0.9889,1.159,0.8905,1.067,110091882.0,2021-10-03 23:59:59.999
36,1.0669,1.1071,0.9639,0.9955,100012418.0,2021-10-10 23:59:59.999
37,0.9962,1.4459,0.9369,1.095,295300804.0,2021-10-17 23:59:59.999
