,Open,High,Low,Close,Volume,Close time
0,15.83,20.315,15.108,17.186,1077714.216,2020-09-13 23:59:59.999
1,17.149,17.952,11.35,13.136,1094097.248,2020-09-20 23:59:59.999
2,13.154,13.222,8.787,9.939,567590.029,2020-09-27 23:59:59.999
3,9.946,10.538,6.795,7.043,719771.002,2020-10-04 23:59:59.999
4,7.045,13.195,5.855,8.769,3049015.785,2020-10-11 23:59:59.999
5,8.781,10.483,7.301,9.184,1223980.793,2020-10-18 23:59:59.999
6,9.184,10.4,7.729,7.82,878815.693,2020-10-25 23:59:59.999
7,7.821,8.158,6.615,6.889,660439.115,2020-11-01 23:59:59.999
8,6.89,8.3,6.311,7.204,383623.971,2020-11-08 23:59:59.999
9,7.203,9.168,6.768,8.4,663793.65,2020-11-15 23:59:59.999
10,8.4,8.913,7.5,8.144,492053.034,2020-11-22 23:59:59.999
11,8.173,9.317,7.0,8.148,471368.948,2020-11-29 23:59:59.999
12,8.125,8.34,7.303,7.951,324875.174,2020-12-06 23:59:59.999
13,7.95,8.71,6.77,7.504,727458.288,2020-12-13 23:59:59.999
14,7.485,11.28,7.249,7.767,2407921.419,2020-12-20 23:59:59.999
15,7.72,12.79,7.5,7.884,3785867.93,2020-12-27 23:59:59.999
16,7.885,8.671,7.5,8.38,788222.163,2021-01-03 23:59:59.999
17,8.396,11.3,8.112,9.437,1426998.297,2021-01-10 23:59:59.999
18,9.451,11.616,7.363,10.324,1280589.723,2021-01-17 23:59:59.999
19,10.324,13.379,9.764,11.549,2589007.191,2021-01-24 23:59:59.999
20,11.547,12.299,9.76,11.098,1130096.79,2021-01-31 23:59:59.999
21,11.098,43.998,10.751,28.41,12513072.642,2021-02-07 23:59:59.999
22,28.384,33.669,26.76,29.007,2436726.232,2021-02-14 23:59:59.999
23,29.013,30.063,23.336,26.766,1661379.766,2021-02-21 23:59:59.999
24,26.751,26.809,17.383,19.463,1435422.394,2021-02-28 23:59:59.999
25,19.557,23.135,19.226,22.217,1278659.22,2021-03-07 23:59:59.999
26,22.253,28.955,22.001,24.15,2282209.093,2021-03-14 23:59:59.999
27,24.15,26.5,22.312,25.212,1607784.174,2021-03-21 23:59:59.999
28,25.212,25.575,19.809,21.656,1393649.86,2021-03-28 23:59:59.999
29,21.684,27.5,21.563,25.466,1699466.555,2021-04-04 23:59:59.999
30,25.477,29.377,22.158,27.027,2084790.287,2021-04-11 23:59:59.999
31,27.102,32.987,22.74,32.84,3981806.827,2021-04-18 23:59:59.999
32,32.847,33.47,20.214,23.288,3669847.441,2021-04-25 23:59:59.999
33,23.277,28.785,23.192,25.793,2049703.381,2021-05-02 23:59:59.999
34,25.798,27.347,23.026,25.609,2064241.512,2021-05-09 23:59:59.999
35,25.608,32.203,22.242,24.453,4621716.98,2021-05-16 23:59:59.999
36,24.503,26.085,9.348,11.69,3269677.152,2021-05-23 23:59:59.999
37,11.718,16.19,11.057,12.785,1397602.403,2021-05-30 23:59:59.999
38,12.73,17.981,12.137,14.861,3244603.958,2021-06-06 23:59:59.999
39,14.861,15.61,10.625,11.861,2971854.627,2021-06-13 23:59:59.999
40,11.856,13.142,9.728,10.724,2016948.155,2021-06-20 23:59:59.999
41,10.74,10.792,7.475,8.389,2039914.388,2021-06-27 23:59:59.999
42,8.379,11.398,8.282,9.86,2257807.713,2021-07-04 23:59:59.999
43,9.85,11.0,8.801,9.304,1387226.992,2021-07-11 23:59:59.999
44,9.322,9.872,7.975,8.34,1378676.276,2021-07-18 23:59:59.999
45,8.34,8.662,7.277,8.431,1243924.543,2021-07-25 23:59:59.999
46,8.447,9.342,8.245,8.79,1842931.71,2021-08-01 23:59:59.999
47,8.801,10.53,8.278,9.461,3931686.857,2021-08-08 23:59:59.999
48,9.462,12.808,9.155,12.204,5635604.632,2021-08-15 23:59:59.999
49,12.221,15.3,10.901,14.363,7856245.755,2021-08-22 23:59:59.999
50,14.385,15.303,11.688,13.174,3593776.001,2021-08-29 23:59:59.999
51,13.168,14.45,12.115,14.119,2777647.745,2021-09-05 23:59:59.999
52,14.112,14.865,9.656,10.818,4335531.429,2021-09-12 23:59:59.999
53,10.813,13.49,9.85,11.04,5416192.6,2021-09-19 23:59:59.999
54,11.04,11.5,8.501,9.4,4804046.75,2021-09-26 23:59:59.999
55,9.369,10.519,8.513,10.147,2509957.1,2021-10-03 23:59:59.999
56,10.156,11.959,9.42,10.223,4364126.4,2021-10-10 23:59:59.999
57,10.212,11.9,9.487,10.559,3164271.6,2021-10-17 23:59:59.999
58,10.559,14.698,10.218,11.445,9895076.7,2021-10-24 23:59:59.999
59,11.447,12.354,10.619,11.363,2691544.6,2021-10-31 23:59:59.999
60,11.363,21.9,11.0,16.081,9575615.137,2021-11-07 23:59:59.999
61,16.099,20.99,13.853,16.629,21071553.8,2021-11-14 23:59:59.999
62,16.612,23.39,16.115,16.281,15153679.905,2021-11-21 23:59:59.999
63,16.278,16.298,12.632,13.872,5757150.7,2021-11-28 23:59:59.999
64,13.87,14.142,9.054,10.214,2983090.1,2021-12-05 23:59:59.999
65,10.249,11.815,9.204,10.064,2347401.2,2021-12-12 23:59:59.999
66,10.054,10.112,8.564,9.092,2709958.5,2021-12-19 23:59:59.999
67,9.077,10.836,8.303,10.414,3514902.6,2021-12-26 23:59:59.999
68,10.389,11.316,8.884,9.488,2712494.3,2022-01-02 23:59:59.999
69,9.489,12.806,8.688,8.968,13187535.2,2022-01-09 23:59:59.999
70,8.98,9.165,8.078,8.393,2425464.1,2022-01-16 23:59:59.999
71,8.401,8.757,5.734,6.386,3272758.449,2022-01-23 23:59:59.999
72,6.386,6.386,5.2,5.903,1669913.184,2022-01-30 23:59:59.999
73,5.908,6.99,5.364,6.443,2102333.9,2022-02-06 23:59:59.999
74,6.445,6.898,5.84,6.041,1714783.0,2022-02-13 23:59:59.999
75,6.005,6.786,5.186,5.356,1406299.4,2022-02-20 23:59:59.999
76,5.359,5.694,4.326,4.777,2672942.7,2022-02-27 23:59:59.999
77,4.786,13.3,4.657,8.403,61341760.0,2022-03-06 23:59:59.999
78,8.404,9.36,7.033,7.335,15089847.2,2022-03-13 23:59:59.999
79,7.336,8.813,7.252,7.574,9865343.3,2022-03-20 23:59:59.999
80,7.574,8.349,7.365,7.939,9855787.2,2022-03-27 23:59:59.999
81,7.933,8.88,7.594,8.243,8070132.1,2022-04-03 23:59:59.999
82,8.244,8.393,6.749,6.993,6130032.8,2022-04-10 23:59:59.999
83,6.987,7.084,6.063,6.164,4268440.9,2022-04-17 23:59:59.999
84,6.158,6.82,5.941,6.073,6188765.0,2022-04-24 23:59:59.999
85,6.073,6.856,5.129,5.414,9506277.7,2022-05-01 23:59:59.999
86,5.409,6.0,5.029,5.326,11346872.3,2022-05-08 23:59:59.999
87,5.328,5.384,2.173,3.134,11493255.0,2022-05-15 23:59:59.999
88,3.134,4.22,2.851,3.518,14199256.1,2022-05-22 23:59:59.999
89,3.519,3.885,2.903,3.191,6178858.2,2022-05-29 23:59:59.999
90,3.192,3.568,2.938,3.082,3584716.5,2022-06-05 23:59:59.999
