,Open,High,Low,Close,Volume,Close time
0,1.3,6.59,1.3,3.3164,17228676.08,2020-11-22 23:59:59.999
1,3.2984,5.5799,2.7,4.8174,10699990.89,2020-11-29 23:59:59.999
2,4.8101,7.7,3.7284,7.1225,8886834.46,2020-12-06 23:59:59.999
3,7.1549,15.4,6.9454,14.0644,21843022.53,2020-12-13 23:59:59.999
4,14.0501,14.1808,7.77,8.0115,8310743.51,2020-12-20 23:59:59.999
5,8.0115,10.9991,6.1908,6.6153,8735617.34,2020-12-27 23:59:59.999
6,6.6153,8.8345,4.7174,6.1816,7802992.13,2021-01-03 23:59:59.999
7,6.1942,7.77,5.15,6.22,6051257.19,2021-01-10 23:59:59.999
8,6.2015,7.25,4.85,6.795,4155941.65,2021-01-17 23:59:59.999
9,6.7737,9.48,6.513,7.6999,6073902.56,2021-01-24 23:59:59.999
10,7.6719,11.2,7.48,9.7927,6756382.44,2021-01-31 23:59:59.999
11,9.7927,22.3,9.2047,18.9378,6985322.72,2021-02-07 23:59:59.999
12,18.9337,33.67,16.9268,23.1596,4797487.53,2021-02-14 23:59:59.999
13,23.1807,32.3224,18.519,24.3215,4840030.73,2021-02-21 23:59:59.999
14,24.3302,39.1817,16.5,35.7586,11899321.6,2021-02-28 23:59:59.999
15,35.8463,44.3992,28.0,34.2854,4492826.66,2021-03-07 23:59:59.999
16,34.2853,39.0,31.38,35.1934,2903121.24,2021-03-14 23:59:59.999
17,35.1871,36.8071,26.679,27.8182,2158235.61,2021-03-21 23:59:59.999
18,27.8398,30.0075,21.01,27.9607,1925904.2,2021-03-28 23:59:59.999
19,27.9802,32.8519,23.5732,26.5461,2133066.7,2021-04-04 23:59:59.999
20,26.6202,31.6918,24.16,26.5537,4744992.96,2021-04-11 23:59:59.999
21,26.5495,36.3,17.6749,25.4758,5443804.8,2021-04-18 23:59:59.999
22,25.4755,27.0,17.82,19.014,2530878.247,2021-04-25 23:59:59.999
23,19.083,27.6,18.813,24.35,2168326.176,2021-05-02 23:59:59.999
24,24.358,31.785,22.295,24.068,3267025.865,2021-05-09 23:59:59.999
25,24.047,25.035,17.8,18.908,2465557.354,2021-05-16 23:59:59.999
26,18.915,18.955,5.632,10.877,9071057.027,2021-05-23 23:59:59.999
27,10.851,14.464,8.205,9.182,13652291.104,2021-05-30 23:59:59.999
28,9.173,11.855,8.676,9.511,4040440.077,2021-06-06 23:59:59.999
29,9.538,10.207,7.418,8.682,4971683.391,2021-06-13 23:59:59.999
30,8.686,10.892,7.346,8.008,4232496.779,2021-06-20 23:59:59.999
31,8.02,8.058,5.311,6.053,3366086.319,2021-06-27 23:59:59.999
32,6.068,7.323,5.642,6.233,4301452.355,2021-07-04 23:59:59.999
33,6.231,7.542,5.599,6.771,10004048.685,2021-07-11 23:59:59.999
34,6.777,9.7,6.181,6.262,12127908.703,2021-07-18 23:59:59.999
35,6.263,9.99,4.869,9.553,16116481.58,2021-07-25 23:59:59.999
36,9.563,10.989,7.931,8.829,14339978.803,2021-08-01 23:59:59.999
37,8.829,11.999,8.125,10.404,10159044.663,2021-08-08 23:59:59.999
38,10.414,14.169,10.075,13.637,10533668.106,2021-08-15 23:59:59.999
39,13.637,14.59,11.5,14.233,12493700.252,2021-08-22 23:59:59.999
40,14.233,15.5,11.515,13.125,12655549.145,2021-08-29 23:59:59.999
41,13.125,14.766,12.073,14.703,9129746.276,2021-09-05 23:59:59.999
42,14.703,15.3,9.074,11.24,18610390.372,2021-09-12 23:59:59.999
43,11.248,11.925,9.75,10.416,6648932.3,2021-09-19 23:59:59.999
44,10.415,10.443,7.674,8.394,7260249.968,2021-09-26 23:59:59.999
45,8.384,9.712,7.582,9.331,6555563.7,2021-10-03 23:59:59.999
46,9.329,11.0,8.801,9.53,7473326.6,2021-10-10 23:59:59.999
47,9.524,12.3,8.595,11.129,8890832.8,2021-10-17 23:59:59.999
48,11.13,11.774,10.605,11.037,4828772.7,2021-10-24 23:59:59.999
49,11.065,13.2,10.224,11.54,5363863.6,2021-10-31 23:59:59.999
50,11.546,13.79,11.168,12.055,4732769.2,2021-11-07 23:59:59.999
51,12.083,13.14,10.01,12.211,6391908.1,2021-11-14 23:59:59.999
52,12.223,12.6,8.78,10.844,6900787.6,2021-11-21 23:59:59.999
53,10.873,11.432,9.418,10.803,4778543.3,2021-11-28 23:59:59.999
54,10.795,13.45,6.5,7.577,15038683.353,2021-12-05 23:59:59.999
55,7.58,10.541,6.717,9.718,13429950.9,2021-12-12 23:59:59.999
56,9.721,10.25,8.04,8.717,10073913.5,2021-12-19 23:59:59.999
57,8.707,10.148,8.079,8.913,6305868.5,2021-12-26 23:59:59.999
58,8.912,9.211,7.621,8.648,5902259.6,2022-01-02 23:59:59.999
59,8.636,9.324,6.71,7.265,7884984.7,2022-01-09 23:59:59.999
60,7.255,8.32,6.56,7.384,7222653.8,2022-01-16 23:59:59.999
61,7.381,7.697,4.517,5.209,9541145.621,2022-01-23 23:59:59.999
62,5.192,6.85,4.279,5.053,21383554.6,2022-01-30 23:59:59.999
63,5.043,6.041,4.768,5.906,8366688.4,2022-02-06 23:59:59.999
64,5.907,6.208,4.731,4.966,9668407.1,2022-02-13 23:59:59.999
65,4.974,5.89,4.677,4.729,10136828.5,2022-02-20 23:59:59.999
66,4.734,5.581,3.688,5.355,11314395.875,2022-02-27 23:59:59.999
67,5.361,6.789,4.851,5.11,19038202.3,2022-03-06 23:59:59.999
68,5.11,6.284,4.588,4.638,14330356.3,2022-03-13 23:59:59.999
69,4.64,5.439,4.477,5.199,9472036.4,2022-03-20 23:59:59.999
70,5.202,6.132,5.01,6.073,8642308.3,2022-03-27 23:59:59.999
71,6.075,7.423,5.702,6.992,16923798.3,2022-04-03 23:59:59.999
72,6.994,6.994,5.289,5.402,12749530.2,2022-04-10 23:59:59.999
73,5.406,5.461,4.688,4.785,9961738.5,2022-04-17 23:59:59.999
74,4.785,5.446,4.583,4.786,9560765.7,2022-04-24 23:59:59.999
75,4.785,4.829,3.678,4.112,11505203.9,2022-05-01 23:59:59.999
76,4.108,4.63,3.6,3.707,12515790.4,2022-05-08 23:59:59.999
77,3.716,3.838,1.322,2.243,31537036.236,2022-05-15 23:59:59.999
78,2.242,2.58,1.879,2.449,18809900.0,2022-05-22 23:59:59.999
79,2.443,3.455,1.849,3.209,27859292.5,2022-05-29 23:59:59.999
80,3.212,3.699,2.447,2.476,22891907.2,2022-06-05 23:59:59.999
0,2.477,41.794,2.466,5.272,144958647.875,2022-06-12 23:59:59.999000
