,Open,High,Low,Close,Volume,Close time
0,1.0139,1.0305,1.0002,1.0085,1351420.1,2018-12-16 23:59:59.999
1,1.011,1.0121,0.9808,0.9966,25082259.29,2018-12-23 23:59:59.999
2,0.9966,0.9995,0.9809,0.9933,22389358.63,2018-12-30 23:59:59.999
3,0.9932,1.0043,0.9832,0.9885,16200360.66,2019-01-06 23:59:59.999
4,0.9884,0.9939,0.9728,0.9902,24514894.97,2019-01-13 23:59:59.999
5,0.9902,1.002,0.986,1.0006,18604913.47,2019-01-20 23:59:59.999
6,1.0006,1.0075,0.9969,1.0064,13424499.61,2019-01-27 23:59:59.999
7,1.0062,1.014,1.0,1.0132,16519454.08,2019-02-03 23:59:59.999
8,1.0123,10.11,1.004,1.0089,12242894.98,2019-02-10 23:59:59.999
9,1.0078,1.0165,1.0066,1.0123,11523252.6,2019-02-17 23:59:59.999
10,1.0126,1.0215,1.0002,1.0035,22207717.79,2019-02-24 23:59:59.999
11,1.0035,1.0094,1.0011,1.0058,13685527.8,2019-03-03 23:59:59.999
12,1.0058,1.0079,1.001,1.0048,16090039.86,2019-03-10 23:59:59.999
13,1.0055,1.0105,1.0002,1.0042,16367180.01,2019-03-17 23:59:59.999
14,1.0042,1.007,1.0,1.005,15866067.86,2019-03-24 23:59:59.999
15,1.005,1.0089,1.0008,1.0025,14734248.5,2019-03-31 23:59:59.999
16,1.0025,1.0049,0.9731,0.9954,38303273.86,2019-04-07 23:59:59.999
17,0.9964,0.9995,0.981,0.9933,25491008.34,2019-04-14 23:59:59.999
18,0.9933,1.001,0.9912,0.9921,25079457.36,2019-04-21 23:59:59.999
19,0.9921,1.0799,0.9915,1.0302,53069679.95,2019-04-28 23:59:59.999
20,1.0302,1.0309,1.0061,1.0097,46926937.1,2019-05-05 23:59:59.999
21,1.0102,1.0249,0.997,1.0041,58673377.88,2019-05-12 23:59:59.999
22,1.0041,1.0247,0.9887,0.9942,92509411.85,2019-05-19 23:59:59.999
23,0.9939,1.012,0.9852,0.9866,65571196.56,2019-05-26 23:59:59.999
24,0.987,1.01,0.9856,0.9984,71809903.08,2019-06-02 23:59:59.999
25,0.9985,1.01,0.9939,0.9988,57724750.73,2019-06-09 23:59:59.999
26,0.9987,1.0006,0.9925,0.9975,61330170.8,2019-06-16 23:59:59.999
27,0.9976,1.0137,0.99,1.0064,70208460.9,2019-06-23 23:59:59.999
28,1.0064,1.0498,0.9983,1.0101,102251642.93,2019-06-30 23:59:59.999
29,1.0098,1.0136,0.9935,0.994,68336543.96,2019-07-07 23:59:59.999
30,0.994,1.007,0.9911,0.9996,96159308.26,2019-07-14 23:59:59.999
31,0.9996,1.0046,0.9951,1.0002,82359178.57,2019-07-21 23:59:59.999
32,1.0001,1.0067,0.9971,1.0006,53362234.56,2019-07-28 23:59:59.999
33,1.0006,1.0071,0.9953,0.9964,59273402.85,2019-08-04 23:59:59.999
34,0.9964,1.02,0.9955,1.0007,75490614.72,2019-08-11 23:59:59.999
35,1.0009,1.0073,0.9983,0.9991,52162222.66,2019-08-18 23:59:59.999
36,0.999,1.0041,0.9973,1.0001,47703392.28,2019-08-25 23:59:59.999
37,1.0001,1.0077,0.9971,0.9976,54074503.78,2019-09-01 23:59:59.999
38,0.9976,1.0026,0.9965,0.9988,67797232.79,2019-09-08 23:59:59.999
39,0.9985,1.0028,0.9972,0.9988,37232350.56,2019-09-15 23:59:59.999
40,0.9988,1.0049,0.9942,1.0002,71793244.54,2019-09-22 23:59:59.999
41,1.0001,1.0099,0.9879,0.9982,75351915.9,2019-09-29 23:59:59.999
42,0.9983,1.0008,0.9967,0.9997,64883363.26,2019-10-06 23:59:59.999
43,0.9997,1.0007,0.9966,0.9994,75572843.2,2019-10-13 23:59:59.999
