,Open,High,Low,Close,Volume,Close time
0,1.0,2.0,0.9993,0.9997,27725095.88,2021-09-12 23:59:59.999
1,0.9997,1.0003,0.9994,0.9996,15371692.69,2021-09-19 23:59:59.999
2,0.9996,1.0032,0.9991,0.9997,16740050.37,2021-09-26 23:59:59.999
3,0.9997,1.0002,0.9991,0.9993,15686701.29,2021-10-03 23:59:59.999
4,0.9991,1.09,0.9991,0.9998,20479849.93,2021-10-10 23:59:59.999
5,0.9996,1.0016,0.9995,1.0002,21187517.92,2021-10-17 23:59:59.999
6,1.0002,1.0017,0.9995,1.0001,9623719.62,2021-10-24 23:59:59.999
7,1.0001,1.0057,0.9985,0.9992,12604919.79,2021-10-31 23:59:59.999
8,0.9994,1.0053,0.9989,0.999,16557630.03,2021-11-07 23:59:59.999
9,0.999,1.0014,0.9982,0.9999,9702544.21,2021-11-14 23:59:59.999
10,0.9997,1.0001,0.9977,0.9991,15051610.72,2021-11-21 23:59:59.999
11,0.9991,1.0001,0.9988,0.9993,20130817.54,2021-11-28 23:59:59.999
12,0.9995,1.0019,0.9892,0.9985,11339570.23,2021-12-05 23:59:59.999
13,0.9987,1.0027,0.9985,0.9995,10436506.48,2021-12-12 23:59:59.999
14,0.9995,1.01,0.9993,0.9995,11683357.51,2021-12-19 23:59:59.999
15,0.9995,1.0022,0.9995,0.9996,11422401.32,2021-12-26 23:59:59.999
16,0.9996,1.0004,0.9995,1.0,12381360.74,2022-01-02 23:59:59.999
17,0.9999,1.0017,0.9999,1.0,18077302.95,2022-01-09 23:59:59.999
18,0.9999,1.0014,0.9994,0.9996,19193578.55,2022-01-16 23:59:59.999
19,0.9996,1.0002,0.9995,0.9997,16319432.58,2022-01-23 23:59:59.999
20,0.9997,1.0003,0.9995,0.9995,15899299.57,2022-01-30 23:59:59.999
21,0.9995,0.9997,0.9993,0.9995,7303286.4,2022-02-06 23:59:59.999
22,0.9995,0.9997,0.9992,0.9996,8632263.42,2022-02-13 23:59:59.999
23,0.9996,0.9998,0.9995,0.9996,10958532.06,2022-02-20 23:59:59.999
24,0.9996,0.9998,0.9993,0.9996,65493126.65,2022-02-27 23:59:59.999
25,0.9996,1.0002,0.9994,0.9998,53671134.14,2022-03-06 23:59:59.999
26,1.0,1.0005,0.9995,0.9998,40237688.13,2022-03-13 23:59:59.999
27,0.9998,1.0,0.9992,0.9996,101672806.46,2022-03-20 23:59:59.999
28,0.9995,1.0,0.9992,0.9997,25616657.66,2022-03-27 23:59:59.999
29,0.9997,0.9999,0.9994,0.9996,11710972.35,2022-04-03 23:59:59.999
30,0.9997,1.0002,0.9996,0.9998,18428818.27,2022-04-10 23:59:59.999
31,0.9998,1.0002,0.9996,0.9997,15854223.35,2022-04-17 23:59:59.999
32,0.9997,1.0001,0.9996,0.9998,9948837.65,2022-04-24 23:59:59.999
33,0.9998,1.001,0.9996,0.9999,14337966.64,2022-05-01 23:59:59.999
34,1.0,1.0004,0.9999,1.0003,15505399.26,2022-05-08 23:59:59.999
35,1.0003,1.1888,0.9999,1.0015,198235731.1,2022-05-15 23:59:59.999
36,1.002,1.0033,1.0005,1.0012,16160645.16,2022-05-22 23:59:59.999
37,1.0012,1.0015,1.0009,1.001,10253183.27,2022-05-29 23:59:59.999
38,1.0011,1.0012,1.0006,1.0008,14688738.85,2022-06-05 23:59:59.999
0,1.0009,1.0019,1.0005,1.0013,14419730.28,2022-06-12 23:59:59.999000
