,Open,High,Low,Close,Volume,Close time
0,0.1371,0.29,0.133,0.1397,60165825.62,2020-10-04 23:59:59.999
1,0.1397,0.1495,0.107,0.1358,17275155.1,2020-10-11 23:59:59.999
2,0.1355,0.1463,0.1201,0.129,11329528.79,2020-10-18 23:59:59.999
3,0.1299,0.1305,0.0945,0.0985,21110264.98,2020-10-25 23:59:59.999
4,0.0989,0.11,0.0831,0.0939,17284544.31,2020-11-01 23:59:59.999
5,0.0942,0.147,0.081,0.1393,41728115.33,2020-11-08 23:59:59.999
6,0.1396,0.1584,0.112,0.1289,36632207.3,2020-11-15 23:59:59.999
7,0.1291,0.1633,0.1219,0.153,67815425.91,2020-11-22 23:59:59.999
8,0.153,0.1745,0.1012,0.1221,79356434.01,2020-11-29 23:59:59.999
9,0.122,0.1385,0.108,0.1156,48094515.6,2020-12-06 23:59:59.999
10,0.1155,0.1506,0.0978,0.117,70492744.89,2020-12-13 23:59:59.999
11,0.1172,0.16,0.1114,0.1366,48391471.36,2020-12-20 23:59:59.999
12,0.1366,0.1428,0.101,0.1194,32724711.22,2020-12-27 23:59:59.999
13,0.1194,0.152,0.1106,0.1462,46569872.45,2021-01-03 23:59:59.999
14,0.1467,0.2689,0.1315,0.1881,88212092.68,2021-01-10 23:59:59.999
15,0.1892,0.25,0.144,0.2419,66930645.8,2021-01-17 23:59:59.999
16,0.2419,0.2423,0.174,0.2209,37558601.62,2021-01-24 23:59:59.999
17,0.2199,0.2808,0.1985,0.2479,71954698.47,2021-01-31 23:59:59.999
18,0.2475,0.33,0.2367,0.2905,61215431.47,2021-02-07 23:59:59.999
19,0.2898,0.57,0.2796,0.4868,180719143.93,2021-02-14 23:59:59.999
20,0.4858,0.5473,0.392,0.425,82551742.83,2021-02-21 23:59:59.999
21,0.425,0.4298,0.2658,0.3157,60795977.61,2021-02-28 23:59:59.999
22,0.317,0.44,0.3128,0.4083,58324054.46,2021-03-07 23:59:59.999
23,0.408,0.7,0.3765,0.6676,112460942.18,2021-03-14 23:59:59.999
24,0.6676,0.74,0.5521,0.5752,107845197.71,2021-03-21 23:59:59.999
25,0.5752,0.69,0.4696,0.6061,110419261.2,2021-03-28 23:59:59.999
26,0.6061,0.6887,0.57,0.6325,68461326.07,2021-04-04 23:59:59.999
