,Open,High,Low,Close,Volume,Close time
0,3.781,5.818,1.05,3.926,22427015.3,2021-11-28 23:59:59.999
1,3.926,5.499,3.458,3.961,16168215.3,2021-12-05 23:59:59.999
2,3.951,4.288,3.314,3.668,4438420.5,2021-12-12 23:59:59.999
3,3.668,3.685,3.006,3.066,3518936.6,2021-12-19 23:59:59.999
4,3.064,3.408,2.772,3.187,4031199.8,2021-12-26 23:59:59.999
5,3.175,3.856,2.816,3.042,7263319.9,2022-01-02 23:59:59.999
6,3.042,3.134,2.434,2.622,4150947.7,2022-01-09 23:59:59.999
7,2.62,2.753,2.366,2.487,3906679.3,2022-01-16 23:59:59.999
8,2.489,2.544,1.66,1.944,10975148.6,2022-01-23 23:59:59.999
9,1.938,2.08,1.589,1.758,5591220.7,2022-01-30 23:59:59.999
10,1.758,2.165,1.6,2.029,7092207.4,2022-02-06 23:59:59.999
11,2.028,2.257,1.812,1.933,4992817.9,2022-02-13 23:59:59.999
12,1.932,2.047,1.549,1.581,6173545.6,2022-02-20 23:59:59.999
13,1.583,1.795,1.303,1.626,10198904.2,2022-02-27 23:59:59.999
14,1.629,1.94,1.582,1.586,10706522.6,2022-03-06 23:59:59.999
15,1.586,1.7,1.465,1.571,4469504.1,2022-03-13 23:59:59.999
16,1.571,1.84,1.546,1.765,2901589.9,2022-03-20 23:59:59.999
17,1.766,2.345,1.722,2.132,5443077.7,2022-03-27 23:59:59.999
18,2.132,2.231,1.745,1.779,9826693.6,2022-04-03 23:59:59.999
19,1.78,1.807,1.54,1.571,7303396.5,2022-04-10 23:59:59.999
20,1.569,1.649,1.384,1.428,7277840.6,2022-04-17 23:59:59.999
21,1.427,1.522,1.367,1.38,5151925.8,2022-04-24 23:59:59.999
22,1.382,1.444,1.06,1.18,10221071.6,2022-05-01 23:59:59.999
23,1.181,1.308,1.043,1.08,6974099.4,2022-05-08 23:59:59.999
24,1.081,1.095,0.589,0.872,10390703.4,2022-05-15 23:59:59.999
25,0.876,0.951,0.735,0.791,7586656.1,2022-05-22 23:59:59.999
26,0.789,0.915,0.721,0.762,7390758.9,2022-05-29 23:59:59.999
27,0.762,1.392,0.758,0.877,46325284.3,2022-06-05 23:59:59.999
0,0.88,0.936,0.675,0.678,5792125.2,2022-06-12 23:59:59.999000
