,Open,High,Low,Close,Volume,Close time
0,1.0711,1.37,0.7722,1.0452,88189949.4,2021-09-12 23:59:59.999
1,1.0448,1.1743,0.84,0.9184,95118667.5,2021-09-19 23:59:59.999
2,0.9195,0.92,0.6672,0.7706,48397904.9,2021-09-26 23:59:59.999
3,0.7694,1.04,0.7321,0.8888,87097713.1,2021-10-03 23:59:59.999
4,0.889,1.42,0.8071,1.3091,166225906.0,2021-10-10 23:59:59.999
5,1.3091,1.3091,0.9225,1.0273,108856467.2,2021-10-17 23:59:59.999
6,1.0273,1.1898,1.001,1.0586,40088477.0,2021-10-24 23:59:59.999
7,1.0584,1.097,0.8798,0.982,42063487.7,2021-10-31 23:59:59.999
8,0.9804,1.2456,0.9295,1.009,50940324.1,2021-11-07 23:59:59.999
9,1.0087,1.147,0.9317,1.0567,38722044.0,2021-11-14 23:59:59.999
10,1.0569,1.0927,0.8415,0.9602,41503326.2,2021-11-21 23:59:59.999
11,0.9613,0.991,0.81,0.8647,31293631.1,2021-11-28 23:59:59.999
12,0.867,1.085,0.6205,0.913,89563318.7,2021-12-05 23:59:59.999
13,0.9132,1.3,0.7832,0.8375,137400885.8,2021-12-12 23:59:59.999
14,0.8376,0.8414,0.7,0.7408,29140520.3,2021-12-19 23:59:59.999
15,0.7415,0.93,0.692,0.8701,47473637.8,2021-12-26 23:59:59.999
16,0.8701,0.917,0.77,0.8463,24943980.4,2022-01-02 23:59:59.999
17,0.8455,0.9686,0.7085,0.7407,38041059.7,2022-01-09 23:59:59.999
18,0.7393,0.7683,0.6812,0.7443,17076980.8,2022-01-16 23:59:59.999
19,0.7453,0.7512,0.4042,0.4731,23089832.1,2022-01-23 23:59:59.999
20,0.4738,0.5445,0.4016,0.4877,29726669.3,2022-01-30 23:59:59.999
21,0.4877,0.58,0.4597,0.549,41905636.7,2022-02-06 23:59:59.999
22,0.548,0.5888,0.4706,0.495,30207389.5,2022-02-13 23:59:59.999
23,0.496,0.5195,0.3998,0.4132,19458885.1,2022-02-20 23:59:59.999
24,0.4131,0.4646,0.335,0.3709,34455126.6,2022-02-27 23:59:59.999
25,0.3706,0.4914,0.3672,0.4,45955807.5,2022-03-06 23:59:59.999
26,0.3992,0.4435,0.364,0.3669,26951305.9,2022-03-13 23:59:59.999
27,0.3666,0.6877,0.3636,0.4368,109003994.7,2022-03-20 23:59:59.999
28,0.4378,0.4858,0.4314,0.4851,28612938.8,2022-03-27 23:59:59.999
29,0.4853,0.6287,0.475,0.5584,39341135.4,2022-04-03 23:59:59.999
30,0.5586,0.628,0.4756,0.4763,35008744.6,2022-04-10 23:59:59.999
31,0.4763,0.4777,0.4112,0.4174,11163833.5,2022-04-17 23:59:59.999
32,0.4168,0.5236,0.3952,0.4206,46361075.2,2022-04-24 23:59:59.999
33,0.4214,0.44,0.3472,0.3704,16832125.5,2022-05-01 23:59:59.999
34,0.3701,0.3988,0.3069,0.3097,16831512.0,2022-05-08 23:59:59.999
35,0.3105,0.3148,0.1109,0.1806,43127223.5,2022-05-15 23:59:59.999
36,0.1802,0.2353,0.1602,0.1919,70563575.0,2022-05-22 23:59:59.999
37,0.1915,0.2445,0.1764,0.197,47774227.2,2022-05-29 23:59:59.999
38,0.1972,0.2234,0.1855,0.2096,29711322.8,2022-06-05 23:59:59.999
