,Open,High,Low,Close,Volume,Close time
0,0.02083,0.024,0.01267,0.0135,99892151.8,2019-12-15 23:59:59.999
1,0.01349,0.01749,0.0108,0.01121,83424772.0,2019-12-22 23:59:59.999
2,0.01129,0.0135,0.01018,0.0113,80008601.5,2019-12-29 23:59:59.999
3,0.01129,0.01364,0.01017,0.01109,33831149.9,2020-01-05 23:59:59.999
4,0.01115,0.0123,0.0106,0.0117,21045938.4,2020-01-12 23:59:59.999
5,0.01169,0.01319,0.01114,0.01216,17181611.5,2020-01-19 23:59:59.999
6,0.01216,0.0135,0.01141,0.01216,14493531.6,2020-01-26 23:59:59.999
7,0.01214,0.01373,0.01187,0.01259,12432116.8,2020-02-02 23:59:59.999
8,0.01259,0.0165,0.01238,0.01619,31649387.2,2020-02-09 23:59:59.999
9,0.01623,0.035,0.01122,0.01729,278294335.4,2020-02-16 23:59:59.999
10,0.01729,0.01844,0.01469,0.01678,32802225.9,2020-02-23 23:59:59.999
11,0.01677,0.01725,0.01324,0.01448,24424165.6,2020-03-01 23:59:59.999
12,0.01435,0.01899,0.01424,0.01424,30771160.5,2020-03-08 23:59:59.999
13,0.0142,0.01436,0.0043,0.00735,30423589.2,2020-03-15 23:59:59.999
14,0.00729,0.01164,0.00558,0.00801,60273229.1,2020-03-22 23:59:59.999
15,0.00795,0.0107,0.00751,0.00822,36540414.2,2020-03-29 23:59:59.999
16,0.00814,0.0105,0.00814,0.00978,37339881.8,2020-04-05 23:59:59.999
17,0.00972,0.013,0.0096,0.01035,42821471.4,2020-04-12 23:59:59.999
18,0.01028,0.01267,0.00937,0.01061,50147776.2,2020-04-19 23:59:59.999
19,0.01056,0.01189,0.01,0.01156,24598815.1,2020-04-26 23:59:59.999
20,0.01156,0.0137,0.01134,0.01187,57230434.6,2020-05-03 23:59:59.999
21,0.01193,0.01223,0.00961,0.01113,25815920.6,2020-05-10 23:59:59.999
22,0.01119,0.01235,0.01072,0.0119,27682594.9,2020-05-17 23:59:59.999
23,0.01197,0.01444,0.01177,0.01316,69675884.0,2020-05-24 23:59:59.999
24,0.01316,0.0156,0.0127,0.01335,76498663.5,2020-05-31 23:59:59.999
25,0.01329,0.01609,0.013,0.0147,89943508.3,2020-06-07 23:59:59.999
26,0.01463,0.01707,0.01137,0.01616,68147732.5,2020-06-14 23:59:59.999
27,0.01615,0.01879,0.01426,0.01733,67873951.7,2020-06-21 23:59:59.999
28,0.01733,0.0185,0.0128,0.01452,68758761.9,2020-06-28 23:59:59.999
29,0.01457,0.01602,0.01405,0.01446,35238651.8,2020-07-05 23:59:59.999
30,0.01445,0.01666,0.01444,0.01591,44455769.9,2020-07-12 23:59:59.999
31,0.01599,0.016,0.01361,0.01485,55004634.4,2020-07-19 23:59:59.999
32,0.01484,0.02588,0.0145,0.02533,303840393.9,2020-07-26 23:59:59.999
33,0.0252,0.02668,0.02021,0.02358,139887341.7,2020-08-02 23:59:59.999
34,0.02351,0.038,0.02286,0.03492,233610811.3,2020-08-09 23:59:59.999
35,0.03499,0.03788,0.03077,0.03297,142775026.9,2020-08-16 23:59:59.999
36,0.03291,0.03543,0.02569,0.03091,106369250.8,2020-08-23 23:59:59.999
37,0.03089,0.03199,0.0263,0.03156,74593688.9,2020-08-30 23:59:59.999
38,0.03156,0.0355,0.01612,0.01846,188788276.9,2020-09-06 23:59:59.999
39,0.01847,0.02224,0.01684,0.02012,65127999.7,2020-09-13 23:59:59.999
40,0.02008,0.02357,0.0167,0.01934,217472983.1,2020-09-20 23:59:59.999
41,0.0194,0.0206,0.01518,0.01788,69098311.3,2020-09-27 23:59:59.999
42,0.01791,0.01843,0.01547,0.01624,40414176.1,2020-10-04 23:59:59.999
43,0.01624,0.01772,0.01479,0.017,32952783.4,2020-10-11 23:59:59.999
44,0.01711,0.01841,0.01639,0.01733,20293796.6,2020-10-18 23:59:59.999
45,0.01737,0.01802,0.01643,0.01699,19476229.5,2020-10-25 23:59:59.999
46,0.0169,0.0173,0.01459,0.01653,59290159.6,2020-11-01 23:59:59.999
47,0.01653,0.01875,0.01515,0.01684,66048586.1,2020-11-08 23:59:59.999
48,0.01684,0.02109,0.01562,0.01655,125395246.5,2020-11-15 23:59:59.999
49,0.01654,0.01847,0.01486,0.01649,124126809.6,2020-11-22 23:59:59.999
50,0.01649,0.01855,0.0145,0.01594,104264693.1,2020-11-29 23:59:59.999
51,0.01604,0.01672,0.01491,0.01534,95798352.2,2020-12-06 23:59:59.999
52,0.01533,0.01656,0.013,0.01392,112166584.0,2020-12-13 23:59:59.999
53,0.01393,0.018,0.0135,0.01556,176181259.2,2020-12-20 23:59:59.999
54,0.01554,0.0175,0.0116,0.01363,106262565.6,2020-12-27 23:59:59.999
55,0.01382,0.01565,0.01242,0.01331,78286962.8,2021-01-03 23:59:59.999
56,0.01329,0.018,0.01214,0.01529,228329311.2,2021-01-10 23:59:59.999
57,0.01533,0.01539,0.01221,0.01486,228071073.9,2021-01-17 23:59:59.999
