,Open,High,Low,Close,Volume,Close time
0,0.5,0.5,0.2834,0.4174,24391412.54,2019-09-01 23:59:59.999
1,0.4163,0.433,0.2715,0.2809,23265586.57,2019-09-08 23:59:59.999
2,0.2806,0.295,0.2263,0.2474,10558113.35,2019-09-15 23:59:59.999
3,0.2486,0.282,0.2341,0.2561,4349564.62,2019-09-22 23:59:59.999
4,0.2564,0.2899,0.1702,0.1836,6641084.74,2019-09-29 23:59:59.999
5,0.1845,0.2124,0.1761,0.1898,2850283.24,2019-10-06 23:59:59.999
6,0.1901,0.2469,0.188,0.2057,4699823.0,2019-10-13 23:59:59.999
7,0.2043,0.2183,0.1844,0.1991,2090536.45,2019-10-20 23:59:59.999
8,0.1991,0.2488,0.1717,0.2288,3854564.26,2019-10-27 23:59:59.999
9,0.2289,0.279,0.2075,0.2232,3615611.16,2019-11-03 23:59:59.999
10,0.2232,0.2546,0.2095,0.2232,3930614.84,2019-11-10 23:59:59.999
11,0.2234,0.2659,0.2112,0.262,3301268.81,2019-11-17 23:59:59.999
12,0.263,0.2642,0.1771,0.1849,4899476.94,2019-11-24 23:59:59.999
13,0.1839,0.2264,0.17,0.1936,2855583.58,2019-12-01 23:59:59.999
14,0.1935,0.2011,0.1762,0.195,2788935.43,2019-12-08 23:59:59.999
15,0.1968,0.1976,0.17,0.1781,2537264.77,2019-12-15 23:59:59.999
16,0.1785,0.2057,0.1695,0.1773,10292929.01,2019-12-22 23:59:59.999
17,0.1777,0.1799,0.1694,0.172,3034103.29,2019-12-29 23:59:59.999
18,0.1706,0.1899,0.17,0.1759,5495916.7,2020-01-05 23:59:59.999
19,0.1758,0.1839,0.1658,0.1691,6370890.1,2020-01-12 23:59:59.999
20,0.1692,0.2037,0.166,0.1814,11971509.48,2020-01-19 23:59:59.999
21,0.1813,0.2024,0.1753,0.193,7498291.93,2020-01-26 23:59:59.999
22,0.1929,0.267,0.1847,0.2529,12290075.15,2020-02-02 23:59:59.999
23,0.2527,0.3659,0.2434,0.3124,26101105.32,2020-02-09 23:59:59.999
24,0.3124,0.3325,0.2445,0.2711,12461291.23,2020-02-16 23:59:59.999
25,0.2704,0.3087,0.2178,0.3002,7913726.67,2020-02-23 23:59:59.999
26,0.2999,0.3051,0.2102,0.2138,5921562.89,2020-03-01 23:59:59.999
27,0.2126,0.2674,0.1971,0.199,6248051.96,2020-03-08 23:59:59.999
28,0.2001,0.2082,0.0698,0.1149,6893631.23,2020-03-15 23:59:59.999
29,0.1134,0.1435,0.088,0.111,6613920.92,2020-03-22 23:59:59.999
30,0.1101,0.132,0.1055,0.1111,3495932.44,2020-03-29 23:59:59.999
31,0.1102,0.1421,0.1099,0.1299,8454561.18,2020-04-05 23:59:59.999
32,0.1299,0.1512,0.1241,0.128,5475055.49,2020-04-12 23:59:59.999
33,0.1287,0.146,0.1184,0.1394,4672679.9,2020-04-19 23:59:59.999
34,0.1393,0.168,0.1242,0.1593,9140230.45,2020-04-26 23:59:59.999
35,0.1602,0.1725,0.15,0.1616,6799971.81,2020-05-03 23:59:59.999
36,0.1616,0.17,0.13,0.1434,5738802.57,2020-05-10 23:59:59.999
37,0.1435,0.1819,0.1316,0.1701,8706809.22,2020-05-17 23:59:59.999
38,0.1701,0.189,0.1605,0.1739,10965074.44,2020-05-24 23:59:59.999
39,0.1734,0.2018,0.171,0.1828,10680734.42,2020-05-31 23:59:59.999
40,0.1827,0.2215,0.1805,0.2076,10056395.15,2020-06-07 23:59:59.999
41,0.2077,0.267,0.1886,0.2393,14478876.61,2020-06-14 23:59:59.999
