,Open,High,Low,Close,Volume,Close time
0,2.77,2.77,2.0,2.5071,272529.47,2019-01-20 23:59:59.999
1,2.5071,3.212,2.3747,2.6726,3635084.79,2019-01-27 23:59:59.999
2,2.6729,3.055,2.485,2.8211,5623429.53,2019-02-03 23:59:59.999
3,2.8184,2.87,2.4501,2.72,2686346.95,2019-02-10 23:59:59.999
4,2.72,2.9158,2.5501,2.6094,1687010.05,2019-02-17 23:59:59.999
5,2.6095,2.9364,2.55,2.637,2107913.86,2019-02-24 23:59:59.999
6,2.6463,2.75,2.5506,2.652,914378.09,2019-03-03 23:59:59.999
7,2.6483,2.8255,2.505,2.7304,1588967.32,2019-03-10 23:59:59.999
8,2.7372,2.85,2.5947,2.7351,1002310.95,2019-03-17 23:59:59.999
9,2.7333,2.8657,2.6532,2.7436,752702.86,2019-03-24 23:59:59.999
10,2.7436,2.8627,2.6217,2.7837,813786.27,2019-03-31 23:59:59.999
11,2.7837,3.2,2.7,2.9577,2442773.06,2019-04-07 23:59:59.999
12,2.9479,3.11,2.4529,2.7566,6436627.73,2019-04-14 23:59:59.999
13,2.7578,2.8001,2.5109,2.5893,2174856.78,2019-04-21 23:59:59.999
14,2.5893,2.6725,2.0749,2.0942,1574987.65,2019-04-28 23:59:59.999
15,2.0899,2.3099,1.9364,2.0846,1091610.56,2019-05-05 23:59:59.999
16,2.0857,2.5727,2.0306,2.4256,3517997.37,2019-05-12 23:59:59.999
17,2.4085,2.7554,2.1912,2.5318,5767468.16,2019-05-19 23:59:59.999
18,2.5491,3.5498,2.31,2.679,9350695.63,2019-05-26 23:59:59.999
19,2.6845,2.8708,2.4513,2.6546,4342555.51,2019-06-02 23:59:59.999
20,2.6546,2.6623,2.191,2.2735,3614066.16,2019-06-09 23:59:59.999
21,2.2751,2.575,2.23,2.4249,3340955.47,2019-06-16 23:59:59.999
22,2.4243,2.5189,2.3043,2.3636,2600906.08,2019-06-23 23:59:59.999
23,2.3702,2.4225,1.807,1.8208,5927210.88,2019-06-30 23:59:59.999
24,1.8309,2.275,1.7055,2.0511,9252427.24,2019-07-07 23:59:59.999
25,2.0506,2.0664,1.45,1.4768,8479981.56,2019-07-14 23:59:59.999
26,1.4768,1.66,1.3,1.4651,9781804.05,2019-07-21 23:59:59.999
27,1.4652,1.476,1.2845,1.3528,2439080.38,2019-07-28 23:59:59.999
28,1.3523,1.44,1.3136,1.3577,2123761.98,2019-08-04 23:59:59.999
29,1.3617,1.4475,1.2706,1.3226,2296597.13,2019-08-11 23:59:59.999
30,1.3204,1.3437,1.1498,1.26,1538025.04,2019-08-18 23:59:59.999
31,1.2596,1.355,1.1042,1.2536,2073851.09,2019-08-25 23:59:59.999
32,1.252,1.3236,1.0666,1.111,1148550.04,2019-09-01 23:59:59.999
33,1.1092,1.1636,1.0327,1.0654,859552.37,2019-09-08 23:59:59.999
34,1.065,1.1148,0.9966,1.0738,1242078.27,2019-09-15 23:59:59.999
35,1.0738,1.259,0.9709,1.102,2311735.52,2019-09-22 23:59:59.999
36,1.1022,1.2159,0.7674,0.8153,3597510.21,2019-09-29 23:59:59.999
37,0.8153,0.9325,0.7829,0.8713,2054845.74,2019-10-06 23:59:59.999
38,0.8717,0.9836,0.83,0.841,1930491.92,2019-10-13 23:59:59.999
39,0.8376,0.8969,0.7808,0.8122,2314305.22,2019-10-20 23:59:59.999
40,0.8082,0.8311,0.6905,0.7956,2861727.48,2019-10-27 23:59:59.999
41,0.7959,0.879,0.7608,0.7932,3044794.44,2019-11-03 23:59:59.999
42,0.7932,0.8399,0.746,0.7977,2300770.59,2019-11-10 23:59:59.999
43,0.801,0.805,0.7575,0.767,1120757.85,2019-11-17 23:59:59.999
44,0.7689,0.7812,0.5717,0.5762,1883780.99,2019-11-24 23:59:59.999
45,0.574,0.6375,0.26,0.6094,2408554.51,2019-12-01 23:59:59.999
46,0.6095,0.6126,0.5488,0.5807,1866831.28,2019-12-08 23:59:59.999
