,Open,High,Low,Close,Volume,Close time
0,0.1852,0.612,0.1852,0.3626,1587981432.0,2021-08-29 23:59:59.999
1,0.3626,0.38,0.328,0.3611,315739136.0,2021-09-05 23:59:59.999
2,0.3606,0.3641,0.2324,0.3096,237072679.0,2021-09-12 23:59:59.999
3,0.3092,0.31,0.2675,0.2728,127971143.0,2021-09-19 23:59:59.999
4,0.2728,0.2808,0.1925,0.2159,194456561.0,2021-09-26 23:59:59.999
5,0.2157,0.3183,0.19,0.294,495691166.0,2021-10-03 23:59:59.999
6,0.2942,0.35,0.2714,0.2745,250966485.0,2021-10-10 23:59:59.999
7,0.2739,0.2938,0.2537,0.2757,195884490.0,2021-10-17 23:59:59.999
8,0.276,0.3332,0.2699,0.3126,407300107.0,2021-10-24 23:59:59.999
9,0.3125,0.6288,0.2811,0.3923,1174367452.0,2021-10-31 23:59:59.999
10,0.392,0.6,0.3789,0.5093,1053652798.0,2021-11-07 23:59:59.999
11,0.5096,0.7999,0.4705,0.7971,937636863.0,2021-11-14 23:59:59.999
12,0.7971,0.9835,0.7006,0.796,1562342282.0,2021-11-21 23:59:59.999
13,0.7963,0.958,0.62,0.7807,815417145.0,2021-11-28 23:59:59.999
14,0.78,0.7939,0.3938,0.4669,457394316.0,2021-12-05 23:59:59.999
15,0.4669,0.743,0.4034,0.5278,945796540.0,2021-12-12 23:59:59.999
16,0.5283,0.5305,0.4163,0.4691,267902910.0,2021-12-19 23:59:59.999
17,0.4687,0.526,0.4257,0.5041,182102162.0,2021-12-26 23:59:59.999
18,0.5035,0.525,0.432,0.4979,194934336.0,2022-01-02 23:59:59.999
19,0.4974,0.51,0.3958,0.4188,174961809.0,2022-01-09 23:59:59.999
20,0.4188,0.423,0.369,0.4112,155803505.0,2022-01-16 23:59:59.999
21,0.4112,0.4136,0.2328,0.2937,236123536.0,2022-01-23 23:59:59.999
22,0.2939,0.344,0.2396,0.3297,266850444.0,2022-01-30 23:59:59.999
23,0.3301,0.3846,0.3092,0.3839,197230275.0,2022-02-06 23:59:59.999
24,0.3837,0.3911,0.319,0.326,182025497.0,2022-02-13 23:59:59.999
25,0.3265,0.375,0.2875,0.2921,207933418.0,2022-02-20 23:59:59.999
26,0.2921,0.3129,0.2417,0.2832,193717607.0,2022-02-27 23:59:59.999
27,0.2833,0.3234,0.2751,0.2802,136428909.0,2022-03-06 23:59:59.999
28,0.2802,0.3123,0.2643,0.2654,163109855.0,2022-03-13 23:59:59.999
29,0.265,0.2915,0.26,0.2846,85121981.0,2022-03-20 23:59:59.999
30,0.2845,0.3752,0.2771,0.3498,198811317.0,2022-03-27 23:59:59.999
31,0.3499,0.395,0.3317,0.3707,254718271.0,2022-04-03 23:59:59.999
32,0.3707,0.3856,0.2901,0.2916,149542577.0,2022-04-10 23:59:59.999
33,0.2915,0.2931,0.259,0.2642,135277087.0,2022-04-17 23:59:59.999
34,0.2642,0.2905,0.2518,0.2735,119186041.0,2022-04-24 23:59:59.999
35,0.2735,0.2748,0.2048,0.2219,99269881.0,2022-05-01 23:59:59.999
36,0.2219,0.2328,0.1756,0.1772,131620365.0,2022-05-08 23:59:59.999
37,0.1773,0.1798,0.0801,0.1371,318543861.0,2022-05-15 23:59:59.999
38,0.1371,0.1445,0.1109,0.1413,169878402.0,2022-05-22 23:59:59.999
39,0.1413,0.1425,0.1062,0.112,184621794.0,2022-05-29 23:59:59.999
40,0.112,0.184,0.1104,0.1313,376244859.0,2022-06-05 23:59:59.999
0,0.1314,0.1381,0.0934,0.0952,120348597.0,2022-06-12 23:59:59.999000
