,Open,High,Low,Close,Volume,Close time
0,0.0004123,0.000948,0.0003556,0.0003707,121189275073.0,2019-08-04 23:59:59.999
1,0.0003709,0.0003859,0.000282,0.0003048,258660411198.0,2019-08-11 23:59:59.999
2,0.0003044,0.0004347,0.0003031,0.0003413,101984657540.0,2019-08-18 23:59:59.999
3,0.0003414,0.000352,0.0002975,0.0003149,31318563320.0,2019-08-25 23:59:59.999
4,0.0003138,0.000364,0.0002934,0.000306,223265340430.0,2019-09-01 23:59:59.999
5,0.000306,0.0003216,0.000242,0.0002497,152711959376.0,2019-09-08 23:59:59.999
6,0.0002497,0.0002525,0.0002085,0.0002251,95313376961.0,2019-09-15 23:59:59.999
7,0.0002249,0.0002539,0.0002174,0.0002327,86561012285.0,2019-09-22 23:59:59.999
8,0.0002327,0.0002381,0.0001563,0.000166,88474546252.0,2019-09-29 23:59:59.999
9,0.000166,0.0001699,0.0001346,0.0001362,74666435290.0,2019-10-06 23:59:59.999
10,0.0001362,0.000158,0.0001341,0.0001508,52830313129.0,2019-10-13 23:59:59.999
11,0.0001507,0.0001699,0.0001289,0.0001427,57742734473.0,2019-10-20 23:59:59.999
12,0.0001427,0.0001565,0.0001198,0.0001526,54247631371.0,2019-10-27 23:59:59.999
13,0.0001527,0.000236,0.0001478,0.0001814,72292712652.0,2019-11-03 23:59:59.999
14,0.0001814,0.00021,0.0001661,0.0001875,57760744843.0,2019-11-10 23:59:59.999
15,0.0001875,0.0001875,0.0001706,0.0001717,38671329706.0,2019-11-17 23:59:59.999
16,0.0001717,0.0001719,0.0001122,0.0001129,34492833597.0,2019-11-24 23:59:59.999
17,0.0001129,0.0001215,9.69e-05,0.000103,36427351447.0,2019-12-01 23:59:59.999
18,0.000103,0.0001091,9.71e-05,0.0001078,44762730137.0,2019-12-08 23:59:59.999
19,0.0001078,0.0001097,9.07e-05,9.6e-05,190820495283.0,2019-12-15 23:59:59.999
20,9.61e-05,0.0001084,9.2e-05,9.71e-05,262583541454.0,2019-12-22 23:59:59.999
21,9.71e-05,9.97e-05,9e-05,9.3e-05,510104563780.0,2019-12-29 23:59:59.999
22,9.3e-05,9.65e-05,8.71e-05,9.23e-05,310679909824.0,2020-01-05 23:59:59.999
23,9.23e-05,9.6e-05,8.81e-05,9.28e-05,184993909986.0,2020-01-12 23:59:59.999
24,9.29e-05,0.0001177,9.04e-05,9.59e-05,161801819095.0,2020-01-19 23:59:59.999
25,9.6e-05,0.0001065,9.59e-05,0.0001035,154661893021.0,2020-01-26 23:59:59.999
26,0.0001037,0.000116,0.0001,0.0001136,149805036160.0,2020-02-02 23:59:59.999
27,0.0001137,0.0001299,0.0001067,0.0001243,103919514930.0,2020-02-09 23:59:59.999
28,0.0001244,0.0001431,0.0001098,0.0001166,67895999344.0,2020-02-16 23:59:59.999
29,0.000117,0.0001207,9.97e-05,0.0001125,37456210817.0,2020-02-23 23:59:59.999
30,0.0001126,0.0001133,8.56e-05,9.32e-05,48616079875.0,2020-03-01 23:59:59.999
