,Open,High,Low,Close,Volume,Close time
0,20.0,300.0,20.0,56.001,1300428.086,2020-09-20 23:59:59.999
1,56.0,58.0,21.0,21.773,682194.801,2020-09-27 23:59:59.999
2,21.773,30.56,14.02,19.484,1755363.42,2020-10-04 23:59:59.999
3,19.478,25.7,16.703,19.437,1500632.879,2020-10-11 23:59:59.999
4,19.387,20.0,15.52,16.297,623829.977,2020-10-18 23:59:59.999
5,16.298,18.337,11.44,12.298,801083.093,2020-10-25 23:59:59.999
6,12.295,12.316,7.048,9.154,1193082.13,2020-11-01 23:59:59.999
7,9.172,9.75,7.331,8.19,955716.941,2020-11-08 23:59:59.999
8,8.147,12.63,7.501,12.63,1311229.962,2020-11-15 23:59:59.999
9,12.63,14.88,10.35,10.96,1434693.886,2020-11-22 23:59:59.999
10,10.998,12.468,8.438,10.104,722566.956,2020-11-29 23:59:59.999
11,10.185,11.87,9.6,10.802,672377.194,2020-12-06 23:59:59.999
12,10.802,24.33,10.614,18.303,4215124.745,2020-12-13 23:59:59.999
13,18.226,22.818,14.334,18.002,2389449.617,2020-12-20 23:59:59.999
14,18.003,19.98,13.19,14.8,882938.464,2020-12-27 23:59:59.999
15,14.791,16.85,12.3,13.05,546135.301,2021-01-03 23:59:59.999
16,13.04,16.0,12.046,13.839,895736.815,2021-01-10 23:59:59.999
17,13.838,15.492,11.381,14.795,705678.863,2021-01-17 23:59:59.999
18,14.857,18.0,13.005,15.802,996377.902,2021-01-24 23:59:59.999
19,15.802,17.5,13.503,16.248,958106.759,2021-01-31 23:59:59.999
20,16.247,25.6,15.551,21.973,1424173.153,2021-02-07 23:59:59.999
21,21.964,38.0,21.641,31.3,1112223.063,2021-02-14 23:59:59.999
22,31.265,37.88,25.692,33.651,884017.921,2021-02-21 23:59:59.999
23,33.846,34.016,18.781,20.797,761339.456,2021-02-28 23:59:59.999
24,20.917,35.4,20.899,32.363,912379.529,2021-03-07 23:59:59.999
25,32.272,46.5,29.638,39.63,1040248.523,2021-03-14 23:59:59.999
26,39.531,50.954,38.0,42.742,917602.163,2021-03-21 23:59:59.999
27,42.607,66.329,34.785,57.777,1583981.871,2021-03-28 23:59:59.999
28,57.828,74.0,51.413,68.428,1523227.409,2021-04-04 23:59:59.999
29,68.214,73.859,55.382,63.796,966547.277,2021-04-11 23:59:59.999
30,63.8,63.954,41.588,45.561,703531.483,2021-04-18 23:59:59.999
31,45.562,53.99,30.379,32.341,1090185.905,2021-04-25 23:59:59.999
32,32.301,49.913,32.223,45.958,960553.482,2021-05-02 23:59:59.999
33,45.958,53.5,40.777,42.74,898019.865,2021-05-09 23:59:59.999
34,42.721,44.5,31.3,34.643,1070692.159,2021-05-16 23:59:59.999
35,34.645,43.243,14.155,17.979,2266262.843,2021-05-23 23:59:59.999
36,18.002,27.0,17.128,18.927,829380.31,2021-05-30 23:59:59.999
37,18.838,27.089,17.536,21.592,1490478.034,2021-06-06 23:59:59.999
38,21.67,27.451,16.8,22.093,1543516.347,2021-06-13 23:59:59.999
39,22.113,25.5,17.644,19.442,672955.707,2021-06-20 23:59:59.999
40,19.498,19.637,11.5,13.899,1128254.175,2021-06-27 23:59:59.999
