,Open,High,Low,Close,Volume,Close time
0,48.88,78.5,45.523,75.422,508593.674,2020-08-30 23:59:59.999
1,75.458,76.144,30.579,38.96,777658.733,2020-09-06 23:59:59.999
2,39.042,61.0,34.174,52.3,686283.853,2020-09-13 23:59:59.999
3,52.298,72.763,38.0,39.965,918958.343,2020-09-20 23:59:59.999
4,39.828,43.284,34.02,38.608,331685.226,2020-09-27 23:59:59.999
5,38.615,41.087,30.153,32.165,194224.661,2020-10-04 23:59:59.999
6,32.15,34.789,26.216,32.545,184564.702,2020-10-11 23:59:59.999
7,32.499,40.15,29.0,29.643,115636.244,2020-10-18 23:59:59.999
8,29.674,30.136,24.701,27.495,129940.254,2020-10-25 23:59:59.999
9,27.377,28.206,20.63,21.899,125845.557,2020-11-01 23:59:59.999
10,21.967,24.057,17.961,21.426,366159.994,2020-11-08 23:59:59.999
11,21.522,24.92,20.954,23.311,423791.338,2020-11-15 23:59:59.999
12,23.375,28.6,22.6,27.048,442039.965,2020-11-22 23:59:59.999
13,27.048,28.881,18.276,22.099,614313.986,2020-11-29 23:59:59.999
14,22.065,23.989,20.01,22.751,323859.646,2020-12-06 23:59:59.999
15,22.755,23.3,17.493,19.54,290016.394,2020-12-13 23:59:59.999
16,19.545,19.555,15.793,17.881,1109339.318,2020-12-20 23:59:59.999
17,17.876,18.34,15.0,17.012,292611.154,2020-12-27 23:59:59.999
18,17.086,27.389,15.792,26.119,484306.328,2021-01-03 23:59:59.999
19,26.093,33.805,23.2,28.663,462814.824,2021-01-10 23:59:59.999
20,28.679,39.0,22.501,33.122,410939.774,2021-01-17 23:59:59.999
21,33.082,57.415,31.725,50.076,887328.558,2021-01-24 23:59:59.999
22,49.937,52.3,38.0,39.245,243847.071,2021-01-31 23:59:59.999
23,39.3,69.0,37.386,51.9,444618.617,2021-02-07 23:59:59.999
24,51.9,67.839,50.162,57.692,288857.802,2021-02-14 23:59:59.999
25,57.734,74.6,50.925,61.767,395684.275,2021-02-21 23:59:59.999
26,61.808,61.827,37.324,42.0,239658.201,2021-02-28 23:59:59.999
27,42.105,54.006,41.091,50.914,302216.127,2021-03-07 23:59:59.999
28,50.914,57.0,44.884,48.0,235701.346,2021-03-14 23:59:59.999
29,48.001,51.117,44.484,46.004,186214.489,2021-03-21 23:59:59.999
30,46.107,48.101,39.126,46.372,305702.156,2021-03-28 23:59:59.999
31,46.373,65.73,43.952,59.1,833791.167,2021-04-04 23:59:59.999
32,59.101,66.0,50.653,56.935,353466.16,2021-04-11 23:59:59.999
33,56.882,94.456,54.77,63.982,1214024.592,2021-04-18 23:59:59.999
34,63.982,87.228,58.82,73.158,1135831.216,2021-04-25 23:59:59.999
35,73.15,106.0,71.621,87.348,672153.943,2021-05-02 23:59:59.999
36,87.311,124.36,86.619,118.113,585797.956,2021-05-09 23:59:59.999
37,118.209,134.2,91.1,99.996,481137.366,2021-05-16 23:59:59.999
38,99.996,104.9,43.102,59.163,498930.271,2021-05-23 23:59:59.999
39,59.162,86.854,58.809,73.181,292379.554,2021-05-30 23:59:59.999
40,73.181,78.867,64.711,76.981,190418.181,2021-06-06 23:59:59.999
41,76.983,85.0,57.544,63.377,265206.112,2021-06-13 23:59:59.999
42,63.303,69.009,52.473,58.325,133187.597,2021-06-20 23:59:59.999
43,58.448,62.34,41.019,52.275,406034.909,2021-06-27 23:59:59.999
44,52.112,63.43,51.472,59.356,180031.462,2021-07-04 23:59:59.999
45,59.356,78.456,55.68,58.249,140407.036,2021-07-11 23:59:59.999
46,58.422,62.942,48.098,48.42,73725.387,2021-07-18 23:59:59.999
47,48.166,57.19,43.843,52.11,160014.776,2021-07-25 23:59:59.999
48,52.111,60.415,51.248,56.789,77922.909,2021-08-01 23:59:59.999
49,56.668,68.035,54.364,62.592,214520.876,2021-08-08 23:59:59.999
50,62.593,69.854,58.147,69.483,157556.914,2021-08-15 23:59:59.999
51,69.613,82.842,67.393,71.344,218299.863,2021-08-22 23:59:59.999
52,71.413,74.814,66.894,68.74,185529.685,2021-08-29 23:59:59.999
53,68.67,90.0,66.27,80.43,269897.85,2021-09-05 23:59:59.999
54,80.43,84.0,62.61,67.48,147848.974,2021-09-12 23:59:59.999
55,67.48,76.89,61.19,71.3,165595.45,2021-09-19 23:59:59.999
56,71.35,72.42,54.91,58.9,136392.862,2021-09-26 23:59:59.999
