,Open,High,Low,Close,Volume,Close time
0,0.6868,0.879,0.5302,0.5341,85242344.3,2022-02-13 23:59:59.999
1,0.5336,0.6204,0.4163,0.4248,82550152.3,2022-02-20 23:59:59.999
2,0.4248,0.5037,0.338,0.4362,203190275.5,2022-02-27 23:59:59.999
3,0.4364,0.5499,0.425,0.4505,61181696.9,2022-03-06 23:59:59.999
4,0.4506,0.5433,0.4227,0.443,86068394.9,2022-03-13 23:59:59.999
5,0.4428,0.64,0.422,0.5916,146065800.9,2022-03-20 23:59:59.999
6,0.5932,0.6379,0.5463,0.6157,66666496.7,2022-03-27 23:59:59.999
7,0.6168,0.69,0.572,0.5945,75450541.1,2022-04-03 23:59:59.999
8,0.5945,0.645,0.4762,0.502,221594038.6,2022-04-10 23:59:59.999
9,0.5026,0.5255,0.4473,0.4579,178438921.5,2022-04-17 23:59:59.999
10,0.4577,0.5323,0.4301,0.4356,196526120.9,2022-04-24 23:59:59.999
11,0.4354,0.4594,0.3376,0.3617,119010336.0,2022-05-01 23:59:59.999
12,0.3617,0.3916,0.3003,0.3067,156950024.2,2022-05-08 23:59:59.999
13,0.3067,0.3166,0.1463,0.2133,220036282.8,2022-05-15 23:59:59.999
14,0.2134,0.2141,0.1716,0.2078,113176138.9,2022-05-22 23:59:59.999
15,0.2077,0.2319,0.1516,0.1565,163311704.2,2022-05-29 23:59:59.999
16,0.1565,0.1863,0.1485,0.161,148200633.4,2022-06-05 23:59:59.999
0,0.1609,0.1854,0.1175,0.1189,215066125.7,2022-06-12 23:59:59.999000
