,Open,High,Low,Close,Volume,Close time
0,0.2608,0.2774,0.2216,0.2332,1025337.95,2020-04-12 23:59:59.999
1,0.2284,0.36,0.2165,0.2891,51883334.11,2020-04-19 23:59:59.999
2,0.2888,0.304,0.2546,0.2958,29776517.45,2020-04-26 23:59:59.999
3,0.2958,0.3044,0.2728,0.2938,3810443.08,2020-05-03 23:59:59.999
4,0.2959,0.3224,0.249,0.2648,3928962.89,2020-05-10 23:59:59.999
5,0.2649,0.281,0.2415,0.2632,2544190.08,2020-05-17 23:59:59.999
6,0.2631,0.3499,0.2539,0.2925,7750950.33,2020-05-24 23:59:59.999
7,0.2925,0.3984,0.2901,0.3488,8396432.09,2020-05-31 23:59:59.999
8,0.3472,0.42,0.2751,0.3675,5263613.32,2020-06-07 23:59:59.999
9,0.3675,0.4489,0.3511,0.3552,5930181.89,2020-06-14 23:59:59.999
10,0.3539,0.3837,0.318,0.359,4655538.16,2020-06-21 23:59:59.999
11,0.359,0.4156,0.3022,0.3328,4069962.58,2020-06-28 23:59:59.999
12,0.3327,0.353,0.318,0.3503,2052043.4,2020-07-05 23:59:59.999
13,0.3506,0.4922,0.3499,0.4839,10595475.0,2020-07-12 23:59:59.999
14,0.4837,0.525,0.3812,0.4518,10392985.53,2020-07-19 23:59:59.999
15,0.4502,0.5496,0.4455,0.4675,9933847.58,2020-07-26 23:59:59.999
16,0.4675,0.4676,0.39,0.4335,6024902.0,2020-08-02 23:59:59.999
17,0.4336,0.5005,0.418,0.4899,7594221.77,2020-08-09 23:59:59.999
18,0.49,0.601,0.4544,0.5712,19380841.52,2020-08-16 23:59:59.999
19,0.5709,0.7639,0.5327,0.7101,27754417.67,2020-08-23 23:59:59.999
20,0.7102,0.7415,0.5685,0.6085,11511173.12,2020-08-30 23:59:59.999
21,0.6102,0.6593,0.4282,0.4807,13977742.82,2020-09-06 23:59:59.999
22,0.4799,0.5588,0.4296,0.4936,9558374.24,2020-09-13 23:59:59.999
23,0.4937,0.5103,0.4,0.4117,6569038.01,2020-09-20 23:59:59.999
24,0.4115,0.4196,0.3284,0.3719,6462938.27,2020-09-27 23:59:59.999
25,0.3748,0.4161,0.3358,0.3466,3744731.38,2020-10-04 23:59:59.999
26,0.3469,0.3832,0.3011,0.3669,4261123.15,2020-10-11 23:59:59.999
27,0.3678,0.382,0.3103,0.3248,4033618.28,2020-10-18 23:59:59.999
28,0.3268,0.3464,0.3101,0.3176,2966335.66,2020-10-25 23:59:59.999
29,0.3163,0.3176,0.2486,0.259,3150480.37,2020-11-01 23:59:59.999
30,0.2605,0.3336,0.2335,0.304,5413600.82,2020-11-08 23:59:59.999
31,0.304,0.3654,0.2901,0.2975,4559091.18,2020-11-15 23:59:59.999
32,0.2975,0.3696,0.2922,0.3432,6967930.11,2020-11-22 23:59:59.999
33,0.3445,0.4336,0.3292,0.3547,16221787.74,2020-11-29 23:59:59.999
34,0.3543,0.402,0.3335,0.3704,8222488.86,2020-12-06 23:59:59.999
35,0.3704,0.3718,0.3013,0.3387,5693659.69,2020-12-13 23:59:59.999
36,0.3387,0.3612,0.3218,0.3386,7598423.13,2020-12-20 23:59:59.999
37,0.3384,0.35,0.2568,0.2766,7202760.5,2020-12-27 23:59:59.999
38,0.2766,0.3159,0.262,0.2874,6552873.48,2021-01-03 23:59:59.999
39,0.2874,0.4,0.2688,0.3935,21842003.44,2021-01-10 23:59:59.999
40,0.3928,0.3934,0.276,0.3485,12196255.22,2021-01-17 23:59:59.999
41,0.3496,0.3996,0.3171,0.3757,18726013.09,2021-01-24 23:59:59.999
42,0.3757,0.3974,0.3121,0.3569,14875264.71,2021-01-31 23:59:59.999
43,0.3563,0.5227,0.3502,0.4477,26711915.24,2021-02-07 23:59:59.999
44,0.4477,1.8349,0.4449,1.2902,159305169.4,2021-02-14 23:59:59.999
45,1.2873,1.352,0.95,1.1497,42358667.67,2021-02-21 23:59:59.999
46,1.1497,1.16,0.67,0.8109,28142822.65,2021-02-28 23:59:59.999
47,0.8126,1.0647,0.8098,0.9963,50310618.85,2021-03-07 23:59:59.999
48,0.9985,1.6455,0.9717,1.2067,58918913.13,2021-03-14 23:59:59.999
49,1.2096,1.845,1.1173,1.4497,57890184.11,2021-03-21 23:59:59.999
50,1.4515,1.7238,1.28,1.6596,38030564.43,2021-03-28 23:59:59.999
51,1.6547,2.184,1.602,1.7989,57545565.12,2021-04-04 23:59:59.999
52,1.7997,2.9242,1.7046,2.175,73173177.96,2021-04-11 23:59:59.999
53,2.1779,2.4336,1.6502,1.8909,29524906.26,2021-04-18 23:59:59.999
54,1.8876,2.135,1.1199,1.2952,32798318.91,2021-04-25 23:59:59.999
55,1.2963,1.8285,1.2787,1.7315,30613916.13,2021-05-02 23:59:59.999
56,1.7287,2.4159,1.5152,1.9648,82759316.81,2021-05-09 23:59:59.999
57,1.9662,2.1,1.499,1.6398,53489429.81,2021-05-16 23:59:59.999
58,1.6398,1.6447,0.53,0.661,42207274.74,2021-05-23 23:59:59.999
