,Open,High,Low,Close,Volume,Close time
0,0.1437,0.2172,0.1419,0.1787,118805236.51,2020-11-29 23:59:59.999
1,0.1787,0.28,0.17,0.249,227873941.48,2020-12-06 23:59:59.999
2,0.2488,0.2754,0.186,0.255,241181572.78,2020-12-13 23:59:59.999
3,0.2549,0.32,0.2338,0.29,242802110.39,2020-12-20 23:59:59.999
4,0.29,0.3118,0.191,0.2356,327532882.34,2020-12-27 23:59:59.999
5,0.2363,0.2461,0.1747,0.211,300090025.08,2021-01-03 23:59:59.999
6,0.211,0.294,0.18,0.2333,540182284.48,2021-01-10 23:59:59.999
7,0.2332,0.2339,0.1881,0.2233,503490301.07,2021-01-17 23:59:59.999
8,0.2232,0.259,0.1944,0.2134,386129208.58,2021-01-24 23:59:59.999
9,0.2135,0.2577,0.2131,0.2358,428143892.47,2021-01-31 23:59:59.999
10,0.2361,0.3217,0.2302,0.3105,542679475.78,2021-02-07 23:59:59.999
11,0.3103,0.43,0.3069,0.3691,647938015.3,2021-02-14 23:59:59.999
12,0.3689,0.5787,0.32,0.563,480196122.97,2021-02-21 23:59:59.999
13,0.5629,0.768,0.425,0.6095,1583383775.07,2021-02-28 23:59:59.999
14,0.6095,0.8645,0.5815,0.7162,1246701728.22,2021-03-07 23:59:59.999
15,0.7162,0.732,0.3225,0.3303,3414647174.92,2021-03-14 23:59:59.999
16,0.3304,0.4184,0.3235,0.3669,1915574765.08,2021-03-21 23:59:59.999
17,0.367,0.3877,0.3107,0.3582,804109121.36,2021-03-28 23:59:59.999
18,0.3584,0.407,0.3434,0.3875,907855714.78,2021-04-04 23:59:59.999
19,0.3878,0.4864,0.3452,0.4417,1836059323.23,2021-04-11 23:59:59.999
20,0.4421,0.5268,0.345,0.4036,1663020298.21,2021-04-18 23:59:59.999
21,0.4036,0.4158,0.2247,0.2701,1264574002.06,2021-04-25 23:59:59.999
22,0.2702,0.3599,0.2664,0.3406,947933209.81,2021-05-02 23:59:59.999
23,0.3409,0.4313,0.3014,0.3767,1586401994.98,2021-05-09 23:59:59.999
24,0.3765,0.387,0.2808,0.2993,1032535447.99,2021-05-16 23:59:59.999
25,0.2993,0.2998,0.1355,0.1625,1104597430.28,2021-05-23 23:59:59.999
26,0.1626,0.218,0.1555,0.182,673175284.31,2021-05-30 23:59:59.999
27,0.182,0.207,0.1721,0.1876,433173663.05,2021-06-06 23:59:59.999
28,0.1876,0.1928,0.1527,0.1656,375330856.64,2021-06-13 23:59:59.999
29,0.1656,0.1809,0.1326,0.1422,357787870.6,2021-06-20 23:59:59.999
30,0.1423,0.1437,0.0852,0.1127,691803860.8,2021-06-27 23:59:59.999
31,0.1129,0.1403,0.11,0.1376,470736654.23,2021-07-04 23:59:59.999
32,0.1376,0.138,0.1151,0.1225,327523227.99,2021-07-11 23:59:59.999
33,0.1226,0.17,0.1074,0.1424,1391522292.07,2021-07-18 23:59:59.999
34,0.1424,0.1557,0.112,0.1486,986400222.93,2021-07-25 23:59:59.999
35,0.1486,0.1854,0.1476,0.1694,557113334.09,2021-08-01 23:59:59.999
36,0.1691,0.189,0.1573,0.1752,285978555.02,2021-08-08 23:59:59.999
37,0.1754,0.2196,0.1692,0.2179,484378283.07,2021-08-15 23:59:59.999
38,0.2177,0.2294,0.1824,0.2044,469471218.19,2021-08-22 23:59:59.999
39,0.2044,0.218,0.1826,0.1943,447206521.97,2021-08-29 23:59:59.999
40,0.1943,0.2436,0.1854,0.2431,455056646.6,2021-09-05 23:59:59.999
41,0.243,0.2432,0.1597,0.1862,488396192.5,2021-09-12 23:59:59.999
42,0.1862,0.1923,0.1675,0.1789,237986386.0,2021-09-19 23:59:59.999
43,0.179,0.1793,0.1357,0.1467,359294693.96,2021-09-26 23:59:59.999
44,0.1463,0.166,0.1331,0.1623,244038444.79,2021-10-03 23:59:59.999
45,0.1622,0.1869,0.1513,0.1732,454166685.0,2021-10-10 23:59:59.999
46,0.1731,0.1917,0.1611,0.1668,323131170.0,2021-10-17 23:59:59.999
47,0.1668,0.1812,0.1629,0.1711,210772829.0,2021-10-24 23:59:59.999
48,0.171,0.1951,0.144,0.1923,449273200.0,2021-10-31 23:59:59.999
49,0.1924,0.2394,0.179,0.2144,907628362.0,2021-11-07 23:59:59.999
50,0.2144,0.2148,0.174,0.1926,475335781.0,2021-11-14 23:59:59.999
51,0.1925,0.1988,0.1664,0.1798,368959932.0,2021-11-21 23:59:59.999
52,0.1802,0.1808,0.1535,0.1663,254792651.0,2021-11-28 23:59:59.999
53,0.1663,0.1797,0.1042,0.1284,308931543.38,2021-12-05 23:59:59.999
54,0.1286,0.1488,0.1173,0.1347,219212311.0,2021-12-12 23:59:59.999
55,0.1347,0.1356,0.1187,0.1289,166679496.0,2021-12-19 23:59:59.999
56,0.1287,0.1439,0.1214,0.1408,139025259.0,2021-12-26 23:59:59.999
57,0.1409,0.1432,0.1197,0.1303,141251575.0,2022-01-02 23:59:59.999
58,0.1303,0.1425,0.1102,0.1151,238280269.0,2022-01-09 23:59:59.999
59,0.1152,0.1215,0.1044,0.1194,102211300.0,2022-01-16 23:59:59.999
60,0.1194,0.1198,0.0878,0.0976,183832139.68,2022-01-23 23:59:59.999
61,0.0977,0.1054,0.0868,0.1026,178939705.0,2022-01-30 23:59:59.999
62,0.1027,0.1159,0.0973,0.1123,122938621.0,2022-02-06 23:59:59.999
63,0.1122,0.1243,0.1047,0.11,214878814.0,2022-02-13 23:59:59.999
64,0.11,0.1172,0.0966,0.0988,128283704.0,2022-02-20 23:59:59.999
65,0.0988,0.1046,0.0848,0.1001,191169877.53,2022-02-27 23:59:59.999
66,0.1,0.1143,0.0938,0.0956,118690300.0,2022-03-06 23:59:59.999
67,0.0955,0.1024,0.0909,0.0914,93428816.0,2022-03-13 23:59:59.999
68,0.0914,0.103,0.0905,0.0992,102858127.0,2022-03-20 23:59:59.999
69,0.0992,0.1189,0.0967,0.1176,307324734.0,2022-03-27 23:59:59.999
70,0.1177,0.1277,0.1102,0.1231,351841723.0,2022-04-03 23:59:59.999
71,0.1231,0.1231,0.1006,0.1028,184764342.0,2022-04-10 23:59:59.999
72,0.1029,0.1037,0.0939,0.0971,138096646.0,2022-04-17 23:59:59.999
73,0.0972,0.1036,0.0926,0.0945,223553927.0,2022-04-24 23:59:59.999
74,0.0944,0.0984,0.0834,0.0894,267420775.0,2022-05-01 23:59:59.999
75,0.0894,0.0976,0.0753,0.0758,232961480.5,2022-05-08 23:59:59.999
76,0.0757,0.0767,0.0368,0.0666,898865320.02,2022-05-15 23:59:59.999
77,0.0665,0.073,0.0518,0.0597,362786017.0,2022-05-22 23:59:59.999
78,0.0596,0.0596,0.0453,0.0491,299688941.0,2022-05-29 23:59:59.999
79,0.0491,0.0562,0.0483,0.0511,186915966.0,2022-06-05 23:59:59.999
0,0.051,0.0545,0.0411,0.0417,106375215.0,2022-06-12 23:59:59.999000
0,0.0418,0.0438,0.0353,0.04,183264645.0,2022-06-19 23:59:59.999000
1,0.04,0.0462,0.0381,0.041,185247124.0,2022-06-26 23:59:59.999000
2,0.0412,0.0684,0.036,0.043,848039470.0,2022-07-03 23:59:59.999000
3,0.043,0.0434,0.0388,0.0405,262984345.0,2022-07-10 23:59:59.999000
4,0.0405,0.0431,0.0361,0.0406,164370201.0,2022-07-17 23:59:59.999000
