,Open,High,Low,Close,Volume,Close time
0,51.99,54.89,48.67,52.36,16326.97289,2019-03-17 23:59:59.999
1,52.38,54.6,50.0,52.64,38150.43109,2019-03-24 23:59:59.999
2,52.57,56.83,49.76,56.07,50723.0164,2019-03-31 23:59:59.999
3,56.01,72.9,55.66,69.34,138730.91531,2019-04-07 23:59:59.999
4,69.35,72.27,61.51,66.25,93693.45798,2019-04-14 23:59:59.999
5,66.32,69.99,63.27,68.29,55532.78431,2019-04-21 23:59:59.999
6,68.18,70.75,60.03,62.07,90359.92661,2019-04-28 23:59:59.999
7,61.92,68.99,60.11,66.52,50259.16991,2019-05-05 23:59:59.999
8,66.71,81.72,64.26,75.66,71353.20054,2019-05-12 23:59:59.999
9,75.45,97.27,72.0,90.09,92787.9195,2019-05-19 23:59:59.999
10,89.72,92.5,80.18,91.3,82086.43936,2019-05-26 23:59:59.999
11,91.22,98.99,88.28,94.77,70617.92912,2019-06-02 23:59:59.999
12,94.77,96.0,81.17,83.38,62368.48405,2019-06-09 23:59:59.999
13,83.04,97.82,82.29,95.99,69721.3203,2019-06-16 23:59:59.999
14,95.99,121.55,95.03,116.01,132053.5444,2019-06-23 23:59:59.999
15,115.68,119.98,87.8,88.71,215557.69305,2019-06-30 23:59:59.999
16,88.74,107.07,82.43,106.99,140517.03946,2019-07-07 23:59:59.999
17,106.78,107.4,85.01,86.23,106105.01867,2019-07-14 23:59:59.999
18,85.94,90.52,71.8,84.1,130863.2049,2019-07-21 23:59:59.999
19,84.23,85.57,77.18,80.18,47742.63093,2019-07-28 23:59:59.999
20,80.31,88.9,77.47,87.76,41320.85595,2019-08-04 23:59:59.999
21,87.66,98.1,87.63,92.3,62618.84824,2019-08-11 23:59:59.999
22,92.3,92.49,78.0,87.75,41299.04146,2019-08-18 23:59:59.999
23,87.75,91.28,78.06,80.6,41357.17181,2019-08-25 23:59:59.999
24,80.75,83.91,65.7,71.34,43926.69909,2019-09-01 23:59:59.999
25,71.32,79.71,69.67,77.15,60896.86567,2019-09-08 23:59:59.999
26,77.03,77.55,69.43,75.45,56865.60069,2019-09-15 23:59:59.999
27,75.45,82.18,70.8,73.0,142352.11303,2019-09-22 23:59:59.999
28,73.0,77.9,54.06,55.82,343714.98162,2019-09-29 23:59:59.999
29,55.89,58.28,50.0,54.71,190002.29576,2019-10-06 23:59:59.999
30,54.68,57.45,52.32,53.25,204377.24128,2019-10-13 23:59:59.999
31,53.26,60.61,51.64,56.4,378510.01954,2019-10-20 23:59:59.999
32,56.34,67.01,50.86,59.67,337595.0183,2019-10-27 23:59:59.999
33,59.75,65.0,56.94,63.25,217887.91154,2019-11-03 23:59:59.999
34,63.32,67.49,59.88,63.78,216314.47067,2019-11-10 23:59:59.999
35,63.84,66.0,60.86,61.73,230524.74915,2019-11-17 23:59:59.999
