,Open,High,Low,Close,Volume,Close time
0,2.224,3.89,2.126,2.212,3759084.55,2022-01-30 23:59:59.999
1,2.212,2.362,2.006,2.248,2739809.48,2022-02-06 23:59:59.999
2,2.247,2.5,2.104,2.11,3030870.61,2022-02-13 23:59:59.999
3,2.11,2.373,1.887,1.958,2058858.51,2022-02-20 23:59:59.999
4,1.956,2.128,1.585,1.745,3527383.76,2022-02-27 23:59:59.999
5,1.745,2.035,1.667,1.675,4318700.39,2022-03-06 23:59:59.999
6,1.676,1.799,1.586,1.625,3153684.62,2022-03-13 23:59:59.999
7,1.624,3.201,1.61,2.208,54903002.67,2022-03-20 23:59:59.999
8,2.209,2.882,2.159,2.537,8574839.8,2022-03-27 23:59:59.999
9,2.537,2.85,2.327,2.724,5805276.28,2022-04-03 23:59:59.999
10,2.726,3.33,2.388,2.465,10853608.34,2022-04-10 23:59:59.999
11,2.45,2.456,2.06,2.068,2722389.48,2022-04-17 23:59:59.999
12,2.066,2.233,1.983,2.024,3092149.46,2022-04-24 23:59:59.999
13,2.023,2.23,1.634,1.758,4257762.21,2022-05-01 23:59:59.999
14,1.755,2.2,1.568,1.622,25573066.42,2022-05-08 23:59:59.999
15,1.622,1.688,0.864,1.189,12587431.2,2022-05-15 23:59:59.999
16,1.19,1.198,1.013,1.14,3236046.3,2022-05-22 23:59:59.999
17,1.139,1.4,1.008,1.118,10546319.87,2022-05-29 23:59:59.999
18,1.117,1.302,1.1,1.163,4088015.12,2022-06-05 23:59:59.999
