,Open,High,Low,Close,Volume,Close time
0,0.5,1.5,0.5,0.86483,53708414.92,2018-05-06 23:59:59.999
1,0.86482,0.86886,0.62519,0.72999,121388954.12,2018-05-13 23:59:59.999
2,0.72999,0.7499,0.646,0.6994,81026594.05,2018-05-20 23:59:59.999
3,0.6994,0.705,0.5731,0.60416,119363181.72,2018-05-27 23:59:59.999
4,0.60417,0.69101,0.54303,0.6901,234446288.89,2018-06-03 23:59:59.999
5,0.6901,0.707,0.55,0.58201,271258795.74,2018-06-10 23:59:59.999
6,0.58202,0.6,0.50401,0.52617,210360409.31,2018-06-17 23:59:59.999
7,0.52669,0.56185,0.43724,0.47331,237851499.47,2018-06-24 23:59:59.999
8,0.47418,0.4992,0.42393,0.46222,221559858.0,2018-07-01 23:59:59.999
9,0.46222,0.52,0.452,0.47915,228489152.8,2018-07-08 23:59:59.999
10,0.47872,0.48201,0.4236,0.44681,210551925.8,2018-07-15 23:59:59.999
11,0.44695,0.52525,0.431,0.44859,276395688.7,2018-07-22 23:59:59.999
12,0.44859,0.4715,0.438,0.45315,248825450.5,2018-07-29 23:59:59.999
13,0.45315,0.46382,0.4253,0.4345,251962379.8,2018-08-05 23:59:59.999
14,0.43437,0.43699,0.2874,0.29547,329337770.81,2018-08-12 23:59:59.999
15,0.29575,0.37506,0.24672,0.34201,447467944.04,2018-08-19 23:59:59.999
16,0.34201,0.35499,0.31039,0.32276,319657665.2,2018-08-26 23:59:59.999
17,0.32277,0.35809,0.32145,0.34253,340787215.3,2018-09-02 23:59:59.999
18,0.34237,0.34387,0.2676,0.2766,345424289.7,2018-09-09 23:59:59.999
19,0.27699,0.2867,0.25261,0.28122,315998295.1,2018-09-16 23:59:59.999
20,0.28122,0.8,0.26662,0.5719,1848231045.44,2018-09-23 23:59:59.999
21,0.5719,0.62604,0.43558,0.58257,1852610826.6,2018-09-30 23:59:59.999
22,0.58257,0.6059,0.46666,0.48269,1065317910.1,2018-10-07 23:59:59.999
23,0.4826,0.50449,0.37685,0.40994,846440927.9,2018-10-14 23:59:59.999
24,0.40951,0.52179,0.39771,0.46458,789297869.3,2018-10-21 23:59:59.999
25,0.46458,0.48649,0.444,0.46472,280789996.8,2018-10-28 23:59:59.999
26,0.46483,0.47959,0.4343,0.46999,255062271.6,2018-11-04 23:59:59.999
27,0.46999,0.56878,0.461,0.51019,540162399.8,2018-11-11 23:59:59.999
28,0.51018,0.53499,0.422,0.51611,795614369.7,2018-11-18 23:59:59.999
29,0.51608,0.51695,0.32802,0.382,1495928889.8,2018-11-25 23:59:59.999
30,0.38186,0.40319,0.34625,0.36963,866160179.5,2018-12-02 23:59:59.999
31,0.36974,0.371,0.2865,0.30914,540876691.5,2018-12-09 23:59:59.999
32,0.30944,0.31377,0.2805,0.28669,332181523.1,2018-12-16 23:59:59.999
33,0.28669,0.39265,0.285,0.3669,1018531472.1,2018-12-23 23:59:59.999
34,0.36691,0.45,0.325,0.36489,1033361262.3,2018-12-30 23:59:59.999
35,0.36488,0.3745,0.3435,0.36042,415447214.3,2019-01-06 23:59:59.999
36,0.36042,0.37963,0.30796,0.31132,558053696.5,2019-01-13 23:59:59.999
37,0.31139,0.33593,0.31089,0.3168,329972703.3,2019-01-20 23:59:59.999
